State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,179,1,42401,2,40.665038,-89.576209,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2363,27,N,97,366,0,0,0.0,,Certification not required,0,21.298969,9.671872,70.0,1980-03-14 13:00,45.0,1980-03-27 14:00,44.0,1980-04-15 19:00,41.0,1980-05-16 02:00,,,,,70.0,45.0,39.0,32.0,26.0,21.0,11.0,,801 SPRINGFIELD ROAD,Illinois,Tazewell,East Peoria,"Peoria, IL",2010-10-13,[ 40.665038 -89.576209],"{'Commercial and Services': 0.02, 'Residential': 0.3, 'Industrial': 0.68}"
17,179,1,42401,2,40.665038,-89.576209,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,2363,27,N,97,366,0,0,,,Certification not required,0,10.537029,7.045381,70.0,1980-03-14 13:00,52.0,1980-03-14 14:00,45.0,1980-03-27 14:00,44.0,1980-04-15 19:00,,,,,31.0,28.0,25.0,21.0,14.0,9.0,3.0,,801 SPRINGFIELD ROAD,Illinois,Tazewell,East Peoria,"Peoria, IL",2010-10-13,[ 40.665038 -89.576209],"{'Commercial and Services': 0.02, 'Residential': 0.3, 'Industrial': 0.68}"
17,179,1,42401,2,40.665038,-89.576209,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,97,27,N,97,366,0,0,0.0,,Certification not required,0,10.549485,5.001731,28.1,1980-05-16 00:00,26.5,1980-04-30 00:00,26.3,1980-05-14 00:00,23.9,1980-05-15 00:00,,,,,28.1,26.5,22.4,16.8,12.5,9.5,5.3,,801 SPRINGFIELD ROAD,Illinois,Tazewell,East Peoria,"Peoria, IL",2010-10-13,[ 40.665038 -89.576209],"{'Commercial and Services': 0.02, 'Residential': 0.3, 'Industrial': 0.68}"
17,179,1,42401,2,40.665038,-89.576209,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,773,26,N,96,366,0,0,,0.0,Certification not required,0,10.488098,6.546649,47.0,1980-03-14 14:00,37.0,1980-05-14 08:00,36.0,1980-05-16 02:00,33.0,1980-05-16 05:00,,,,,30.0,26.0,24.3,20.6,13.6,9.0,3.6,,801 SPRINGFIELD ROAD,Illinois,Tazewell,East Peoria,"Peoria, IL",2010-10-13,[ 40.665038 -89.576209],"{'Commercial and Services': 0.02, 'Residential': 0.3, 'Industrial': 0.68}"
17,179,2,11101,1,40.664482,-89.576487,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,82.327586,33.057307,196.0,1980-05-05 00:00,194.0,1980-06-26 00:00,138.0,1980-09-30 00:00,132.0,1980-08-25 00:00,,,,,196.0,194.0,138.0,125.0,91.0,78.0,44.0,,235 E WASHINGTON,Illinois,Tazewell,East Peoria,"Peoria, IL",2010-04-25,[ 40.664482 -89.576487],"{'Commercial and Services': 0.05, 'Residential': 0.4, 'Industrial': 0.54, 'Transportation, communications and services': 0.01}"
17,179,2,12128,1,40.664482,-89.576487,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,12,100,Y,12,12,0,0,,,Certification not required,0,0.330833,0.086598,0.53,1980-09-01 00:00,0.44,1980-10-01 00:00,0.37,1980-12-01 00:00,0.35,1980-02-01 00:00,,,,,0.53,0.53,0.53,0.44,0.37,0.33,0.24,,235 E WASHINGTON,Illinois,Tazewell,East Peoria,"Peoria, IL",2013-06-29,[ 40.664482 -89.576487],"{'Commercial and Services': 0.05, 'Residential': 0.4, 'Industrial': 0.54, 'Transportation, communications and services': 0.01}"
17,179,4,42401,2,40.55646,-89.654028,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7526,86,N,304,366,0,0,15.0,,Certification not required,0,27.444079,29.703766,204.0,1980-01-22 07:00,194.0,1980-11-03 15:00,186.0,1980-04-03 18:00,185.0,1980-06-09 20:00,,,,,185.0,145.0,74.0,52.0,31.0,19.0,7.0,FIRESTATION,272 DERBY,Illinois,Tazewell,Pekin,"Peoria, IL",2013-02-16,[ 40.55646  -89.654028],"{'Commercial and Services': 0.21, 'Residential': 0.72, 'Industrial': 0.02, 'Cropland and pasture': 0.02, 'Transportation, communications and services': 0.03}"
17,179,4,42401,2,40.55646,-89.654028,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7526,86,Y,304,366,0,0,,,Certification not required,0,8.036141,12.161615,204.0,1980-01-22 07:00,194.0,1980-11-03 15:00,186.0,1980-04-03 18:00,185.0,1980-06-09 20:00,,,,,56.0,38.0,24.0,16.0,10.0,5.0,1.0,FIRESTATION,272 DERBY,Illinois,Tazewell,Pekin,"Peoria, IL",2013-02-16,[ 40.55646  -89.654028],"{'Commercial and Services': 0.21, 'Residential': 0.72, 'Industrial': 0.02, 'Cropland and pasture': 0.02, 'Transportation, communications and services': 0.03}"
17,179,4,42401,2,40.55646,-89.654028,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,304,83,Y,304,366,0,0,0.0,,Certification not required,0,8.031908,6.682651,61.3,1980-01-17 00:00,49.2,1980-04-08 00:00,46.8,1980-04-03 00:00,30.0,1980-11-03 00:00,,,,,30.0,26.3,18.5,13.9,9.7,6.9,2.4,FIRESTATION,272 DERBY,Illinois,Tazewell,Pekin,"Peoria, IL",2013-02-16,[ 40.55646  -89.654028],"{'Commercial and Services': 0.21, 'Residential': 0.72, 'Industrial': 0.02, 'Cropland and pasture': 0.02, 'Transportation, communications and services': 0.03}"
17,179,4,42401,2,40.55646,-89.654028,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2439,83,Y,296,366,0,0,,0.0,Certification not required,0,7.959861,10.768602,150.3,1980-01-17 05:00,145.3,1980-01-22 08:00,128.3,1980-11-03 17:00,115.0,1980-04-03 23:00,,,,,46.3,35.3,23.6,16.6,10.0,5.3,1.0,FIRESTATION,272 DERBY,Illinois,Tazewell,Pekin,"Peoria, IL",2013-02-16,[ 40.55646  -89.654028],"{'Commercial and Services': 0.21, 'Residential': 0.72, 'Industrial': 0.02, 'Cropland and pasture': 0.02, 'Transportation, communications and services': 0.03}"
