State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,199,1,12128,1,37.728106,-88.953682,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,1,8,N,1,12,0,0,,,Certification not required,0,0.08,0.0,0.08,1980-01-01 00:00,,,,,,,,,,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2013-06-29,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,42401,3,37.728106,-88.953682,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8214,94,Y,337,366,0,0,32.0,,Certification not required,0,30.163205,34.809175,361.0,1980-02-02 12:00,185.0,1980-06-22 09:00,185.0,1980-07-30 22:00,183.0,1980-09-10 12:00,,,,,183.0,127.0,85.0,68.0,38.0,20.0,6.0,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2013-02-16,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,42401,3,37.728106,-88.953682,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8214,94,Y,337,366,0,0,,,Certification not required,0,9.070002,14.380832,361.0,1980-02-02 12:00,292.0,1980-02-02 11:00,186.0,1980-02-02 13:00,185.0,1980-06-22 09:00,,,,,68.0,50.0,31.0,21.0,10.0,5.0,1.0,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2013-02-16,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,42401,3,37.728106,-88.953682,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,337,92,Y,337,366,0,0,0.0,,Certification not required,0,9.137685,9.447413,92.6,1980-02-02 00:00,77.7,1980-02-03 00:00,52.5,1980-11-22 00:00,42.2,1980-02-04 00:00,,,,,42.2,31.9,24.3,19.2,11.3,6.6,2.1,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2013-02-16,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,42401,3,37.728106,-88.953682,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2703,92,Y,336,366,0,0,,0.0,Certification not required,0,9.052867,13.015379,222.6,1980-02-02 14:00,142.6,1980-09-10 14:00,136.3,1980-02-03 08:00,122.3,1980-02-03 05:00,,,,,58.6,46.6,31.0,21.3,10.6,5.3,1.0,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2013-02-16,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,44201,1,37.728106,-88.953682,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8236,96,Y,205,214,0,0,1.0,1.0,Certification not required,0,0.058405,0.020173,0.14,1980-07-11 15:00,0.114,1980-07-14 17:00,0.108,1980-07-19 13:00,0.108,1980-10-10 14:00,,,,,0.108,0.102,0.095,0.083,0.07,0.057,0.04,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-08-18,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,44201,1,37.728106,-88.953682,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8219,96,Y,205,214,0,0,6.0,6.0,Certification not required,0,0.050722,0.018137,0.116,1980-07-11 10:00,0.093,1980-07-23 11:00,0.092,1980-05-28 10:00,0.092,1980-07-14 11:00,,,,,0.092,0.09,0.082,0.073,0.062,0.051,0.033,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-08-18,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,44201,1,37.728106,-88.953682,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8219,96,Y,205,214,0,0,17.0,17.0,Certification not required,0,0.050722,0.018137,0.116,1980-07-11 10:00,0.093,1980-07-23 11:00,0.092,1980-05-28 10:00,0.092,1980-07-14 11:00,,,,,0.092,0.09,0.082,0.073,0.062,0.051,0.033,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-08-18,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,44201,1,37.728106,-88.953682,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5817,96,Y,206,214,0,0,24.0,24.0,Certification not required,0,0.050549,0.018217,0.116,1980-07-11 10:00,0.093,1980-07-23 11:00,0.092,1980-05-28 10:00,0.092,1980-07-14 11:00,,,,,0.092,0.09,0.08,0.073,0.062,0.051,0.033,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-08-18,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,61103,1,37.728106,-88.953682,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,1980,Knots,No Events,8432,96,Y,345,366,0,0,,,Certification not required,0,2.766722,2.252804,16.2,1980-02-25 12:00,15.7,1980-03-16 10:00,15.1,1980-03-01 11:00,15.1,1980-03-01 14:00,,,,,10.0,8.7,7.2,5.8,3.9,2.3,0.4,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-05-07,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
17,199,1,61104,1,37.728106,-88.953682,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,1980,Degrees Compass,No Events,8450,96,Y,347,366,0,0,,,Certification not required,0,166.81858,107.004424,360.0,1980-02-15 19:00,360.0,1980-10-02 02:00,360.0,1980-10-12 14:00,360.0,1980-10-19 00:00,,,,,355.0,351.0,340.0,321.0,241.0,180.0,16.0,,STATE OFFICE BLDG 2209 W MAIN ST,Illinois,Williamson,Marion,"Carbondale-Marion, IL",2016-05-17,[ 37.728106 -88.953682],"{'Industrial': 0.02, 'Commercial and Services': 0.4, 'Residential': 0.02, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.08, 'Transportation, communications and services': 0.2}"
