State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
17,201,1,11101,2,42.267798,-89.088162,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,37,61,N,37,61,0,0,,,Certification not required,0,61.891892,22.303193,110.0,1980-06-26 00:00,96.0,1980-04-21 00:00,95.0,1980-07-14 00:00,90.0,1980-05-27 00:00,,,,,110.0,110.0,96.0,90.0,84.0,59.0,34.0,,OLD CITY HALL 126 SOUTH FIRST STREET,Illinois,Winnebago,Rockford,"Rockford, IL",2010-04-25,[ 42.267798 -89.088162],"{'Commercial and Services': 0.79, 'Residential': 0.15, 'Reservoirs': 0.06}"
17,201,1,12128,3,42.267798,-89.088162,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,8,67,N,8,12,0,0,,,Certification not required,0,0.315,0.103785,0.56,1980-05-01 00:00,0.33,1980-02-01 00:00,0.31,1980-01-01 00:00,0.3,1980-03-01 00:00,,,,,0.56,0.56,0.56,0.56,0.33,0.3,0.24,,OLD CITY HALL 126 SOUTH FIRST STREET,Illinois,Winnebago,Rockford,"Rockford, IL",2013-06-29,[ 42.267798 -89.088162],"{'Commercial and Services': 0.79, 'Residential': 0.15, 'Reservoirs': 0.06}"
17,201,5,42401,3,42.248632,-89.073161,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7997,91,Y,332,366,0,0,0.0,,Certification not required,0,11.045181,7.743689,46.0,1980-12-22 11:00,42.0,1980-12-28 09:00,37.0,1980-12-15 20:00,35.0,1980-02-07 13:00,,,,,35.0,33.0,27.0,21.0,15.0,9.0,3.0,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2010-10-13,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,5,42401,3,42.248632,-89.073161,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7997,91,Y,332,366,0,0,,,Certification not required,0,4.802926,4.638258,46.0,1980-12-22 11:00,44.0,1980-12-22 12:00,42.0,1980-12-28 09:00,38.0,1980-12-28 08:00,,,,,23.0,19.0,14.0,10.0,6.0,4.0,1.0,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2010-10-13,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,5,42401,3,42.248632,-89.073161,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,332,91,Y,332,366,0,0,0.0,,Certification not required,0,4.817771,3.318039,20.6,1980-12-28 00:00,17.5,1980-12-04 00:00,17.0,1980-12-22 00:00,16.7,1980-02-05 00:00,,,,,16.7,16.0,11.1,8.8,6.4,4.1,1.4,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2010-10-13,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,5,42401,3,42.248632,-89.073161,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2630,90,Y,331,366,0,0,,0.0,Certification not required,0,4.751065,4.386805,33.0,1980-12-28 11:00,31.6,1980-12-22 14:00,30.3,1980-02-13 08:00,29.6,1980-02-05 14:00,,,,,21.6,18.3,13.3,10.3,6.0,3.6,0.6,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2010-10-13,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,5,61103,1,42.248632,-89.073161,WGS84,Wind Speed - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,1980,Knots,No Events,7566,86,Y,307,366,0,0,,,Certification not required,0,4.963865,2.661182,25.8,1980-02-17 07:00,25.7,1980-02-17 05:00,24.8,1980-02-17 06:00,23.4,1980-02-17 04:00,,,,,13.1,11.7,9.7,8.4,6.4,4.6,2.1,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2016-05-07,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,5,61104,1,42.248632,-89.073161,WGS84,Wind Direction - Resultant,1 HOUR,,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,1980,Degrees Compass,No Events,7914,90,Y,326,366,0,0,,,Certification not required,0,174.866818,105.966926,360.0,1980-01-26 09:00,360.0,1980-01-26 13:00,360.0,1980-02-15 19:00,360.0,1980-04-14 20:00,,,,,357.0,354.0,343.0,324.0,267.0,182.0,28.0,,1528 18TH AVE PUMP HOUSE,Illinois,Winnebago,Rockford,"Rockford, IL",2016-05-17,[ 42.248632 -89.073161],"{'Commercial and Services': 0.03, 'Residential': 0.43, 'Industrial': 0.54}"
17,201,8,11101,1,42.240021,-89.047883,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,48.277778,20.917102,104.0,1980-06-26 00:00,85.0,1980-07-14 00:00,83.0,1980-12-23 00:00,81.0,1980-05-09 00:00,,,,,104.0,85.0,83.0,80.0,63.0,44.0,24.0,,THOMAS JEFFERSON HI SCH 2525 OHIO,Illinois,Winnebago,Rockford,"Rockford, IL",2010-04-25,[ 42.240021 -89.047883],"{'Commercial and Services': 0.29, 'Residential': 0.52, 'Cropland and pasture': 0.19}"
17,201,8,12128,1,42.240021,-89.047883,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,11,92,Y,11,12,0,0,,,Certification not required,0,0.214545,0.103573,0.43,1980-09-01 00:00,0.32,1980-05-01 00:00,0.3,1980-06-01 00:00,0.24,1980-12-01 00:00,,,,,0.43,0.43,0.43,0.32,0.3,0.19,0.12,,THOMAS JEFFERSON HI SCH 2525 OHIO,Illinois,Winnebago,Rockford,"Rockford, IL",2013-06-29,[ 42.240021 -89.047883],"{'Commercial and Services': 0.29, 'Residential': 0.52, 'Cropland and pasture': 0.19}"
