State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,3,1,11101,1,46.747263,-68.471988,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,17.960784,11.007199,66.0,1980-06-26 00:00,38.0,1980-06-14 00:00,37.0,1980-08-25 00:00,35.0,1980-08-07 00:00,,,,,66.0,38.0,37.0,31.0,24.0,15.0,8.0,,"ROUTE 11, PORTAGE LAKE",Maine,Aroostook,Not in a city,,2010-04-25,[ 46.747263 -68.471988],"{'Deciduous forest land': 0.55, 'Forested wetland': 0.03, 'Cropland and pasture': 0.42}"
23,3,1,12128,1,46.747263,-68.471988,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,37,61,N,37,61,0,0,,,Certification not required,0,0.002162,0.013152,0.08,1980-03-04 00:00,0.0,1980-01-04 00:00,0.0,1980-01-10 00:00,0.0,1980-01-16 00:00,,,,,0.08,0.08,0.0,0.0,0.0,0.0,0.0,,"ROUTE 11, PORTAGE LAKE",Maine,Aroostook,Not in a city,,2013-06-29,[ 46.747263 -68.471988],"{'Deciduous forest land': 0.55, 'Forested wetland': 0.03, 'Cropland and pasture': 0.42}"
23,3,2,11101,1,46.73393,-68.736434,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,16.730769,7.346061,43.0,1980-05-21 00:00,30.0,1980-03-04 00:00,25.0,1980-03-10 00:00,24.0,1980-04-03 00:00,,,,,43.0,43.0,30.0,25.0,17.0,15.0,11.0,,"T12R8, ROAD NO. 40",Maine,Aroostook,Not in a city,,2010-04-25,[ 46.73393  -68.736434],"{'Mixed forest land': 0.46, 'Evergreen forest land': 0.54}"
23,3,2,12128,1,46.73393,-68.736434,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.002692,0.013728,0.07,1980-03-04 00:00,0.0,1980-01-04 00:00,0.0,1980-01-10 00:00,0.0,1980-01-16 00:00,,,,,0.07,0.07,0.0,0.0,0.0,0.0,0.0,,"T12R8, ROAD NO. 40",Maine,Aroostook,Not in a city,,2013-06-29,[ 46.73393  -68.736434],"{'Mixed forest land': 0.46, 'Evergreen forest land': 0.54}"
23,3,3,11101,1,46.730597,-68.732823,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,21.533333,14.500258,73.0,1980-06-26 00:00,39.0,1980-08-25 00:00,38.0,1980-08-19 00:00,37.0,1980-08-07 00:00,,,,,73.0,73.0,39.0,38.0,30.0,20.0,8.0,,T12R8 SECOND SITE-BALD MTN.,Maine,Aroostook,Not in a city,,2010-04-25,[ 46.730597 -68.732823],"{'Evergreen forest land': 0.99, 'Mixed forest land': 0.01}"
23,3,3,12128,1,46.730597,-68.732823,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,16,26,N,16,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-06-08 00:00,0.0,1980-06-14 00:00,0.0,1980-06-20 00:00,0.0,1980-06-26 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,T12R8 SECOND SITE-BALD MTN.,Maine,Aroostook,Not in a city,,2013-06-29,[ 46.730597 -68.732823],"{'Evergreen forest land': 0.99, 'Mixed forest land': 0.01}"
23,3,1001,44201,1,46.867821,-68.014193,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3279,64,N,138,214,0,0,0.0,0.0,Certification not required,0,0.021703,0.010899,0.05,1980-08-26 21:00,0.05,1980-09-03 00:00,0.05,1980-09-05 15:00,0.045,1980-08-22 12:00,,,,,0.05,0.05,0.04,0.035,0.03,0.02,0.01,,"CARIBOU AIRPORT, 464 MAIN STREET, CARIBO",Maine,Aroostook,Caribou,,2016-08-18,[ 46.867821 -68.014193],"{'Residential': 0.62, 'Cropland and pasture': 0.28, 'Transportation, communications and services': 0.1}"
23,3,1001,44201,1,46.867821,-68.014193,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3284,64,N,136,214,0,0,0.0,0.0,Certification not required,0,0.018228,0.01026,0.044,1980-08-26 19:00,0.044,1980-09-05 11:00,0.042,1980-08-31 09:00,0.041,1980-08-22 10:00,,,,,0.044,0.042,0.035,0.031,0.026,0.019,0.005,,"CARIBOU AIRPORT, 464 MAIN STREET, CARIBO",Maine,Aroostook,Caribou,,2016-08-18,[ 46.867821 -68.014193],"{'Residential': 0.62, 'Cropland and pasture': 0.28, 'Transportation, communications and services': 0.1}"
23,3,1001,44201,1,46.867821,-68.014193,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3284,64,N,136,214,0,0,0.0,0.0,Certification not required,0,0.018228,0.01026,0.044,1980-08-26 19:00,0.044,1980-09-05 11:00,0.042,1980-08-31 09:00,0.041,1980-08-22 10:00,,,,,0.044,0.042,0.035,0.031,0.026,0.019,0.005,,"CARIBOU AIRPORT, 464 MAIN STREET, CARIBO",Maine,Aroostook,Caribou,,2016-08-18,[ 46.867821 -68.014193],"{'Residential': 0.62, 'Cropland and pasture': 0.28, 'Transportation, communications and services': 0.1}"
23,3,1001,44201,1,46.867821,-68.014193,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2330,63,N,135,214,0,0,0.0,0.0,Certification not required,0,0.017533,0.010438,0.044,1980-08-26 19:00,0.044,1980-09-05 11:00,0.042,1980-08-31 09:00,0.041,1980-08-22 10:00,,,,,0.044,0.042,0.034,0.03,0.026,0.018,0.005,,"CARIBOU AIRPORT, 464 MAIN STREET, CARIBO",Maine,Aroostook,Caribou,,2016-08-18,[ 46.867821 -68.014193],"{'Residential': 0.62, 'Cropland and pasture': 0.28, 'Transportation, communications and services': 0.1}"
23,3,1005,11101,2,46.680655,-68.015244,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,12,61,0,0,,,Certification not required,0,54.818182,28.865264,143.0,1980-11-17 00:00,103.0,1980-11-23 00:00,83.0,1980-10-30 00:00,80.0,1980-12-11 00:00,,,,,143.0,143.0,103.0,83.0,71.0,50.0,29.0,,NORTHEASTLAND HOTEL-MAIN ST.,Maine,Aroostook,Presque Isle,,2010-04-25,[ 46.680655 -68.015244],"{'Commercial and Services': 0.36, 'Residential': 0.55, 'Industrial': 0.09}"
23,3,1005,12128,1,46.680655,-68.015244,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,12,61,0,0,,,Certification not required,0,0.214545,0.135777,0.52,1980-11-20 00:00,0.46,1980-11-17 00:00,0.41,1980-11-14 00:00,0.39,1980-11-23 00:00,,,,,0.52,0.52,0.46,0.41,0.26,0.22,0.06,,NORTHEASTLAND HOTEL-MAIN ST.,Maine,Aroostook,Presque Isle,,2013-06-29,[ 46.680655 -68.015244],"{'Commercial and Services': 0.36, 'Residential': 0.55, 'Industrial': 0.09}"
23,3,1005,12403,1,46.680655,-68.015244,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,12,61,0,0,,,Certification not required,0,10.3,2.662974,17.2,1980-12-29 00:00,15.7,1980-11-26 00:00,14.5,1980-12-02 00:00,12.6,1980-12-23 00:00,,,,,17.2,17.2,15.7,14.5,10.8,10.0,7.8,,NORTHEASTLAND HOTEL-MAIN ST.,Maine,Aroostook,Presque Isle,,2010-04-25,[ 46.680655 -68.015244],"{'Commercial and Services': 0.36, 'Residential': 0.55, 'Industrial': 0.09}"
23,3,2003,11101,1,46.685042,-68.009473,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,42,69,N,35,61,0,0,,,Certification not required,0,44.0,17.16491,86.0,1980-10-24 00:00,80.0,1980-08-25 00:00,75.0,1980-06-26 00:00,74.0,1980-11-17 00:00,,,,,86.0,86.0,75.0,69.0,50.0,43.0,23.0,,P.I. HIGH SCHOOL-FORT ST.,Maine,Aroostook,Presque Isle,,2010-04-25,[ 46.685042 -68.009473],"{'Commercial and Services': 0.41, 'Residential': 0.58, 'Industrial': 0.01}"
23,3,2003,12128,1,46.685042,-68.009473,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,0.1276,0.147797,0.65,1980-06-14 00:00,0.37,1980-10-24 00:00,0.26,1980-09-06 00:00,0.25,1980-09-18 00:00,,,,,0.65,0.65,0.37,0.26,0.15,0.09,0.0,,P.I. HIGH SCHOOL-FORT ST.,Maine,Aroostook,Presque Isle,,2013-06-29,[ 46.685042 -68.009473],"{'Commercial and Services': 0.41, 'Residential': 0.58, 'Industrial': 0.01}"
23,3,2003,12403,1,46.685042,-68.009473,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,7.656,4.361964,22.2,1980-06-26 00:00,15.5,1980-08-31 00:00,12.0,1980-10-18 00:00,11.8,1980-09-30 00:00,,,,,22.2,22.2,15.5,12.0,9.0,6.1,3.9,,P.I. HIGH SCHOOL-FORT ST.,Maine,Aroostook,Presque Isle,,2010-04-25,[ 46.685042 -68.009473],"{'Commercial and Services': 0.41, 'Residential': 0.58, 'Industrial': 0.01}"
23,3,2004,11101,1,46.700875,-68.008083,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,37,61,0,0,,,Certification not required,0,30.098361,14.705673,69.0,1980-05-27 00:00,63.0,1980-06-25 00:00,60.0,1980-05-21 00:00,60.0,1980-08-22 00:00,,,,,69.0,63.0,60.0,50.0,38.0,27.0,14.0,,SKYWAY SCH.-INDUSTRIAL PARK,Maine,Aroostook,Presque Isle,,2010-04-25,[ 46.700875 -68.008083],"{'Streams and canals': 0.18, 'Industrial': 0.44, 'Cropland and pasture': 0.38}"
