State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,3,6,61101,1,47.328373,-68.356154,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,4691,53,N,193,366,0,0,,,Certification not required,0,5.635536,4.445632,30.4,1980-03-15 12:00,26.1,1980-01-12 09:00,26.1,1980-01-12 13:00,26.1,1980-03-15 10:00,,,,,20.0,17.4,15.6,10.4,8.7,4.3,0.0,,FRASER PAPER MILL-BRIDGE ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2016-05-25,[ 47.328373 -68.356154],"{'Cropland and pasture': 0.94, 'Evergreen forest land': 0.06}"
23,3,6,61102,1,47.328373,-68.356154,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,4580,52,N,186,366,0,0,,,Certification not required,0,200.098253,124.375405,360.0,1980-01-05 18:00,360.0,1980-01-06 01:00,360.0,1980-01-06 11:00,360.0,1980-01-15 19:00,,,,,350.0,350.0,340.0,330.0,310.0,240.0,0.0,,FRASER PAPER MILL-BRIDGE ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2016-05-23,[ 47.328373 -68.356154],"{'Cropland and pasture': 0.94, 'Evergreen forest land': 0.06}"
23,3,7,42401,2,47.353929,-68.301986,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,17,28,N,4,61,0,0,0.0,,Certification not required,0,2.647059,1.729927,7.0,1980-04-11 00:00,4.0,1980-03-28 00:00,4.0,1980-04-01 00:00,4.0,1980-04-03 00:00,,,,,7.0,7.0,7.0,4.0,4.0,3.0,0.0,,TOWN GARAGE-MAIN ROAD,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.353929 -68.301986],"{'Residential': 0.58, 'Streams and canals': 0.14, 'Deciduous forest land': 0.18, 'Null area -- no land use assigned': 0.03, 'Evergreen forest land': 0.07}"
23,3,7,42401,2,47.353929,-68.301986,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,17,28,N,4,61,0,0,,,Certification not required,0,2.647059,1.729927,7.0,1980-04-11 00:00,4.0,1980-03-28 00:00,4.0,1980-04-01 00:00,4.0,1980-04-03 00:00,,,,,7.0,7.0,7.0,4.0,4.0,3.0,0.0,,TOWN GARAGE-MAIN ROAD,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.353929 -68.301986],"{'Residential': 0.58, 'Streams and canals': 0.14, 'Deciduous forest land': 0.18, 'Null area -- no land use assigned': 0.03, 'Evergreen forest land': 0.07}"
23,3,8,42401,1,47.352262,-68.330597,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,1980,Parts per billion,No Events,153,100,N,26,61,0,0,0.0,,Certification not required,0,1.869281,2.507076,26.0,1980-07-22 00:00,7.0,1980-08-16 00:00,7.0,1980-09-15 00:00,6.0,1980-07-23 00:00,,,,,7.0,6.0,5.0,4.0,3.0,1.0,0.0,,"TUFF-KOTE SHOP, ELEVENTH AVENUE, MADAWAS",Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.352262 -68.330597],"{'Commercial and Services': 0.08, 'Residential': 0.74, 'Cropland and pasture': 0.18}"
23,3,8,42401,1,47.352262,-68.330597,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC ACID,1980,Parts per billion,No Events,153,100,N,26,61,0,0,,,Certification not required,0,1.869281,2.507076,26.0,1980-07-22 00:00,7.0,1980-08-16 00:00,7.0,1980-09-15 00:00,6.0,1980-07-23 00:00,,,,,7.0,6.0,5.0,4.0,3.0,1.0,0.0,,"TUFF-KOTE SHOP, ELEVENTH AVENUE, MADAWAS",Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.352262 -68.330597],"{'Commercial and Services': 0.08, 'Residential': 0.74, 'Cropland and pasture': 0.18}"
23,3,8,42401,2,47.352262,-68.330597,WGS84,Sulfur dioxide,24 HOUR,SO2 24-hour 1971,Daily Average of observed values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,180,100,N,30,61,0,0,0.0,,Certification not required,0,2.344444,3.312954,23.0,1980-01-10 00:00,17.0,1980-03-28 00:00,14.0,1980-03-17 00:00,12.0,1980-01-11 00:00,,,,,17.0,12.0,10.0,6.0,2.0,1.0,0.0,,"TUFF-KOTE SHOP, ELEVENTH AVENUE, MADAWAS",Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.352262 -68.330597],"{'Commercial and Services': 0.08, 'Residential': 0.74, 'Cropland and pasture': 0.18}"
23,3,8,42401,2,47.352262,-68.330597,WGS84,Sulfur dioxide,24 HOUR,SO2 Annual 1971,Observed Values,GAS-BUBBLER - PARAROSANILINE-SULFAMIC TEMP. CONT,1980,Parts per billion,No Events,180,100,N,30,61,0,0,,,Certification not required,0,2.344444,3.312954,23.0,1980-01-10 00:00,17.0,1980-03-28 00:00,14.0,1980-03-17 00:00,12.0,1980-01-11 00:00,,,,,17.0,12.0,10.0,6.0,2.0,1.0,0.0,,"TUFF-KOTE SHOP, ELEVENTH AVENUE, MADAWAS",Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-10-13,[ 47.352262 -68.330597],"{'Commercial and Services': 0.08, 'Residential': 0.74, 'Cropland and pasture': 0.18}"
23,3,9,11101,1,47.352435,-68.312223,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,48,79,Y,48,61,0,0,,,Certification not required,0,45.041667,20.338579,106.0,1980-04-03 00:00,96.0,1980-10-24 00:00,88.0,1980-03-28 00:00,75.0,1980-04-09 00:00,,,,,106.0,106.0,88.0,72.0,58.0,43.0,24.0,,PORTABLE SHELTER-ALBERT ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2010-04-25,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}"
23,3,9,42401,1,47.352435,-68.312223,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6938,79,N,295,366,0,0,139.0,,Certification not required,0,98.891525,118.648692,950.0,1980-08-05 05:00,680.0,1980-04-03 04:00,660.0,1980-10-22 09:00,530.0,1980-05-25 00:00,,,,,660.0,475.0,322.0,227.0,125.0,70.0,0.0,,PORTABLE SHELTER-ALBERT ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2013-02-16,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}"
23,3,9,42401,1,47.352435,-68.312223,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6938,79,N,295,366,0,0,,,Certification not required,0,22.811185,45.88387,950.0,1980-08-05 05:00,680.0,1980-04-03 04:00,660.0,1980-10-22 09:00,555.0,1980-08-05 07:00,,,,,215.0,152.0,97.0,67.0,30.0,5.0,0.0,,PORTABLE SHELTER-ALBERT ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2013-02-16,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}"
23,3,9,42401,1,47.352435,-68.312223,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,295,81,N,295,366,0,0,0.0,,Certification not required,0,22.683729,24.82158,122.4,1980-05-25 00:00,120.3,1980-02-28 00:00,117.2,1980-04-03 00:00,115.5,1980-08-05 00:00,,,,,117.2,93.5,73.6,57.1,34.1,14.6,0.0,,PORTABLE SHELTER-ALBERT ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2013-02-16,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}"
23,3,9,42401,1,47.352435,-68.312223,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2120,72,N,279,366,0,0,,0.0,Certification not required,0,23.25566,40.411163,411.6,1980-08-05 05:00,381.6,1980-05-25 02:00,368.3,1980-10-22 11:00,362.3,1980-02-28 02:00,,,,,193.3,135.3,90.0,65.6,33.0,6.3,0.0,,PORTABLE SHELTER-ALBERT ST.,Maine,Aroostook,Madawaska (census name for Madawaska Center),,2013-02-16,[ 47.352435 -68.312223],"{'Cropland and pasture': 0.28, 'Deciduous forest land': 0.34, 'Residential': 0.38}"
