State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,5,2,65301,1,44.107524,-70.729165,WGS84,Volume (precip),1 WEEK,,Observed Values,PRECIP - VOLUMETRIC,1980,Millimeters (rainfall),No Events,53,87,Y,9,61,0,0,,,Certification not required,0,4.132075,11.436308,61.1,1980-01-04 00:00,43.1,1980-01-09 00:00,34.1,1980-01-08 00:00,22.7,1980-01-01 00:00,,,,,61.1,43.1,34.1,8.2,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65302,1,44.107524,-70.729165,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - GLASS ELECTRODE,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,1.176604,2.09883,5.91,1980-01-02 00:00,5.19,1980-01-10 00:00,5.13,1980-01-04 00:00,5.07,1980-01-01 00:00,,,,,5.91,5.19,5.13,4.99,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65302,2,44.107524,-70.729165,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,1.126415,2.013431,6.0,1980-01-08 00:00,5.3,1980-01-04 00:00,4.8,1980-01-06 00:00,4.7,1980-01-11 00:00,,,,,6.0,5.3,4.8,4.6,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65303,1,44.107524,-70.729165,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - CONDUCTIVITY CELL,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,4.850943,11.448726,54.4,1980-01-05 00:00,42.1,1980-01-02 00:00,32.2,1980-01-13 00:00,28.1,1980-01-09 00:00,,,,,54.4,42.1,32.2,14.9,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65303,2,44.107524,-70.729165,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,3.835849,10.258788,53.8,1980-01-02 00:00,33.5,1980-01-10 00:00,31.6,1980-01-06 00:00,19.9,1980-01-07 00:00,,,,,53.8,33.5,31.6,16.1,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65311,1,44.107524,-70.729165,WGS84,Sodium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.040566,0.113229,0.66,1980-01-04 00:00,0.39,1980-01-09 00:00,0.26,1980-01-02 00:00,0.17,1980-01-03 00:00,,,,,0.66,0.39,0.26,0.12,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65312,1,44.107524,-70.729165,WGS84,Potassium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.029434,0.15222,1.08,1980-01-02 00:00,0.28,1980-01-01 00:00,0.04,1980-01-03 00:00,0.04,1980-01-11 00:00,,,,,1.08,0.28,0.04,0.03,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65313,1,44.107524,-70.729165,WGS84,Magnesium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.01,0.023859,0.11,1980-01-02 00:00,0.09,1980-01-04 00:00,0.07,1980-01-12 00:00,0.06,1980-01-05 00:00,,,,,0.11,0.09,0.07,0.03,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65314,1,44.107524,-70.729165,WGS84,Calcium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.032075,0.083812,0.43,1980-01-05 00:00,0.3,1980-01-02 00:00,0.28,1980-01-12 00:00,0.14,1980-01-11 00:00,,,,,0.43,0.3,0.28,0.09,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
23,5,2,65316,1,44.107524,-70.729165,WGS84,Chloride (precip),1 WEEK,,Observed Values,PRECIP - COLORIMETRIC,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.093208,0.22418,1.14,1980-01-04 00:00,0.87,1980-01-02 00:00,0.65,1980-01-09 00:00,0.37,1980-01-05 00:00,,,,,1.14,0.87,0.65,0.31,0.0,0.0,0.0,,"UPPER RIDGE ROAD, ROUTE #2",Maine,Cumberland,,"Portland-South Portland, ME",2016-03-10,[ 44.107524 -70.729165],"{'Cropland and pasture': 0.3670886075949367, 'Mixed forest land': 0.6329113924050633}"
