State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,7,3,11101,1,44.492567,-70.230852,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,273,100,Y,60,61,0,0,,,Certification not required,0,28.347985,17.634769,104.0,1980-05-03 00:00,102.0,1980-12-07 00:00,86.0,1980-02-19 00:00,86.0,1980-11-21 00:00,,,,,86.0,83.0,62.0,52.0,37.0,24.0,12.0,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-04-25,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,12128,1,44.492567,-70.230852,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,2,3,N,2,61,0,0,,,Certification not required,0,0.065,0.091924,0.13,1980-02-19 00:00,0.0,1980-02-14 00:00,,,,,,,,,0.13,0.13,0.13,0.13,0.13,0.13,0.0,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2013-06-29,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,12403,1,44.492567,-70.230852,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,3,14,N,3,21,0,0,,,Certification not required,0,12.833333,2.844878,16.1,1980-05-03 00:00,11.5,1980-02-14 00:00,10.9,1980-02-19 00:00,,,,,,,16.1,16.1,16.1,16.1,16.1,11.5,10.9,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-04-25,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,42401,1,44.492567,-70.230852,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,655,7,N,27,366,0,0,0.0,,Certification not required,0,13.740741,10.625052,49.0,1980-11-27 14:00,35.0,1980-12-07 13:00,31.0,1980-11-28 12:00,23.0,1980-12-04 18:00,,,,,49.0,49.0,35.0,31.0,16.0,10.0,4.0,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-10-13,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,42401,1,44.492567,-70.230852,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,655,7,N,27,366,0,0,,,Certification not required,0,5.285496,4.764101,49.0,1980-11-27 14:00,35.0,1980-12-07 13:00,35.0,1980-12-28 11:00,34.0,1980-12-07 14:00,,,,,31.0,20.0,14.0,9.0,6.0,4.0,3.0,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-10-13,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,42401,1,44.492567,-70.230852,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,27,7,N,27,366,0,0,0.0,,Certification not required,0,4.925926,1.688557,8.3,1980-12-29 00:00,8.1,1980-12-07 00:00,7.7,1980-11-28 00:00,7.4,1980-12-18 00:00,,,,,8.3,8.3,8.1,7.7,5.8,4.8,2.9,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-10-13,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,3,42401,1,44.492567,-70.230852,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,197,7,N,27,366,0,0,,0.0,Certification not required,0,5.290355,4.052482,29.6,1980-12-28 11:00,26.3,1980-12-07 14:00,22.3,1980-12-28 14:00,22.0,1980-11-28 02:00,,,,,26.3,22.0,12.3,10.0,6.0,4.0,2.6,,JEWELL PROPERTY-CRASH ROAD,Maine,Franklin,,,2010-10-13,[ 44.492567 -70.230852],{'Mixed forest land': 1.0}
23,7,4,11101,1,44.51098,-70.221318,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,245,100,Y,56,61,0,0,,,Certification not required,0,35.640816,27.489819,175.0,1980-02-14 00:00,146.0,1980-08-01 00:00,134.0,1980-02-19 00:00,130.0,1980-06-24 00:00,,,,,134.0,127.0,87.0,72.0,45.0,27.0,13.0,,BOMASTER PROPERTY-JAY HILL,Maine,Franklin,,,2010-04-25,[ 44.51098  -70.221318],"{'Residential': 0.66, 'Mixed forest land': 0.34}"
23,7,4,12128,1,44.51098,-70.221318,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,2,3,N,2,61,0,0,,,Certification not required,0,0.21,0.296985,0.42,1980-02-19 00:00,0.0,1980-02-14 00:00,,,,,,,,,0.42,0.42,0.42,0.42,0.42,0.42,0.0,,BOMASTER PROPERTY-JAY HILL,Maine,Franklin,,,2013-06-29,[ 44.51098  -70.221318],"{'Residential': 0.66, 'Mixed forest land': 0.34}"
23,7,4,12403,1,44.51098,-70.221318,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,4,19,N,4,21,0,0,,,Certification not required,0,14.625,4.092575,19.8,1980-03-05 00:00,14.7,1980-02-19 00:00,14.2,1980-02-14 00:00,9.8,1980-05-03 00:00,,,,,19.8,19.8,19.8,19.8,19.8,14.7,9.8,,BOMASTER PROPERTY-JAY HILL,Maine,Franklin,,,2010-04-25,[ 44.51098  -70.221318],"{'Residential': 0.66, 'Mixed forest land': 0.34}"
