State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,9,3,65301,1,44.37369,-68.258627,WGS84,Volume (precip),1 WEEK,,Observed Values,PRECIP - VOLUMETRIC,1980,Millimeters (rainfall),No Events,53,87,Y,9,61,0,0,,,Certification not required,0,3.822642,12.863569,76.1,1980-01-02 00:00,48.1,1980-01-01 00:00,19.9,1980-01-03 00:00,18.3,1980-01-05 00:00,,,,,76.1,48.1,19.9,12.9,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65302,1,44.37369,-68.258627,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - GLASS ELECTRODE,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.601321,1.562467,5.24,1980-01-02 00:00,4.83,1980-01-01 00:00,4.68,1980-01-07 00:00,4.52,1980-01-04 00:00,,,,,5.24,4.83,4.68,4.09,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65302,2,44.37369,-68.258627,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.603774,1.568557,5.2,1980-01-01 00:00,5.0,1980-01-02 00:00,4.6,1980-01-07 00:00,4.5,1980-01-04 00:00,,,,,5.2,5.0,4.6,4.2,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65303,1,44.37369,-68.258627,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - CONDUCTIVITY CELL,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,3.807547,10.848606,52.1,1980-01-03 00:00,36.9,1980-01-06 00:00,31.6,1980-01-02 00:00,26.9,1980-01-04 00:00,,,,,52.1,36.9,31.6,15.8,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65303,2,44.37369,-68.258627,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,4.211321,11.67808,53.2,1980-01-03 00:00,39.5,1980-01-07 00:00,35.9,1980-01-06 00:00,27.5,1980-01-04 00:00,,,,,53.2,39.5,35.9,26.2,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65311,1,44.37369,-68.258627,WGS84,Sodium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.21434,0.703799,4.18,1980-01-02 00:00,2.21,1980-01-03 00:00,1.82,1980-01-04 00:00,0.95,1980-01-05 00:00,,,,,4.18,2.21,1.82,0.72,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65312,1,44.37369,-68.258627,WGS84,Potassium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.008868,0.027362,0.15,1980-01-02 00:00,0.1,1980-01-03 00:00,0.07,1980-01-04 00:00,0.04,1980-01-01 00:00,,,,,0.15,0.1,0.07,0.04,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65313,1,44.37369,-68.258627,WGS84,Magnesium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.026981,0.086726,0.5,1980-01-02 00:00,0.29,1980-01-03 00:00,0.23,1980-01-04 00:00,0.12,1980-01-05 00:00,,,,,0.5,0.29,0.23,0.09,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65314,1,44.37369,-68.258627,WGS84,Calcium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.013962,0.03924,0.17,1980-01-03 00:00,0.16,1980-01-02 00:00,0.11,1980-01-06 00:00,0.1,1980-01-04 00:00,,,,,0.17,0.16,0.11,0.07,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
23,9,3,65316,1,44.37369,-68.258627,WGS84,Chloride (precip),1 WEEK,,Observed Values,PRECIP - COLORIMETRIC,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.38,1.25801,7.52,1980-01-02 00:00,3.92,1980-01-03 00:00,3.23,1980-01-04 00:00,1.64,1980-01-05 00:00,,,,,7.52,3.92,3.23,1.3,0.0,0.0,0.0,,"MCFARLAND HILL, RANGER HDQTS., ACADIA NA",Maine,Hancock,Not in a city,,2016-03-10,[ 44.37369  -68.258627],"{'Commercial and Services': 0.07, 'Bays and estuaries': 0.5, 'Mixed forest land': 0.29, 'Evergreen forest land': 0.14}"
