State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,17,3,11101,2,44.541175,-70.521453,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,309,100,Y,61,61,0,0,,,Certification not required,0,53.873786,24.89524,207.0,1980-12-04 00:00,141.0,1980-05-22 00:00,141.0,1980-10-17 00:00,139.0,1980-02-19 00:00,,,,,139.0,127.0,97.0,82.0,65.0,50.0,27.0,,RUM-MEX SEWAGE TREATMENT PLT,Maine,Oxford,Mexico (census name for Mexico Center),,2010-04-25,[ 44.541175 -70.521453],"{'Residential': 0.15, 'Streams and canals': 0.34, 'Evergreen forest land': 0.51}"
23,17,3,12403,3,44.541175,-70.521453,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,42,69,N,42,61,0,0,,,Certification not required,0,15.171429,7.861555,36.5,1980-06-26 00:00,35.6,1980-08-25 00:00,34.5,1980-12-05 00:00,32.0,1980-12-29 00:00,,,,,36.5,36.5,34.5,28.9,16.1,13.9,7.8,,RUM-MEX SEWAGE TREATMENT PLT,Maine,Oxford,Mexico (census name for Mexico Center),,2010-04-25,[ 44.541175 -70.521453],"{'Residential': 0.15, 'Streams and canals': 0.34, 'Evergreen forest land': 0.51}"
23,17,6,11101,1,44.558674,-70.533121,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,314,100,Y,61,61,0,0,,,Certification not required,0,34.595541,22.590085,133.0,1980-02-19 00:00,124.0,1980-12-28 00:00,124.0,1980-12-29 00:00,121.0,1980-11-24 00:00,,,,,121.0,102.0,80.0,61.0,44.0,28.0,13.0,,CARTER'S-93 HARLOW HILL RD.,Maine,Oxford,Mexico (census name for Mexico Center),,2010-04-25,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}"
23,17,6,42401,1,44.558674,-70.533121,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8246,94,Y,358,366,0,0,8.0,,Certification not required,0,17.22067,19.881411,130.0,1980-05-03 07:00,125.0,1980-03-10 09:00,95.0,1980-05-13 08:00,95.0,1980-06-15 10:00,,,,,95.0,90.0,60.0,40.0,20.0,10.0,0.0,,CARTER'S-93 HARLOW HILL RD.,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}"
23,17,6,42401,1,44.558674,-70.533121,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8246,94,Y,358,366,0,0,,,Certification not required,0,4.165656,8.082426,130.0,1980-05-03 07:00,125.0,1980-03-10 09:00,95.0,1980-05-13 08:00,95.0,1980-06-15 10:00,,,,,35.0,30.0,20.0,10.0,5.0,0.0,0.0,,CARTER'S-93 HARLOW HILL RD.,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}"
23,17,6,42401,1,44.558674,-70.533121,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,358,98,Y,358,366,0,0,0.0,,Certification not required,0,4.171508,4.918988,33.3,1980-02-19 00:00,23.7,1980-03-07 00:00,22.6,1980-12-28 00:00,21.5,1980-12-24 00:00,,,,,21.5,19.6,13.9,10.9,6.1,2.6,0.0,,CARTER'S-93 HARLOW HILL RD.,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}"
23,17,6,42401,1,44.558674,-70.533121,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2491,85,Y,349,366,0,0,,0.0,Certification not required,0,4.159053,7.215372,71.6,1980-05-03 08:00,68.3,1980-02-19 11:00,61.6,1980-06-15 11:00,60.0,1980-02-19 08:00,,,,,35.0,26.6,16.6,11.6,5.0,0.0,0.0,,CARTER'S-93 HARLOW HILL RD.,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.558674 -70.533121],"{'Commercial and Services': 0.11, 'Residential': 0.28, 'Streams and canals': 0.02, 'Cropland and pasture': 0.35, 'Evergreen forest land': 0.24}"
23,17,7,42401,1,44.543397,-70.52701,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8240,94,Y,357,366,0,0,11.0,,Certification not required,0,32.210084,21.432887,130.0,1980-08-30 07:00,125.0,1980-09-20 07:00,100.0,1980-06-15 09:00,100.0,1980-08-08 07:00,,,,,100.0,80.0,70.0,60.0,40.0,30.0,10.0,,RIVERSIDE SERVICE STA.-RT#2,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.543397 -70.52701 ],"{'Streams and canals': 0.39, 'Evergreen forest land': 0.61}"
23,17,7,42401,1,44.543397,-70.52701,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8240,94,Y,357,366,0,0,,,Certification not required,0,10.001092,13.094607,130.0,1980-08-30 07:00,130.0,1980-08-30 08:00,125.0,1980-09-20 07:00,100.0,1980-06-15 09:00,,,,,55.0,50.0,35.0,30.0,15.0,5.0,0.0,,RIVERSIDE SERVICE STA.-RT#2,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.543397 -70.52701 ],"{'Streams and canals': 0.39, 'Evergreen forest land': 0.61}"
23,17,7,42401,1,44.543397,-70.52701,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,357,98,Y,357,366,0,0,0.0,,Certification not required,0,9.977031,8.529076,50.4,1980-11-12 00:00,47.1,1980-01-31 00:00,43.7,1980-02-02 00:00,40.5,1980-02-01 00:00,,,,,40.5,32.0,27.6,21.1,14.3,8.0,1.3,,RIVERSIDE SERVICE STA.-RT#2,Maine,Oxford,Mexico (census name for Mexico Center),,2013-02-16,[ 44.543397 -70.52701 ],"{'Streams and canals': 0.39, 'Evergreen forest land': 0.61}"
