State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,19,1,11101,1,44.801738,-68.771147,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,183,100,Y,61,61,0,0,,,Certification not required,0,49.819672,23.361828,139.0,1980-03-04 00:00,132.0,1980-01-10 00:00,128.0,1980-02-06 00:00,122.0,1980-12-02 00:00,,,,,132.0,122.0,100.0,81.0,58.0,44.0,26.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-04-25,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,12403,1,44.801738,-68.771147,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - METHYLTHYMOL BLUE,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,10.222414,4.065863,25.8,1980-08-31 00:00,22.3,1980-06-26 00:00,18.4,1980-07-20 00:00,17.5,1980-12-23 00:00,,,,,25.8,22.3,18.4,16.3,11.2,9.2,6.3,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-04-25,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42101,1,44.801738,-68.771147,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8112,92,Y,334,366,0,0,0.0,0.0,Certification not required,0,1.130276,1.467789,13.2,1980-12-22 16:00,12.0,1980-12-29 17:00,11.3,1980-12-12 16:00,10.7,1980-11-20 17:00,,,,,6.7,5.5,4.2,3.2,1.7,0.5,0.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2016-04-19,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42101,1,44.801738,-68.771147,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8118,92,Y,334,366,0,0,0.0,0.0,Certification not required,0,1.135403,1.254828,8.2,1980-11-20 23:00,8.2,1980-12-29 19:00,8.1,1980-12-29 17:00,8.1,1980-12-29 18:00,8.2,1980-11-20 23:00,8.2,1980-12-29 19:00,5.6,4.8,3.7,2.9,1.6,0.7,0.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2016-04-19,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42401,2,44.801738,-68.771147,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7613,87,Y,321,366,0,0,0.0,,Certification not required,0,19.242991,11.721114,68.0,1980-01-07 10:00,60.0,1980-12-08 10:00,58.0,1980-11-21 10:00,55.0,1980-02-20 07:00,,,,,55.0,53.0,40.0,35.0,25.0,17.0,7.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-10-13,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42401,2,44.801738,-68.771147,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7613,87,Y,321,366,0,0,,,Certification not required,0,8.480625,7.862006,68.0,1980-01-07 10:00,60.0,1980-12-08 10:00,58.0,1980-11-21 10:00,55.0,1980-01-07 09:00,,,,,35.0,30.0,23.0,18.0,12.0,7.0,0.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-10-13,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42401,2,44.801738,-68.771147,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,321,88,Y,321,366,0,0,0.0,,Certification not required,0,8.301869,5.74385,28.4,1980-02-20 00:00,26.7,1980-01-07 00:00,26.7,1980-12-08 00:00,26.1,1980-02-12 00:00,,,,,26.1,21.5,18.1,16.7,12.3,7.1,1.6,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-10-13,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,42401,2,44.801738,-68.771147,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2258,77,N,299,366,0,0,,0.0,Certification not required,0,8.465988,7.404558,57.0,1980-01-07 11:00,48.3,1980-02-20 08:00,48.0,1980-11-21 11:00,47.3,1980-02-20 05:00,,,,,32.3,27.6,22.3,18.3,12.3,7.0,0.6,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2010-10-13,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,61101,1,44.801738,-68.771147,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,7859,89,Y,326,366,0,0,,,Certification not required,0,4.450884,3.078274,18.2,1980-03-11 13:00,18.2,1980-10-25 21:00,18.2,1980-10-25 22:00,18.2,1980-10-25 23:00,,,,,13.9,12.2,10.4,8.7,6.1,3.5,0.9,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2016-05-25,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
23,19,1,61102,1,44.801738,-68.771147,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,7642,87,Y,313,366,0,0,,,Certification not required,0,223.6391,100.188865,360.0,1980-01-02 17:00,360.0,1980-01-02 18:00,360.0,1980-01-02 21:00,360.0,1980-01-02 22:00,,,,,360.0,360.0,350.0,340.0,310.0,240.0,90.0,NEPHELOMETER UNDER ROOF ON OFFICE,BANGOR OFFICE-31 CENTRAL ST.,Maine,Penobscot,Bangor,"Bangor, ME",2016-05-23,[ 44.801738 -68.771147],"{'Commercial and Services': 0.69, 'Residential': 0.29, 'Streams and canals': 0.02}"
