State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
23,21,1,65301,1,45.489213,-69.663668,WGS84,Volume (precip),1 WEEK,,Observed Values,PRECIP - VOLUMETRIC,1980,Millimeters (rainfall),No Events,53,87,Y,9,61,0,0,,,Certification not required,0,16.396226,14.770513,57.9,1980-01-11 00:00,48.8,1980-02-10 00:00,45.4,1980-02-04 00:00,36.7,1980-01-27 00:00,,,,,57.9,48.8,45.4,36.3,26.8,13.7,0.3,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65302,1,45.489213,-69.663668,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - GLASS ELECTRODE,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,4.344151,1.260027,6.94,1980-01-05 00:00,6.32,1980-01-16 00:00,6.12,1980-02-12 00:00,6.01,1980-01-22 00:00,,,,,6.94,6.32,6.12,5.38,4.83,4.42,3.78,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65302,2,45.489213,-69.663668,WGS84,PH (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,pH Units,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,2.168868,2.263511,5.35,1980-01-19 00:00,5.3,1980-01-25 00:00,5.25,1980-01-22 00:00,5.2,1980-01-15 00:00,,,,,5.35,5.3,5.25,4.95,4.2,0.0,0.0,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65303,1,45.489213,-69.663668,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - CONDUCTIVITY CELL,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,22.698113,17.56125,81.9,1980-01-09 00:00,60.8,1980-01-11 00:00,58.7,1980-01-03 00:00,46.8,1980-01-22 00:00,,,,,81.9,60.8,58.7,42.1,34.5,20.7,0.0,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65303,2,45.489213,-69.663668,WGS84,Conductivity (precip),1 WEEK,,Observed Values,PRECIP - FIELD TEST,1980,Microsiemens/centimeter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,5.907547,7.616249,31.8,1980-01-23 00:00,22.0,1980-01-14 00:00,18.0,1980-01-01 00:00,17.4,1980-01-24 00:00,,,,,31.8,22.0,18.0,16.5,11.4,0.0,0.0,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65311,1,45.489213,-69.663668,WGS84,Sodium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.904906,2.488453,15.83,1980-01-11 00:00,7.45,1980-01-07 00:00,5.64,1980-01-03 00:00,2.91,1980-01-01 00:00,,,,,15.83,7.45,5.64,2.03,0.48,0.18,0.02,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65312,1,45.489213,-69.663668,WGS84,Potassium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.080566,0.153891,1.04,1980-01-31 00:00,0.36,1980-01-14 00:00,0.29,1980-01-10 00:00,0.28,1980-02-05 00:00,,,,,1.04,0.36,0.29,0.16,0.09,0.03,0.0,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65313,1,45.489213,-69.663668,WGS84,Magnesium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.066604,0.092631,0.5,1980-01-10 00:00,0.29,1980-01-07 00:00,0.27,1980-02-05 00:00,0.24,1980-01-29 00:00,,,,,0.5,0.29,0.27,0.17,0.08,0.03,0.01,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65314,1,45.489213,-69.663668,WGS84,Calcium (precip),1 WEEK,,Observed Values,PRECIP - ATOMIC ABSORPTION,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.321132,0.560311,3.32,1980-01-10 00:00,1.69,1980-01-03 00:00,1.33,1980-01-07 00:00,1.15,1980-02-05 00:00,,,,,3.32,1.69,1.33,1.11,0.28,0.11,0.02,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65316,1,45.489213,-69.663668,WGS84,Chloride (precip),1 WEEK,,Observed Values,PRECIP - COLORIMETRIC,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.749434,1.54446,7.99,1980-01-03 00:00,7.91,1980-01-07 00:00,2.77,1980-01-10 00:00,1.9,1980-01-02 00:00,,,,,7.99,7.91,2.77,1.59,0.6,0.27,0.09,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
23,21,1,65318,1,45.489213,-69.663668,WGS84,Ammonium (precip),1 WEEK,,Observed Values,PRECIP - SODIUM PHENOLATE/HYPOCHIORITE,1980,Milligrams/liter,No Events,53,87,Y,9,61,0,0,,,Certification not required,0,0.221132,0.371041,2.13,1980-01-10 00:00,1.28,1980-01-13 00:00,0.96,1980-01-03 00:00,0.85,1980-01-14 00:00,,,,,2.13,1.28,0.96,0.49,0.27,0.1,0.0,,"SQUAW BROOK-GREENVILLE, ME",Maine,Piscataquis,Not in a city,,2016-03-10,[ 45.489213 -69.663668],"{'Deciduous forest land': 0.03, 'Mixed forest land': 0.97}"
