State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,3,1,11101,1,39.211694,-76.652995,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,21,34,N,21,61,0,0,,,Certification not required,0,58.47619,16.42443,89.0,1980-02-15 00:00,81.0,1980-04-03 00:00,78.0,1980-01-04 00:00,73.0,1980-01-10 00:00,,,,,89.0,89.0,81.0,78.0,71.0,58.0,35.0,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,12110,1,39.211694,-76.652995,WGS84,Cadmium (TSP) STP,COMPOSITE DATA,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,3,60,N,3,5,0,0,,,Certification not required,0,0.022,0.005196,0.025,1980-01-01 00:00,0.025,1980-03-01 00:00,0.016,1980-02-01 00:00,,,,,,,0.025,0.025,0.025,0.025,0.025,0.025,0.016,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,12112,1,39.211694,-76.652995,WGS84,Chromium (TSP) STP,COMPOSITE DATA,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,3,60,N,3,5,0,0,,,Certification not required,0,0.021667,0.008145,0.031,1980-01-01 00:00,0.018,1980-03-01 00:00,0.016,1980-02-01 00:00,,,,,,,0.031,0.031,0.031,0.031,0.031,0.018,0.016,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,12128,1,39.211694,-76.652995,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,4,33,N,4,12,0,0,,,Certification not required,0,0.5075,0.136432,0.696,1980-01-01 00:00,0.5,1980-03-01 00:00,0.461,1980-02-01 00:00,0.373,1980-05-01 00:00,,,,,0.696,0.696,0.696,0.696,0.696,0.5,0.373,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2015-07-22,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,42602,1,39.211694,-76.652995,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,714,8,N,26,366,0,0,0.0,,Certification not required,0,41.346154,17.306513,80.0,1980-05-20 17:00,74.0,1980-05-19 15:00,62.0,1980-05-21 08:00,59.0,1980-05-17 02:00,,,,,91.0,91.0,80.0,62.0,46.0,40.0,11.0,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2013-05-16,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,42602,1,39.211694,-76.652995,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,714,8,N,26,366,0,0,,,Certification not required,0,24.362745,15.575048,91.0,1980-05-16 19:00,80.0,1980-05-20 17:00,79.0,1980-05-20 16:00,74.0,1980-05-19 15:00,,,,,65.0,58.0,45.0,42.0,35.0,27.0,2.0,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2013-05-16,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,44201,1,39.211694,-76.652995,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,1370,9,N,20,214,0,0,0.0,0.0,Certification not required,0,0.04385,0.015469,0.069,1980-04-20 12:00,0.067,1980-05-02 14:00,0.065,1980-04-19 13:00,0.061,1980-04-24 21:00,,,,,0.069,0.069,0.069,0.067,0.057,0.046,0.039,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2016-08-18,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,44201,1,39.211694,-76.652995,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1369,9,N,20,214,0,0,0.0,0.0,Certification not required,0,0.03325,0.013615,0.06,1980-04-20 10:00,0.054,1980-04-19 10:00,0.048,1980-05-03 10:00,0.047,1980-05-02 10:00,,,,,0.06,0.06,0.06,0.054,0.045,0.036,0.03,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2016-08-18,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,44201,1,39.211694,-76.652995,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1369,9,N,20,214,0,0,0.0,0.0,Certification not required,0,0.03325,0.013615,0.06,1980-04-20 10:00,0.054,1980-04-19 10:00,0.048,1980-05-03 10:00,0.047,1980-05-02 10:00,,,,,0.06,0.06,0.06,0.054,0.045,0.036,0.03,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2016-08-18,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
24,3,1,44201,1,39.211694,-76.652995,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,963,9,N,20,214,0,0,0.0,0.0,Certification not required,0,0.0319,0.015328,0.06,1980-04-20 10:00,0.054,1980-04-19 10:00,0.048,1980-05-03 10:00,0.047,1980-05-02 10:00,,,,,0.06,0.06,0.06,0.054,0.045,0.036,0.03,,"OVERLOOK ELEM SCH,HAMPTON DR.LINTHICUM",Maryland,Anne Arundel,Linthicum (census name for Linthicum Heights),"Baltimore-Columbia-Towson, MD",2016-08-18,[ 39.211694 -76.652995],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Transportation, communications and services': 0.21}"
