State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,510,1,11101,3,39.291218,-76.609411,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,100,100,Y,54,61,0,0,,,Certification not required,0,91.62,44.327701,284.0,1980-03-04 00:00,251.0,1980-03-10 00:00,193.0,1980-08-01 00:00,187.0,1980-03-07 00:00,,,,,284.0,251.0,165.0,152.0,114.0,86.0,47.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12103,1,39.291218,-76.609411,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.004833,0.007494,0.015,1980-02-21 00:00,0.014,1980-03-04 00:00,0.0,1980-03-16 00:00,0.0,1980-04-09 00:00,,,,,0.015,0.015,0.015,0.015,0.014,0.0,0.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2012-09-20,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12105,1,39.291218,-76.609411,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.095,0.147479,0.3,1980-04-09 00:00,0.27,1980-03-04 00:00,0.0,1980-02-21 00:00,0.0,1980-03-16 00:00,,,,,0.3,0.3,0.3,0.3,0.27,0.0,0.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2012-09-20,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12107,1,39.291218,-76.609411,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-03-16 00:00,0.0,1980-04-09 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2016-04-01,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12110,1,39.291218,-76.609411,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.000667,0.000816,0.002,1980-03-04 00:00,0.001,1980-04-09 00:00,0.001,1980-04-21 00:00,0.0,1980-02-21 00:00,,,,,0.002,0.002,0.002,0.002,0.001,0.001,0.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2012-09-24,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12110,5,39.291218,-76.609411,WGS84,Cadmium (TSP) STP,COMPOSITE DATA,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,3,25,N,3,12,0,0,,,Certification not required,0,0.022,0.005196,0.025,1980-01-01 00:00,0.025,1980-03-01 00:00,0.016,1980-02-01 00:00,,,,,,,0.025,0.025,0.025,0.025,0.025,0.025,0.016,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12112,3,39.291218,-76.609411,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.22645,0.23222,0.5794,1980-03-04 00:00,0.4605,1980-04-09 00:00,0.1331,1980-04-21 00:00,0.0725,1980-06-08 00:00,,,,,0.5794,0.5794,0.5794,0.5794,0.4605,0.1331,0.0475,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12112,5,39.291218,-76.609411,WGS84,Chromium (TSP) STP,COMPOSITE DATA,,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,3,25,N,3,12,0,0,,,Certification not required,0,0.137333,0.056801,0.175,1980-01-01 00:00,0.165,1980-03-01 00:00,0.072,1980-02-01 00:00,,,,,,,0.175,0.175,0.175,0.175,0.175,0.165,0.072,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12113,3,39.291218,-76.609411,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.0004,0.00098,0.0024,1980-03-04 00:00,0.0,1980-02-21 00:00,0.0,1980-03-16 00:00,0.0,1980-04-09 00:00,,,,,0.0024,0.0024,0.0024,0.0024,0.0,0.0,0.0,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2012-09-21,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
24,510,1,12114,1,39.291218,-76.609411,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,6,10,N,6,61,0,0,,,Certification not required,0,0.314167,0.336285,0.972,1980-06-08 00:00,0.348,1980-04-09 00:00,0.208,1980-04-21 00:00,0.181,1980-03-04 00:00,,,,,0.972,0.972,0.972,0.972,0.348,0.208,0.077,,FIRE DEPT HQ BLDG 410 E LEXINGTON ST,Maryland,Baltimore (City),Baltimore,"Baltimore-Columbia-Towson, MD",2010-04-25,[ 39.291218 -76.609411],"{'Commercial and Services': 0.93, 'Transportation, communications and services': 0.07}"
