State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,9,1,11101,1,38.070128,-76.458564,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,40,66,N,40,61,0,0,,,Certification not required,0,42.075,11.902138,69.0,1980-01-28 00:00,67.0,1980-07-02 00:00,67.0,1980-08-01 00:00,63.0,1980-06-20 00:00,,,,,69.0,69.0,67.0,63.0,49.0,41.0,29.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12103,1,38.070128,-76.458564,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.00225,0.005362,0.016,1980-05-27 00:00,0.011,1980-01-28 00:00,0.0,1980-01-16 00:00,0.0,1980-02-09 00:00,,,,,0.016,0.016,0.016,0.011,0.0,0.0,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-09-20,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12105,1,38.070128,-76.458564,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-09-20,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12107,1,38.070128,-76.458564,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-04-01,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12110,1,38.070128,-76.458564,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.001833,0.001749,0.006,1980-06-08 00:00,0.004,1980-03-28 00:00,0.003,1980-02-09 00:00,0.002,1980-01-28 00:00,,,,,0.006,0.006,0.006,0.004,0.003,0.001,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-09-24,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12112,2,38.070128,-76.458564,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.007308,0.007282,0.0217,1980-02-21 00:00,0.0155,1980-01-28 00:00,0.0109,1980-03-16 00:00,0.0107,1980-04-09 00:00,,,,,0.0217,0.0217,0.0217,0.0155,0.0109,0.01,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-09-21,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12113,2,38.070128,-76.458564,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-09-21,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12114,1,38.070128,-76.458564,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.05475,0.032207,0.126,1980-03-16 00:00,0.088,1980-02-21 00:00,0.087,1980-02-09 00:00,0.07,1980-04-09 00:00,,,,,0.126,0.126,0.126,0.088,0.087,0.048,0.021,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12126,1,38.070128,-76.458564,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.2175,0.160631,0.5,1980-01-28 00:00,0.43,1980-02-09 00:00,0.35,1980-05-27 00:00,0.31,1980-06-20 00:00,,,,,0.5,0.5,0.5,0.43,0.35,0.24,0.0,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-04-01,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
24,9,1,12128,1,38.070128,-76.458564,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,12,20,N,12,61,0,0,,,Certification not required,0,0.078917,0.062127,0.199,1980-02-09 00:00,0.175,1980-01-28 00:00,0.137,1980-01-16 00:00,0.092,1980-02-21 00:00,,,,,0.199,0.199,0.199,0.175,0.137,0.067,0.019,,TIDEHOUSE (SOLOMONS ISLAND),Maryland,Calvert,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013-06-29,[ 38.070128 -76.458564],{'Bays and estuaries': 1.0}
