State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,21,7,12128,1,39.408713,-77.398596,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,8,67,N,8,12,0,0,,,Certification not required,0,0.295625,0.107021,0.501,1980-12-01 00:00,0.359,1980-11-01 00:00,0.346,1980-10-01 00:00,0.304,1980-08-01 00:00,,,,,0.501,0.501,0.501,0.501,0.359,0.304,0.16,,"PUBLIC WORKS HAMILTON AVE, FREDERICK MD",Maryland,Frederick,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2015-07-22,[ 39.408713 -77.398596],"{'Industrial': 0.09, 'Commercial and Services': 0.11, 'Residential': 0.26, 'Other urban or built-up land': 0.02, 'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.02}"
24,21,7,17242,1,39.408713,-77.398596,WGS84,Benzo[a]pyrene (TSP) STP,COMPOSITE DATA,,Observed Values,HI-VOL - THIN LAYER CHROMATOGRAPHY,1980,Nanograms/cubic meter (25 C),No Events,1,8,N,1,12,0,0,,,Certification not required,0,0.2,0.0,0.2,1980-09-01 00:00,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,"PUBLIC WORKS HAMILTON AVE, FREDERICK MD",Maryland,Frederick,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2012-08-11,[ 39.408713 -77.398596],"{'Industrial': 0.09, 'Commercial and Services': 0.11, 'Residential': 0.26, 'Other urban or built-up land': 0.02, 'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.02}"
24,21,7,61101,1,39.408713,-77.398596,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,23,0,N,1,366,0,0,,,Certification not required,0,3.665217,1.523336,7.6,1980-12-11 01:00,7.3,1980-12-11 03:00,5.0,1980-12-11 21:00,4.8,1980-12-11 02:00,,,,,7.6,7.6,7.3,5.0,4.6,3.2,2.3,,"PUBLIC WORKS HAMILTON AVE, FREDERICK MD",Maryland,Frederick,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 39.408713 -77.398596],"{'Industrial': 0.09, 'Commercial and Services': 0.11, 'Residential': 0.26, 'Other urban or built-up land': 0.02, 'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.02}"
24,21,7,61102,1,39.408713,-77.398596,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,23,0,N,1,366,0,0,,,Certification not required,0,233.391304,47.690993,327.0,1980-12-11 04:00,321.0,1980-12-11 05:00,313.0,1980-12-11 01:00,301.0,1980-12-11 03:00,,,,,327.0,327.0,321.0,313.0,281.0,211.0,193.0,,"PUBLIC WORKS HAMILTON AVE, FREDERICK MD",Maryland,Frederick,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 39.408713 -77.398596],"{'Industrial': 0.09, 'Commercial and Services': 0.11, 'Residential': 0.26, 'Other urban or built-up land': 0.02, 'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.02}"
24,21,33,11101,1,39.255381,-77.479431,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,56,61,0,0,,,Certification not required,0,42.241379,14.449319,72.0,1980-06-14 00:00,72.0,1980-09-12 00:00,67.0,1980-09-30 00:00,65.0,1980-07-26 00:00,,,,,72.0,72.0,67.0,63.0,53.0,40.0,24.0,,FILTRATION PLANT WATER PLANT ROAD,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 39.255381 -77.479431],"{'Streams and canals': 0.027522935779816515, 'Industrial': 0.08256880733944955, 'Cropland and pasture': 0.8899082568807339}"
24,21,34,44201,1,39.479824,-77.231648,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4027,49,N,105,214,0,0,1.0,1.0,Certification not required,0,0.062914,0.024935,0.15,1980-08-29 14:00,0.124,1980-09-13 13:00,0.119,1980-10-29 01:00,0.117,1980-08-04 13:00,,,,,0.124,0.119,0.106,0.088,0.078,0.064,0.034,,MARTIN RESIDENCE FREDERICK COUNTY,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.479824 -77.231648],{'Cropland and pasture': 1.0}
24,21,34,44201,1,39.479824,-77.231648,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3971,48,N,103,214,0,0,5.0,5.0,Certification not required,0,0.052583,0.021337,0.119,1980-08-29 11:00,0.109,1980-09-13 10:00,0.096,1980-08-28 11:00,0.096,1980-09-04 13:00,,,,,0.109,0.096,0.082,0.076,0.067,0.053,0.029,,MARTIN RESIDENCE FREDERICK COUNTY,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.479824 -77.231648],{'Cropland and pasture': 1.0}
24,21,34,44201,1,39.479824,-77.231648,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3971,48,N,103,214,0,0,13.0,13.0,Certification not required,0,0.052583,0.021337,0.119,1980-08-29 11:00,0.109,1980-09-13 10:00,0.096,1980-08-28 11:00,0.096,1980-09-04 13:00,,,,,0.109,0.096,0.082,0.076,0.067,0.053,0.029,,MARTIN RESIDENCE FREDERICK COUNTY,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.479824 -77.231648],{'Cropland and pasture': 1.0}
24,21,34,44201,1,39.479824,-77.231648,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2811,48,N,103,214,0,0,19.0,19.0,Certification not required,0,0.052816,0.02142,0.119,1980-08-29 11:00,0.109,1980-09-13 10:00,0.096,1980-08-28 11:00,0.096,1980-09-04 13:00,,,,,0.109,0.096,0.082,0.076,0.066,0.056,0.029,,MARTIN RESIDENCE FREDERICK COUNTY,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.479824 -77.231648],{'Cropland and pasture': 1.0}
24,21,34,61101,1,39.479824,-77.231648,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,3383,39,N,132,366,0,0,,,Certification not required,0,33.137629,38.859096,226.0,1980-11-10 10:00,219.9,1980-12-24 22:00,218.1,1980-12-24 21:00,217.3,1980-10-26 14:00,,,,,155.5,138.2,110.4,90.4,55.6,13.0,1.0,,MARTIN RESIDENCE FREDERICK COUNTY,Maryland,Frederick,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-05-25,[ 39.479824 -77.231648],{'Cropland and pasture': 1.0}
