State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,31,11,11101,1,39.016777,-77.071922,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,44.692308,19.429399,82.0,1980-08-25 00:00,78.0,1980-02-15 00:00,72.0,1980-01-10 00:00,70.0,1980-09-18 00:00,,,,,82.0,82.0,78.0,72.0,62.0,41.0,17.0,,"JR HIGH SCH, 3701 SAUL RD, KENSINGTON MD",Maryland,Montgomery,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 39.016777 -77.071922],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
24,31,11,12128,1,39.016777,-77.071922,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,3,25,N,3,12,0,0,,,Certification not required,0,0.38,0.198484,0.586,1980-01-01 00:00,0.364,1980-02-01 00:00,0.19,1980-10-01 00:00,,,,,,,0.586,0.586,0.586,0.586,0.586,0.364,0.19,,"JR HIGH SCH, 3701 SAUL RD, KENSINGTON MD",Maryland,Montgomery,Not in a city,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2015-07-22,[ 39.016777 -77.071922],"{'Commercial and Services': 0.05660377358490566, 'Residential': 0.4716981132075472, 'Transportation, communications and services': 0.4716981132075472}"
24,31,1001,44201,1,39.274549,-77.221094,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3242,36,N,76,214,0,0,5.0,5.0,Certification not required,0,0.079868,0.031805,0.167,1980-09-12 16:00,0.163,1980-08-10 16:00,0.145,1980-09-13 12:00,0.143,1980-08-29 14:00,,,,,0.167,0.163,0.143,0.12,0.098,0.083,0.046,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1001,44201,1,39.274549,-77.221094,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3170,34,N,72,214,0,0,19.0,19.0,Certification not required,0,0.068125,0.029252,0.135,1980-08-10 13:00,0.134,1980-09-12 12:00,0.132,1980-08-29 10:00,0.128,1980-09-13 10:00,,,,,0.135,0.134,0.128,0.108,0.088,0.072,0.035,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1001,44201,1,39.274549,-77.221094,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3170,36,N,76,214,0,0,31.0,31.0,Certification not required,0,0.06875,0.028592,0.135,1980-08-10 13:00,0.134,1980-09-12 12:00,0.132,1980-08-29 10:00,0.128,1980-09-13 10:00,,,,,0.135,0.134,0.128,0.108,0.085,0.072,0.035,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1001,44201,1,39.274549,-77.221094,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2246,35,N,75,214,0,0,40.0,40.0,Certification not required,0,0.068933,0.028753,0.135,1980-08-10 13:00,0.134,1980-09-12 12:00,0.132,1980-08-29 10:00,0.128,1980-09-13 10:00,,,,,0.135,0.134,0.128,0.108,0.085,0.072,0.036,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1001,61101,1,39.274549,-77.221094,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,3316,38,N,129,366,0,0,,,Certification not required,0,31.440712,34.601338,207.7,1980-12-25 02:00,173.0,1980-11-11 14:00,164.2,1980-12-03 06:00,163.3,1980-11-11 15:00,,,,,140.8,129.5,103.4,79.9,50.4,20.0,1.6,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-05-25,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1001,61102,1,39.274549,-77.221094,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,1287,15,N,49,366,0,0,,,Certification not required,0,179.965035,105.729825,359.0,1980-09-30 10:00,358.0,1980-08-09 01:00,358.0,1980-08-16 11:00,358.0,1980-08-26 17:00,,,,,355.0,352.0,341.0,328.0,275.0,177.0,34.0,, JOHN T BAKER ELEM SCHOOL DAMASCUS,Maryland,Montgomery,Damascus,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-05-23,[ 39.274549 -77.221094],"{'Commercial and Services': 0.03571428571428571, 'Cropland and pasture': 0.3968253968253968, 'Deciduous forest land': 0.17063492063492064, 'Transportation, communications and services': 0.3968253968253968}"
24,31,1002,11101,1,39.082608,-77.151924,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,38,62,N,38,61,0,0,,,Certification not required,0,52.105263,17.644828,97.0,1980-09-12 00:00,84.0,1980-01-16 00:00,81.0,1980-01-10 00:00,77.0,1980-05-09 00:00,,,,,97.0,97.0,84.0,77.0,66.0,51.0,29.0,,"ROCKVILLE CITY HALL, 100 S PERRY ST",Maryland,Montgomery,Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2010-04-25,[ 39.082608 -77.151924],"{'Commercial and Services': 0.175, 'Residential': 0.325, 'Transportation, communications and services': 0.5}"
24,31,1002,12128,1,39.082608,-77.151924,WGS84,Lead (TSP) STP,COMPOSITE DATA,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,6,50,N,6,12,0,0,,,Certification not required,0,0.252,0.115955,0.445,1980-01-01 00:00,0.335,1980-09-01 00:00,0.219,1980-07-01 00:00,0.206,1980-06-01 00:00,,,,,0.445,0.445,0.445,0.445,0.335,0.219,0.138,,"ROCKVILLE CITY HALL, 100 S PERRY ST",Maryland,Montgomery,Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2015-07-22,[ 39.082608 -77.151924],"{'Commercial and Services': 0.175, 'Residential': 0.325, 'Transportation, communications and services': 0.5}"
24,31,3001,42601,1,39.114313,-77.106876,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2266,26,N,89,366,0,0,,,Certification not required,0,12.163725,24.825397,216.0,1980-08-21 15:00,170.0,1980-12-18 00:00,170.0,1980-12-18 22:00,168.0,1980-12-18 01:00,,,,,114.0,97.0,68.0,42.0,11.0,1.0,0.0,Rockville,"Lathrop E. Smith Environmental Education Center, 5110 Meadowside Lane",Maryland,Montgomery,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2011-01-15,[ 39.114313 -77.106876],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
24,31,3001,42602,1,39.114313,-77.106876,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2064,23,N,78,366,0,0,0.0,,Certification not required,0,32.230769,15.706664,80.0,1980-09-17 07:00,77.0,1980-09-02 07:00,64.0,1980-09-01 22:00,61.0,1980-11-14 19:00,,,,,83.0,80.0,64.0,56.0,42.0,28.0,13.0,Rockville,"Lathrop E. Smith Environmental Education Center, 5110 Meadowside Lane",Maryland,Montgomery,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013-05-16,[ 39.114313 -77.106876],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
24,31,3001,42602,1,39.114313,-77.106876,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2064,23,N,78,366,0,0,,,Certification not required,0,16.444283,12.778428,90.0,1980-11-10 14:00,83.0,1980-10-15 17:00,80.0,1980-09-17 07:00,77.0,1980-09-02 07:00,,,,,58.0,49.0,41.0,32.0,23.0,15.0,2.0,Rockville,"Lathrop E. Smith Environmental Education Center, 5110 Meadowside Lane",Maryland,Montgomery,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013-05-16,[ 39.114313 -77.106876],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
