State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
24,33,2,42601,1,39.02,-76.827778,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3389,39,N,132,366,0,0,,,Certification not required,0,11.611685,30.833688,450.0,1980-09-26 11:00,406.0,1980-09-22 10:00,402.0,1980-09-26 12:00,366.0,1980-09-22 11:00,,,,,140.0,108.0,62.0,33.0,9.0,0.0,0.0,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2011-01-15,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,42602,1,39.02,-76.827778,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3318,38,N,128,366,0,0,1.0,,Certification not required,0,34.804688,16.504859,93.0,1980-10-09 09:00,85.0,1980-10-08 09:00,79.0,1980-07-07 09:00,74.0,1980-11-14 12:00,,,,,85.0,79.0,69.0,59.0,42.0,31.0,18.0,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013-05-16,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,42602,1,39.02,-76.827778,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3318,38,N,128,366,0,0,,,Certification not required,0,16.145268,11.848531,124.0,1980-08-05 09:00,93.0,1980-10-09 09:00,85.0,1980-10-08 09:00,79.0,1980-07-07 09:00,,,,,57.0,47.0,37.0,30.0,22.0,15.0,2.0,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2013-05-16,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,42603,1,39.02,-76.827778,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3146,36,N,121,366,0,0,,,Certification not required,0,28.204387,39.258118,452.0,1980-09-26 11:00,443.0,1980-07-31 11:00,411.0,1980-09-22 10:00,409.0,1980-09-26 12:00,,,,,206.0,141.0,93.0,60.0,33.0,17.0,2.0,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2011-01-15,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,44201,1,39.02,-76.827778,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,3608,47,N,100,214,0,0,14.0,14.0,Certification not required,0,0.08476,0.038371,0.207,1980-08-05 14:00,0.164,1980-07-21 15:00,0.162,1980-07-31 16:00,0.144,1980-08-14 14:00,,,,,0.207,0.164,0.142,0.137,0.113,0.088,0.045,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,44201,1,39.02,-76.827778,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3542,43,N,93,214,0,0,34.0,34.0,Certification not required,0,0.071731,0.032769,0.155,1980-08-05 11:00,0.13,1980-07-31 11:00,0.129,1980-07-21 10:00,0.125,1980-08-14 10:00,,,,,0.155,0.13,0.122,0.116,0.095,0.075,0.038,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,44201,1,39.02,-76.827778,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,3543,45,N,97,214,0,0,50.0,50.0,Certification not required,0,0.07201,0.03211,0.155,1980-08-05 11:00,0.13,1980-07-31 11:00,0.129,1980-07-21 10:00,0.125,1980-08-14 10:00,,,,,0.155,0.13,0.122,0.116,0.094,0.076,0.038,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,44201,1,39.02,-76.827778,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2521,46,N,99,214,0,0,55.0,55.0,Certification not required,0,0.071758,0.032058,0.155,1980-08-05 11:00,0.13,1980-07-31 11:00,0.129,1980-07-21 10:00,0.125,1980-08-14 10:00,,,,,0.155,0.13,0.122,0.116,0.094,0.076,0.038,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-08-18,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,61101,1,39.02,-76.827778,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,3699,42,N,144,366,0,0,,,Certification not required,0,19.567126,30.07949,200.8,1980-12-19 12:00,188.6,1980-12-19 11:00,176.5,1980-12-02 21:00,173.9,1980-11-25 14:00,,,,,135.6,111.2,86.1,62.5,26.9,4.9,0.2,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-05-25,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
24,33,2,61102,1,39.02,-76.827778,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,3407,39,N,128,366,0,0,,,Certification not required,0,210.457,87.816174,359.0,1980-08-29 12:00,358.0,1980-09-16 09:00,358.0,1980-10-03 15:00,357.0,1980-08-05 14:00,,,,,348.0,341.0,324.0,301.0,270.0,232.0,60.0,LAT/LONG POINT IS OF SAMPLING INLET.................................,GODDARD SPACE FLIGHT CENTER,Maryland,Prince George's,Greenbelt,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2016-05-23,[ 39.02     -76.827778],"{'Commercial and Services': 0.4, 'Transitional areas': 0.35, 'Mixed forest land': 0.25}"
