State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,5,1001,42601,1,42.0676,-71.090048,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1935,22,N,78,366,0,0,,,Certification not required,0,2.99845,9.356686,146.0,1980-07-01 21:00,142.0,1980-07-10 09:00,126.0,1980-08-09 15:00,114.0,1980-08-09 14:00,,,,,41.0,27.0,14.0,9.0,2.0,0.0,0.0,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2011-01-15,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,42603,1,42.0676,-71.090048,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2560,29,N,104,366,0,0,,,Certification not required,0,13.05,28.343615,477.0,1980-06-01 15:00,459.0,1980-06-01 14:00,422.0,1980-06-01 13:00,412.0,1980-06-01 16:00,,,,,103.0,69.0,47.0,30.0,15.0,6.0,0.0,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2011-01-15,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,43102,1,42.0676,-71.090048,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,1771,20,N,74,366,0,0,,,Certification not required,0,393.64201,380.032268,3600.0,1980-06-04 12:00,2310.0,1980-06-04 13:00,2220.0,1980-06-01 07:00,2220.0,1980-09-09 10:00,,,,,2070.0,1860.0,1140.0,750.0,420.0,300.0,120.0,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-03-02,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,43201,1,42.0676,-71.090048,WGS84,Methane,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,1426,16,N,55,366,0,0,,,Certification not required,0,1424.319776,356.182282,4120.0,1980-07-01 17:00,4090.0,1980-07-01 18:00,3970.0,1980-07-01 16:00,3920.0,1980-07-01 19:00,,,,,2710.0,2270.0,1880.0,1660.0,1520.0,1440.0,1090.0,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-03-04,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,44201,1,42.0676,-71.090048,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,2122,40,N,85,214,0,0,2.0,2.0,Certification not required,0,0.058753,0.025931,0.15,1980-07-17 17:00,0.127,1980-07-16 15:00,0.115,1980-07-05 17:00,0.115,1980-07-15 13:00,,,,,0.15,0.127,0.115,0.094,0.073,0.055,0.029,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-08-18,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,44201,1,42.0676,-71.090048,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,2119,40,N,85,214,0,0,9.0,9.0,Certification not required,0,0.050047,0.023749,0.124,1980-07-17 13:00,0.111,1980-07-16 10:00,0.106,1980-07-05 14:00,0.101,1980-06-15 13:00,,,,,0.124,0.111,0.101,0.085,0.059,0.047,0.023,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-08-18,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,44201,1,42.0676,-71.090048,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,2119,40,N,85,214,0,0,11.0,11.0,Certification not required,0,0.050047,0.023749,0.124,1980-07-17 13:00,0.111,1980-07-16 10:00,0.106,1980-07-05 14:00,0.101,1980-06-15 13:00,,,,,0.124,0.111,0.101,0.085,0.059,0.047,0.023,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-08-18,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,44201,1,42.0676,-71.090048,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,1501,41,N,88,214,0,0,14.0,14.0,Certification not required,0,0.049068,0.024009,0.124,1980-07-17 13:00,0.111,1980-07-16 10:00,0.106,1980-07-05 14:00,0.101,1980-06-15 13:00,,,,,0.124,0.111,0.101,0.085,0.059,0.044,0.023,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-08-18,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,61101,2,42.0676,-71.090048,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,2300,37,N,95,256,0,0,,,Certification not required,0,2.493043,1.677825,8.3,1980-07-08 14:00,8.3,1980-07-08 15:00,7.8,1980-08-16 14:00,7.8,1980-08-16 15:00,,,,,6.8,6.3,5.5,4.9,3.6,2.3,0.4,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-05-25,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
25,5,1001,61102,2,42.0676,-71.090048,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,2277,37,N,94,256,0,0,,,Certification not required,0,225.138779,86.312803,359.0,1980-06-03 00:00,357.0,1980-06-02 21:00,357.0,1980-06-29 21:00,357.0,1980-07-24 14:00,,,,,355.0,351.0,340.0,329.0,294.0,227.0,97.0,,"NORTH EASTON POST OFFICE, 300 MAIN STREE",Massachusetts,Bristol,Easton (Easton Center),"Providence-Warwick, RI-MA",2016-05-23,[ 42.0676   -71.090048],"{'Residential': 0.06, 'Deciduous forest land': 0.83, 'Reservoirs': 0.11}"
