State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,9,1002,42601,1,42.592038,-70.976441,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2481,28,N,104,366,0,0,,,Certification not required,0,4.376461,18.913048,489.0,1980-09-03 15:00,489.0,1980-09-03 16:00,489.0,1980-09-03 17:00,200.0,1980-09-03 14:00,,,,,41.0,30.0,17.0,9.0,4.0,1.0,0.0,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2011-01-15,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,42603,1,42.592038,-70.976441,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2507,29,N,105,366,0,0,,,Certification not required,0,15.29278,23.400322,489.0,1980-09-03 15:00,489.0,1980-09-03 16:00,489.0,1980-09-03 17:00,153.0,1980-09-03 14:00,,,,,77.0,63.0,50.0,36.0,20.0,10.0,0.0,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2011-01-15,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,44201,1,42.592038,-70.976441,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,1704,33,N,70,214,0,0,5.0,5.0,Certification not required,0,0.065643,0.031619,0.138,1980-06-25 20:00,0.135,1980-07-15 16:00,0.135,1980-07-22 18:00,0.13,1980-08-01 13:00,,,,,0.138,0.135,0.13,0.111,0.087,0.057,0.03,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,44201,1,42.592038,-70.976441,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1689,31,N,66,214,0,0,10.0,10.0,Certification not required,0,0.053833,0.0263,0.12,1980-06-25 16:00,0.114,1980-07-15 11:00,0.113,1980-08-01 10:00,0.104,1980-07-22 14:00,,,,,0.12,0.114,0.104,0.094,0.068,0.046,0.025,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,44201,1,42.592038,-70.976441,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1689,32,N,69,214,0,0,16.0,16.0,Certification not required,0,0.054899,0.026202,0.12,1980-06-25 16:00,0.114,1980-07-15 11:00,0.113,1980-08-01 10:00,0.104,1980-07-22 14:00,,,,,0.12,0.114,0.104,0.094,0.073,0.047,0.025,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,44201,1,42.592038,-70.976441,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,1194,32,N,69,214,0,0,20.0,20.0,Certification not required,0,0.053768,0.026997,0.12,1980-06-25 16:00,0.114,1980-07-15 11:00,0.113,1980-08-01 10:00,0.104,1980-07-22 14:00,,,,,0.12,0.114,0.104,0.094,0.075,0.046,0.022,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,61101,1,42.592038,-70.976441,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Knots,No Events,2587,42,N,106,259,0,0,,,Certification not required,0,4.991612,3.4592,33.3,1980-09-13 06:00,33.3,1980-09-13 07:00,33.2,1980-09-13 05:00,32.7,1980-09-13 04:00,,,,,16.7,12.5,10.5,8.9,6.6,4.4,1.6,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-05-25,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,61102,1,42.592038,-70.976441,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVERAGE,1980,Degrees Compass,No Events,2549,41,N,103,259,0,0,,,Certification not required,0,204.466065,91.033699,359.0,1980-06-14 21:00,359.0,1980-07-18 10:00,359.0,1980-07-29 22:00,359.0,1980-08-23 05:00,,,,,353.0,344.0,331.0,314.0,264.0,221.0,41.0,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2016-05-23,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,1002,62101,1,42.592038,-70.976441,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Degrees Fahrenheit,No Events,2364,38,N,96,259,0,0,,,Certification not required,0,67.299492,10.92873,97.0,1980-07-21 15:00,95.0,1980-07-21 16:00,93.0,1980-07-16 14:00,93.0,1980-07-16 15:00,,,,,90.0,90.0,86.0,84.0,75.0,66.0,54.0,,"ROUTE 62, ELLIOT STREET",Massachusetts,Essex,Danvers (Town of),"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.592038 -70.976441],"{'Commercial and Services': 0.12121212121212122, 'Deciduous forest land': 0.7575757575757576, 'Cropland and pasture': 0.06818181818181818, 'Residential': 0.05303030303030303}"
25,9,2001,42401,1,42.724259,-70.986721,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,5592,64,N,229,366,0,0,1.0,,Certification not required,0,17.89083,14.770803,86.0,1980-05-28 18:00,69.0,1980-06-23 18:00,68.0,1980-05-03 16:00,66.0,1980-09-19 07:00,,,,,68.0,65.0,48.0,38.0,25.0,13.0,5.0,,GEORGETOWN HIGH SCHOOL PARKING LOT,Massachusetts,Essex,Georgetown,"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.724259 -70.986721],"{'Commercial and Services': 0.2388888888888889, 'Residential': 0.18888888888888888, 'Deciduous forest land': 0.5555555555555556, 'Other urban or built-up land': 0.016666666666666666}"
