State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,17,5,11101,1,42.645091,-71.302005,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,60.444444,20.658601,82.0,1980-02-21 00:00,81.0,1980-02-27 00:00,76.0,1980-01-10 00:00,73.0,1980-01-28 00:00,,,,,82.0,82.0,82.0,82.0,76.0,71.0,29.0,,HOSPITAL DRIVE,Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.645091 -71.302005],"{'Commercial and Services': 0.81, 'Residential': 0.11, 'Streams and canals': 0.08}"
25,17,1004,42101,1,42.646202,-71.309783,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,1011,12,N,31,366,0,0,0.0,0.0,Certification not required,0,1.901088,1.0531,9.0,1980-02-20 07:00,7.0,1980-01-07 19:00,7.0,1980-01-10 07:00,7.0,1980-02-20 08:00,,,,,5.0,5.0,4.0,3.0,2.0,2.0,1.0,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2016-04-20,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1004,42101,1,42.646202,-71.309783,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,872,10,Y,22,366,0,0,0.0,0.0,Certification not required,0,1.90344,0.775759,4.8,1980-02-20 09:00,4.8,1980-02-21 11:00,4.6,1980-01-11 13:00,4.6,1980-02-20 08:00,4.8,1980-02-20 09:00,4.8,1980-02-21 11:00,4.4,3.9,3.4,3.1,2.3,1.8,1.0,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2016-04-20,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1004,42401,1,42.646202,-71.309783,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7323,83,N,302,366,0,0,1.0,,Certification not required,0,20.235099,13.92604,88.0,1980-12-22 09:00,73.0,1980-12-24 09:00,71.0,1980-12-29 12:00,65.0,1980-04-08 11:00,,,,,65.0,56.0,51.0,40.0,25.0,16.0,7.0,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1004,42401,1,42.646202,-71.309783,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7323,83,N,302,366,0,0,,,Certification not required,0,9.755974,8.694573,88.0,1980-12-22 09:00,73.0,1980-12-24 09:00,71.0,1980-12-29 12:00,69.0,1980-12-29 11:00,,,,,43.0,36.0,27.0,20.0,13.0,8.0,1.0,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1004,42401,1,42.646202,-71.309783,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,302,83,N,302,366,0,0,0.0,,Certification not required,0,9.726821,6.80055,38.2,1980-12-24 00:00,35.8,1980-01-07 00:00,31.8,1980-02-19 00:00,30.6,1980-02-14 00:00,,,,,30.6,28.9,24.3,18.4,12.1,8.3,2.9,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1004,42401,1,42.646202,-71.309783,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2383,81,N,301,366,0,0,,0.0,Certification not required,0,9.702602,8.231986,62.6,1980-12-29 11:00,54.3,1980-01-11 08:00,54.0,1980-12-22 11:00,52.0,1980-02-14 08:00,,,,,39.6,33.3,26.3,20.3,12.6,8.0,1.6,,"MUNICIPAL GARAGE, JOHN STREET",Massachusetts,Middlesex,Lowell,"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.646202 -71.309783],"{'Commercial and Services': 0.78, 'Streams and canals': 0.03, 'Industrial': 0.19}"
25,17,1005,42101,1,42.374819,-71.181999,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6167,70,N,246,366,0,0,0.0,0.0,Certification not required,0,1.35317,0.863052,9.0,1980-02-20 07:00,9.0,1980-02-20 21:00,9.0,1980-02-20 22:00,8.0,1980-02-21 00:00,,,,,5.0,4.0,3.0,2.0,2.0,1.0,1.0,,VICTORY FIELD,Massachusetts,Middlesex,Watertown (Town of),"Boston-Cambridge-Newton, MA-NH",2016-04-20,[ 42.374819 -71.181999],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
25,17,1005,42101,1,42.374819,-71.181999,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,6023,69,Y,233,366,0,0,0.0,0.0,Certification not required,0,1.357131,0.679553,7.1,1980-02-21 02:00,7.0,1980-02-21 01:00,7.0,1980-02-21 03:00,6.8,1980-02-21 00:00,7.1,1980-02-21 02:00,5.9,1980-10-25 03:00,4.0,3.3,2.5,2.1,1.5,1.1,1.0,,VICTORY FIELD,Massachusetts,Middlesex,Watertown (Town of),"Boston-Cambridge-Newton, MA-NH",2016-04-20,[ 42.374819 -71.181999],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
25,17,1005,42401,1,42.374819,-71.181999,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,6562,75,N,264,366,0,0,9.0,,Certification not required,0,26.534091,20.34042,117.0,1980-12-22 07:00,110.0,1980-12-02 09:00,104.0,1980-10-01 16:00,100.0,1980-12-29 13:00,,,,,104.0,90.0,62.0,53.0,36.0,22.0,7.0,,VICTORY FIELD,Massachusetts,Middlesex,Watertown (Town of),"Boston-Cambridge-Newton, MA-NH",2013-02-16,[ 42.374819 -71.181999],"{'Commercial and Services': 0.052132701421800945, 'Residential': 0.47393364928909953, 'Transportation, communications and services': 0.47393364928909953}"
