State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
25,21,1,11101,1,42.335251,-71.129742,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,48.517857,16.371806,85.0,1980-02-03 00:00,79.0,1980-12-29 00:00,78.0,1980-07-20 00:00,76.0,1980-06-08 00:00,,,,,85.0,79.0,78.0,72.0,62.0,46.0,29.0,,115 GREENOUGH STREET,Massachusetts,Norfolk,Brookline,"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.335251 -71.129742],"{'Residential': 0.5, 'Transportation, communications and services': 0.5}"
25,21,3,11101,1,42.27732,-71.237,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,59,61,0,0,,,Certification not required,0,47.733333,18.872334,95.0,1980-06-26 00:00,82.0,1980-08-01 00:00,80.0,1980-06-02 00:00,80.0,1980-07-20 00:00,,,,,95.0,82.0,80.0,79.0,61.0,45.0,26.0,,148 CHESTNUT STREET,Massachusetts,Norfolk,Needham (Town of),"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.27732 -71.237  ],"{'Commercial and Services': 0.18, 'Residential': 0.28, 'Deciduous forest land': 0.04, 'Transportation, communications and services': 0.5}"
25,21,7,11101,1,42.274821,-71.031994,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,58.135593,23.531679,155.0,1980-09-30 00:00,141.0,1980-09-18 00:00,96.0,1980-02-21 00:00,89.0,1980-07-20 00:00,,,,,155.0,141.0,96.0,86.0,67.0,54.0,35.0,,HANCOCK STREET,Massachusetts,Norfolk,Quincy,"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.274821 -71.031994],"{'Commercial and Services': 0.53, 'Residential': 0.47}"
25,21,1001,11101,1,42.212875,-71.335058,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,48,61,0,0,,,Certification not required,0,35.877193,12.337617,85.0,1980-05-22 00:00,61.0,1980-06-01 00:00,58.0,1980-06-26 00:00,56.0,1980-11-23 00:00,,,,,85.0,61.0,58.0,50.0,43.0,32.0,23.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42401,1,42.212875,-71.335058,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7555,86,Y,311,366,0,0,0.0,,Certification not required,0,14.151125,10.243786,72.0,1980-06-17 19:00,71.0,1980-04-25 08:00,52.0,1980-05-21 12:00,51.0,1980-02-20 16:00,,,,,51.0,45.0,33.0,26.0,18.0,12.0,5.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-10-13,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42401,1,42.212875,-71.335058,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7555,86,Y,311,366,0,0,,,Certification not required,0,6.451754,5.937022,72.0,1980-06-17 19:00,71.0,1980-04-25 08:00,63.0,1980-04-25 09:00,52.0,1980-05-21 12:00,,,,,29.0,24.0,18.0,13.0,9.0,5.0,1.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-10-13,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42401,1,42.212875,-71.335058,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,311,85,Y,311,366,0,0,0.0,,Certification not required,0,6.432154,4.230061,24.6,1980-12-28 00:00,24.0,1980-12-18 00:00,22.7,1980-02-20 00:00,21.3,1980-12-27 00:00,,,,,21.3,17.6,13.8,11.9,8.3,6.0,1.8,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-10-13,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42401,1,42.212875,-71.335058,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2465,84,Y,310,366,0,0,,0.0,Certification not required,0,6.424584,5.557353,44.3,1980-02-20 17:00,41.0,1980-05-21 11:00,39.0,1980-05-21 02:00,38.3,1980-05-21 14:00,,,,,27.0,23.6,17.0,12.6,8.6,5.3,0.6,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-10-13,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42601,1,42.212875,-71.335058,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2556,41,N,108,261,0,0,,,Certification not required,0,7.552426,6.082215,52.0,1980-09-16 08:00,50.0,1980-08-26 06:00,45.0,1980-09-17 06:00,43.0,1980-06-02 17:00,,,,,32.0,23.0,17.0,14.0,11.0,7.0,1.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2011-01-15,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,42603,1,42.212875,-71.335058,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2543,41,N,107,261,0,0,,,Certification not required,0,12.452615,9.935394,168.0,1980-06-27 09:00,80.0,1980-06-02 17:00,77.0,1980-06-02 18:00,77.0,1980-09-16 08:00,,,,,49.0,41.0,31.0,24.0,15.0,10.0,4.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2011-01-15,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,43102,1,42.212875,-71.335058,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,1612,18,N,64,366,0,0,,,Certification not required,0,133.883375,127.96815,930.0,1980-08-14 11:00,810.0,1980-06-03 15:00,810.0,1980-08-14 12:00,750.0,1980-06-30 07:00,,,,,570.0,480.0,390.0,300.0,210.0,120.0,0.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2016-03-02,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,43201,1,42.212875,-71.335058,WGS84,Methane,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,2007,23,N,83,366,0,0,,,Certification not required,0,1772.331839,144.509841,2470.0,1980-07-10 03:00,2280.0,1980-08-23 04:00,2270.0,1980-08-26 06:00,2250.0,1980-08-26 05:00,,,,,2140.0,2100.0,2010.0,1940.0,1850.0,1770.0,1610.0,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2010-04-25,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,44201,1,42.212875,-71.335058,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4803,93,Y,200,214,0,0,5.0,5.0,Certification not required,0,0.05686,0.026133,0.159,1980-08-05 14:00,0.154,1980-06-24 21:00,0.148,1980-08-01 11:00,0.135,1980-07-15 14:00,,,,,0.154,0.135,0.108,0.09,0.068,0.054,0.028,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,44201,1,42.212875,-71.335058,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4773,91,Y,195,214,0,0,17.0,17.0,Certification not required,0,0.048887,0.021621,0.122,1980-07-15 10:00,0.118,1980-08-05 08:00,0.114,1980-08-01 08:00,0.112,1980-06-24 17:00,,,,,0.118,0.112,0.092,0.082,0.059,0.047,0.024,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
25,21,1001,44201,1,42.212875,-71.335058,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4774,91,Y,195,214,0,0,22.0,22.0,Certification not required,0,0.048887,0.021621,0.122,1980-07-15 10:00,0.118,1980-08-05 08:00,0.114,1980-08-01 08:00,0.112,1980-06-24 17:00,,,,,0.118,0.112,0.092,0.082,0.059,0.047,0.024,,"MEDFIELD STATE HOSP., RTE. 27, N. MEADOW",Massachusetts,Norfolk,Medfield,"Boston-Cambridge-Newton, MA-NH",2016-08-18,[ 42.212875 -71.335058],"{'Commercial and Services': 0.11764705882352941, 'Residential': 0.06666666666666667, 'Deciduous forest land': 0.39215686274509803, 'Transportation, communications and services': 0.39215686274509803, 'Cropland and pasture': 0.03137254901960784}"
