,Parameter Name,Site_keys,LU,ppm
0,Nitrogen dioxide (NO2),[ 34.687761 -86.586362],"{'Other urban or built-up land': 0.25, 'Cropland and pasture': 0.13, 'Transportation, communications and services': 0.62}",0.026961142999999996
1,Nitrogen dioxide (NO2),[ 34.619814 -86.997509],"{'Commercial and Services': 0.17, 'Residential': 0.36, 'Industrial': 0.05, 'Other urban or built-up land': 0.2, 'Reservoirs': 0.22}",0.023585703
0,Nitrogen dioxide (NO2),[  33.45793 -112.04601],"{'Commercial and Services': 0.16379310344827586, 'Residential': 0.8362068965517241}",0.022542972
1,Nitrogen dioxide (NO2),[  32.222058 -110.974681],"{'Commercial and Services': 0.9607843137254902, 'Residential': 0.0392156862745098}",0.036193767
2,Nitrogen dioxide (NO2),[  32.204411 -110.878067],"{'Commercial and Services': 0.19491525423728814, 'Residential': 0.8050847457627118}",0.007567256
0,Nitrogen dioxide (NO2),[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}",0.024855281000000003
1,Nitrogen dioxide (NO2),[  37.682708 -121.770231],"{'Commercial and Services': 0.77, 'Residential': 0.23}",0.031881581
2,Nitrogen dioxide (NO2),[  37.800484 -122.266358],{'Commercial and Services': 1.0},0.036107784
3,Nitrogen dioxide (NO2),[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}",0.027670784
4,Nitrogen dioxide (NO2),[  37.886869 -122.027462],"{'Residential': 0.97, 'Evergreen forest land': 0.03}",0.029114087
5,Nitrogen dioxide (NO2),[  37.936013 -122.026154],"{'Commercial and Services': 0.6, 'Residential': 0.4}",0.019486993
6,Nitrogen dioxide (NO2),[  37.949924 -122.357193],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6176470588235294, 'Industrial': 0.3627450980392157}",0.026226956000000003
