,Parameter Name,Site_keys,LU,ppm
0,Nitrogen dioxide (NO2),[ 40.937599 -73.994583],"{'Commercial and Services': 0.32432432432432434, 'Residential': 0.6756756756756757}",0.019656371
1,Nitrogen dioxide (NO2),[ 40.050391 -74.586544],"{'Residential': 0.98, 'Cropland and pasture': 0.02}",0.029539243
2,Nitrogen dioxide (NO2),[ 39.923042 -75.097617],"{'Commercial and Services': 0.2631578947368421, 'Residential': 0.5877192982456141, 'Other urban or built-up land': 0.14912280701754385}",0.018349833
3,Nitrogen dioxide (NO2),[ 39.492338 -75.020453],"{'Residential': 0.8130081300813008, 'Other urban or built-up land': 0.14634146341463414, 'Strip mines, quarries and gravel pits': 0.04065040650406504}",0.024628222
4,Nitrogen dioxide (NO2),[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}",0.015415488
5,Nitrogen dioxide (NO2),[ 40.757501 -74.2005  ],"{'Commercial and Services': 0.24, 'Residential': 0.46, 'Transportation, communications and services': 0.3}",0.023484454
6,Nitrogen dioxide (NO2),[ 40.680936 -74.119309],"{'Residential': 0.05, 'Streams and canals': 0.76, 'Other urban or built-up land': 0.19}",0.040102899000000004
7,Nitrogen dioxide (NO2),[ 40.515262 -74.806671],"{'Commercial and Services': 0.03205128205128205, 'Residential': 0.21153846153846154, 'Other urban or built-up land': 0.11538461538461539, 'Cropland and pasture': 0.6410256410256411}",0.030354468000000003
8,Nitrogen dioxide (NO2),[ 40.482327 -74.440429],"{'Commercial and Services': 0.37, 'Residential': 0.63}",0.025142305
9,Nitrogen dioxide (NO2),[ 40.64144  -74.208365],"{'Residential': 0.01, 'Industrial': 0.18, 'Transportation, communications and services': 0.81}",0.038201887
10,Nitrogen dioxide (NO2),[ 40.601725 -74.441067],"{'Commercial and Services': 0.11504424778761062, 'Residential': 0.8849557522123894}",0.036033944
11,Nitrogen dioxide (NO2),[ 40.683155 -75.186564],"{'Deciduous forest land': 0.05172413793103448, 'Mixed urban or built-up land': 0.1206896551724138, 'Commercial and Services': 0.02586206896551724, 'Residential': 0.47413793103448276, 'Streams and canals': 0.25, 'Other urban or built-up land': 0.017241379310344827, 'Transportation, communications and services': 0.0603448275862069}",0.030992183000000003
