State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
33,7,1,11101,1,44.470614,-71.168132,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,92.901961,36.578822,187.0,1980-01-04 00:00,177.0,1980-12-23 00:00,174.0,1980-05-27 00:00,167.0,1980-02-15 00:00,,,,,187.0,177.0,174.0,149.0,108.0,85.0,55.0,,ANGEL GUARDIAN SHOOL 107 SULLIVAN ST,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.470614 -71.168132],"{'Residential': 0.56, 'Streams and canals': 0.03, 'Industrial': 0.24, 'Deciduous forest land': 0.17}"
33,7,1,11101,2,44.470614,-71.168132,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,109,100,Y,60,61,0,0,,,Certification not required,0,81.46789,35.280245,186.0,1980-04-06 00:00,177.0,1980-12-23 00:00,160.0,1980-02-15 00:00,156.0,1980-02-06 00:00,,,,,177.0,160.0,154.0,129.0,98.0,77.0,38.0,,ANGEL GUARDIAN SHOOL 107 SULLIVAN ST,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.470614 -71.168132],"{'Residential': 0.56, 'Streams and canals': 0.03, 'Industrial': 0.24, 'Deciduous forest land': 0.17}"
33,7,1,12403,4,44.470614,-71.168132,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,N,51,61,0,0,,,Certification not required,0,13.003922,6.641685,36.4,1980-02-15 00:00,28.0,1980-11-11 00:00,25.7,1980-02-21 00:00,22.2,1980-05-27 00:00,,,,,36.4,28.0,25.7,20.5,16.5,12.5,5.7,,ANGEL GUARDIAN SHOOL 107 SULLIVAN ST,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.470614 -71.168132],"{'Residential': 0.56, 'Streams and canals': 0.03, 'Industrial': 0.24, 'Deciduous forest land': 0.17}"
33,7,8,11101,1,44.464781,-71.184243,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,113,100,Y,59,61,0,0,,,Certification not required,0,68.619469,33.016586,170.0,1980-06-26 00:00,169.0,1980-01-04 00:00,139.0,1980-05-21 00:00,129.0,1980-07-17 00:00,,,,,169.0,139.0,122.0,114.0,86.0,66.0,30.0,,OFF HUTCHINS STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2010-04-25,[ 44.464781 -71.184243],"{'Commercial and Services': 0.21, 'Residential': 0.48, 'Streams and canals': 0.24, 'Deciduous forest land': 0.07}"
33,7,11,42401,1,44.478114,-71.174521,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1940,22,N,80,366,0,0,30.0,,Certification not required,0,78.975,72.973027,320.0,1980-03-11 04:00,304.0,1980-04-15 07:00,244.0,1980-04-25 18:00,241.0,1980-03-17 18:00,,,,,320.0,304.0,241.0,186.0,116.0,52.0,16.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
33,7,11,42401,1,44.478114,-71.174521,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,1940,22,N,80,366,0,0,,,Certification not required,0,25.45567,34.461504,320.0,1980-03-11 04:00,304.0,1980-04-15 07:00,253.0,1980-03-11 03:00,244.0,1980-04-25 18:00,,,,,175.0,139.0,100.0,64.0,28.0,14.0,2.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
33,7,11,42401,1,44.478114,-71.174521,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,80,22,N,80,366,0,0,0.0,,Certification not required,0,25.51875,21.169192,96.8,1980-04-25 00:00,82.1,1980-04-28 00:00,80.0,1980-04-07 00:00,72.4,1980-03-08 00:00,,,,,96.8,82.1,72.4,61.0,35.0,18.0,7.4,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
33,7,11,42401,1,44.478114,-71.174521,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,632,22,N,80,366,0,0,,0.0,Certification not required,0,25.257595,30.513271,252.3,1980-03-11 05:00,176.6,1980-03-17 20:00,172.0,1980-04-25 17:00,161.3,1980-03-20 14:00,,,,,152.0,129.6,84.0,64.0,29.0,15.0,2.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
33,7,11,42401,3,44.478114,-71.174521,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,1980,Parts per billion,No Events,882,10,N,36,366,0,0,6.0,,Certification not required,0,35.138889,42.236175,185.0,1980-12-29 13:00,144.0,1980-12-23 13:00,116.0,1980-07-28 18:00,97.0,1980-12-26 15:00,,,,,185.0,185.0,144.0,97.0,45.0,19.0,4.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
33,7,11,42401,3,44.478114,-71.174521,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,1980,Parts per billion,No Events,882,10,N,36,366,0,0,,,Certification not required,0,12.543084,19.004655,185.0,1980-12-29 13:00,144.0,1980-12-23 13:00,144.0,1980-12-29 10:00,133.0,1980-12-23 14:00,,,,,105.0,71.0,47.0,29.0,13.0,7.0,2.0,,116 POPLAR STREET,New Hampshire,Coos,Berlin,"Berlin, NH-VT",2013-02-16,[ 44.478114 -71.174521],"{'Residential': 0.59, 'Streams and canals': 0.07, 'Industrial': 0.34}"
