State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
33,11,8,11101,1,42.988417,-71.47479,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,60.344828,34.313596,228.0,1980-03-04 00:00,156.0,1980-11-23 00:00,131.0,1980-12-29 00:00,126.0,1980-12-23 00:00,,,,,228.0,156.0,131.0,89.0,70.0,53.0,31.0,,NOTRE DAME AVENUE,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.988417 -71.47479 ],"{'Commercial and Services': 0.1650485436893204, 'Residential': 0.5242718446601942, 'Industrial': 0.2524271844660194, 'Other urban or built-up land': 0.009708737864077669, 'Transportation, communications and services': 0.04854368932038835}"
33,11,9,11101,2,42.99064,-71.458955,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,86,100,Y,58,61,0,0,,,Certification not required,0,58.337209,24.892527,160.0,1980-11-23 00:00,133.0,1980-12-29 00:00,123.0,1980-01-14 00:00,112.0,1980-01-10 00:00,,,,,160.0,133.0,111.0,93.0,66.0,54.0,35.0,, 100 MERRIMACK ST.,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.99064  -71.458955],"{'Commercial and Services': 0.53, 'Residential': 0.47}"
33,11,9,12403,3,42.99064,-71.458955,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,86,100,Y,58,61,0,0,,,Certification not required,0,8.702326,3.799349,19.9,1980-12-29 00:00,18.8,1980-03-10 00:00,18.3,1980-02-15 00:00,15.0,1980-02-21 00:00,,,,,19.9,18.8,15.0,13.8,11.2,8.4,4.3,, 100 MERRIMACK ST.,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.99064  -71.458955],"{'Commercial and Services': 0.53, 'Residential': 0.47}"
33,11,10,11101,1,42.989251,-71.435622,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,41.54386,24.889807,161.0,1980-11-23 00:00,97.0,1980-12-29 00:00,85.0,1980-12-23 00:00,84.0,1980-12-17 00:00,,,,,161.0,97.0,85.0,78.0,48.0,37.0,21.0,,HANOVER STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.989251 -71.435622],"{'Residential': 0.9, 'Other urban or built-up land': 0.1}"
33,11,11,11101,1,42.987584,-71.463678,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,87,100,Y,60,61,0,0,,,Certification not required,0,55.241379,25.522432,144.0,1980-11-23 00:00,127.0,1980-02-21 00:00,127.0,1980-12-29 00:00,123.0,1980-01-10 00:00,,,,,144.0,127.0,115.0,89.0,61.0,48.0,31.0,,24 PLEASANT STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.987584 -71.463678],"{'Commercial and Services': 0.57, 'Streams and canals': 0.1, 'Industrial': 0.27, 'Other urban or built-up land': 0.06}"
33,11,11,11101,3,42.987584,-71.463678,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,59.5,25.548067,150.0,1980-11-23 00:00,110.0,1980-12-23 00:00,91.0,1980-07-20 00:00,81.0,1980-09-30 00:00,,,,,150.0,150.0,110.0,91.0,66.0,54.0,30.0,,24 PLEASANT STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2010-04-25,[ 42.987584 -71.463678],"{'Commercial and Services': 0.57, 'Streams and canals': 0.1, 'Industrial': 0.27, 'Other urban or built-up land': 0.06}"
33,11,12,42401,1,42.992862,-71.463956,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,1980,Parts per billion,No Events,6794,77,N,284,366,0,0,36.0,,Certification not required,0,40.894366,43.118082,301.0,1980-02-01 06:00,215.0,1980-03-04 08:00,211.0,1980-01-31 18:00,191.0,1980-02-04 20:00,,,,,211.0,191.0,137.0,90.0,46.0,29.0,6.0,,SPRING STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2013-02-16,[ 42.992862 -71.463956],"{'Commercial and Services': 0.54, 'Streams and canals': 0.14, 'Industrial': 0.32}"
33,11,12,42401,1,42.992862,-71.463956,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,1980,Parts per billion,No Events,6794,77,N,284,366,0,0,,,Certification not required,0,13.913453,20.736672,301.0,1980-02-01 06:00,261.0,1980-02-01 07:00,215.0,1980-03-04 08:00,211.0,1980-01-31 18:00,,,,,125.0,83.0,38.0,25.0,16.0,9.0,0.0,,SPRING STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2013-02-16,[ 42.992862 -71.463956],"{'Commercial and Services': 0.54, 'Streams and canals': 0.14, 'Industrial': 0.32}"
33,11,12,42401,1,42.992862,-71.463956,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,Multiple Methods Used,1980,Parts per billion,No Events,284,78,N,284,366,0,0,0.0,,Certification not required,0,13.927465,14.457889,129.3,1980-02-01 00:00,96.2,1980-01-31 00:00,74.8,1980-02-04 00:00,74.3,1980-02-26 00:00,,,,,74.8,62.0,38.6,26.6,17.4,9.4,4.0,,SPRING STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2013-02-16,[ 42.992862 -71.463956],"{'Commercial and Services': 0.54, 'Streams and canals': 0.14, 'Industrial': 0.32}"
33,11,12,42401,1,42.992862,-71.463956,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,Multiple Methods Used,1980,Parts per billion,No Events,2257,77,N,284,366,0,0,,0.0,Certification not required,0,13.88529,18.877323,241.0,1980-02-01 08:00,177.6,1980-01-31 20:00,161.0,1980-02-04 20:00,150.6,1980-12-22 11:00,,,,,116.0,77.6,39.0,26.6,16.0,8.3,4.0,,SPRING STREET,New Hampshire,Hillsborough,Manchester,"Manchester-Nashua, NH",2013-02-16,[ 42.992862 -71.463956],"{'Commercial and Services': 0.54, 'Streams and canals': 0.14, 'Industrial': 0.32}"
