State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
33,13,1,11101,2,43.103416,-71.463402,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,51.561404,21.936611,130.0,1980-05-27 00:00,108.0,1980-06-26 00:00,92.0,1980-07-14 00:00,89.0,1980-11-23 00:00,,,,,130.0,108.0,92.0,85.0,60.0,45.0,29.0,,CANAL STREET,New Hampshire,Merrimack,Not in a city,"Concord, NH",2010-04-25,[ 43.103416 -71.463402],"{'Residential': 0.32, 'Streams and canals': 0.12, 'Forested wetland': 0.01, 'Cropland and pasture': 0.47, 'Reservoirs': 0.08}"
33,13,2,11101,1,43.199525,-71.552294,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,47.160714,18.115565,101.0,1980-11-23 00:00,94.0,1980-12-29 00:00,83.0,1980-12-23 00:00,75.0,1980-01-10 00:00,,,,,101.0,94.0,83.0,73.0,57.0,44.0,26.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2010-04-25,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12103,1,43.199525,-71.552294,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,17,28,N,17,61,0,0,,,Certification not required,0,0.000412,0.001698,0.007,1980-05-03 00:00,0.0,1980-01-16 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,,,,,0.007,0.007,0.007,0.0,0.0,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-20,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12105,1,43.199525,-71.552294,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,18,30,N,18,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-03-16 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-20,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12107,1,43.199525,-71.552294,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,18,30,N,17,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-03-16 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2016-04-01,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12110,1,43.199525,-71.552294,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,18,30,N,18,61,0,0,,,Certification not required,0,0.000333,0.00084,0.003,1980-07-14 00:00,0.002,1980-02-21 00:00,0.001,1980-03-16 00:00,0.0,1980-01-16 00:00,,,,,0.003,0.003,0.003,0.002,0.0,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-24,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12112,1,43.199525,-71.552294,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,10,16,N,10,61,0,0,,,Certification not required,0,0.005,0.0,0.005,1980-05-03 00:00,0.005,1980-05-15 00:00,0.005,1980-05-27 00:00,0.005,1980-06-08 00:00,,,,,0.005,0.005,0.005,0.005,0.005,0.005,0.005,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2010-04-25,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12112,3,43.199525,-71.552294,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,17,28,N,17,61,0,0,,,Certification not required,0,0.004882,0.006416,0.0175,1980-09-24 00:00,0.0151,1980-02-21 00:00,0.0142,1980-06-08 00:00,0.0093,1980-08-19 00:00,,,,,0.0175,0.0175,0.0175,0.0151,0.0092,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-21,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12113,1,43.199525,-71.552294,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,10,16,N,10,61,0,0,,,Certification not required,0,0.002,0.0,0.002,1980-05-03 00:00,0.002,1980-05-15 00:00,0.002,1980-05-27 00:00,0.002,1980-06-08 00:00,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-21,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
33,13,2,12113,3,43.199525,-71.552294,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,17,28,N,17,61,0,0,,,Certification not required,0,0.000176,0.000503,0.0017,1980-03-28 00:00,0.0013,1980-03-04 00:00,0.0,1980-01-16 00:00,0.0,1980-02-21 00:00,,,,,0.0017,0.0017,0.0017,0.0013,0.0,0.0,0.0,,61 S. SPRING ST.,New Hampshire,Merrimack,Concord,"Concord, NH",2012-09-21,[ 43.199525 -71.552294],"{'Commercial and Services': 0.26, 'Other urban or built-up land': 0.15, 'Cropland and pasture': 0.08, 'Residential': 0.51}"
