State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,5,4,11101,1,40.116222,-74.640435,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,42,69,N,42,61,0,0,,,Certification not required,0,41.97619,19.976191,102.0,1980-12-29 00:00,94.0,1980-09-12 00:00,86.0,1980-07-26 00:00,70.0,1980-08-07 00:00,,,,,102.0,102.0,86.0,68.0,49.0,37.0,21.0,,"ELEM.SCHOOL,CROSSWICKS RD.CHESTERFIELD(T",New Jersey,Burlington,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.116222 -74.640435],"{'Mixed urban or built-up land': 0.2463768115942029, 'Deciduous forest land': 0.028985507246376812, 'Cropland and pasture': 0.7246376811594203}"
34,5,5,11101,1,40.064555,-74.83433,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,49.257143,15.628674,83.0,1980-06-08 00:00,73.0,1980-07-26 00:00,71.0,1980-08-07 00:00,68.0,1980-09-12 00:00,,,,,83.0,83.0,73.0,68.0,60.0,49.0,26.0,,MIDDLE SCH FOUNTAIN AV & JACKSONVILLE RD,New Jersey,Burlington,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.064555 -74.83433 ],"{'Commercial and Services': 0.24812030075187969, 'Cropland and pasture': 0.7518796992481203}"
34,5,6,11101,1,40.03789,-74.693771,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,35,57,N,35,61,0,0,,,Certification not required,0,48.742857,18.584217,82.0,1980-12-29 00:00,81.0,1980-07-26 00:00,79.0,1980-08-07 00:00,73.0,1980-07-02 00:00,,,,,82.0,82.0,81.0,73.0,63.0,48.0,24.0,,"FIRE COMPANY,COLUMBUS RD.",New Jersey,Burlington,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.03789  -74.693771],"{'Commercial and Services': 0.13740458015267176, 'Residential': 0.09923664122137404, 'Cropland and pasture': 0.7633587786259542}"
34,5,1001,42101,1,40.078062,-74.857717,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7691,88,Y,293,366,0,0,0.0,0.0,Certification not required,0,2.133078,1.487518,15.2,1980-01-01 01:00,13.2,1980-01-01 02:00,12.0,1980-01-01 00:00,11.7,1980-10-30 21:00,,,,,6.7,6.0,4.9,4.1,2.9,1.8,0.5,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,1001,42101,1,40.078062,-74.857717,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7496,85,Y,281,366,0,0,2.0,2.0,Certification not required,0,2.120838,1.193234,10.6,1980-01-01 05:00,10.1,1980-01-01 06:00,9.3,1980-01-01 07:00,9.3,1980-10-31 00:00,10.6,1980-01-01 05:00,9.3,1980-10-31 00:00,5.7,5.1,4.3,3.8,2.8,1.9,0.8,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,1001,42401,2,40.078062,-74.857717,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7431,85,N,281,366,0,0,24.0,,Certification not required,0,37.295374,24.083225,160.0,1980-05-02 08:00,153.0,1980-06-13 09:00,142.0,1980-12-08 10:00,122.0,1980-03-04 07:00,,,,,142.0,114.0,88.0,63.0,45.0,32.0,15.0,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,1001,42401,2,40.078062,-74.857717,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7431,85,Y,281,366,0,0,,,Certification not required,0,18.71915,14.812597,160.0,1980-05-02 08:00,153.0,1980-06-13 09:00,142.0,1980-12-08 10:00,132.0,1980-12-08 11:00,,,,,74.0,60.0,46.0,36.0,25.0,16.0,3.0,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,1001,42401,2,40.078062,-74.857717,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,281,77,N,281,366,0,0,0.0,,Certification not required,0,18.387544,11.463063,66.3,1980-12-08 00:00,65.9,1980-02-06 00:00,62.9,1980-02-14 00:00,62.6,1980-12-28 00:00,,,,,62.9,55.5,40.5,30.4,23.0,16.3,6.7,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,1001,42401,2,40.078062,-74.857717,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2387,82,N,272,366,0,0,,0.0,Certification not required,0,18.531755,13.910123,110.0,1980-03-04 08:00,104.3,1980-11-14 11:00,100.6,1980-12-08 08:00,97.0,1980-02-06 20:00,,,,,70.0,57.6,44.3,34.3,24.3,16.0,3.6,BURLINGTON,1 EAST BROAD STREET,New Jersey,Burlington,Burlington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.078062 -74.857717],"{'Commercial and Services': 0.44, 'Residential': 0.56}"
34,5,3001,42401,1,40.050391,-74.586544,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6575,75,N,242,366,0,0,1.0,,Certification not required,0,19.57438,13.751373,86.0,1980-11-13 09:00,74.0,1980-12-08 05:00,69.0,1980-12-09 03:00,67.0,1980-12-24 08:00,,,,,69.0,65.0,46.0,37.0,24.0,17.0,5.0,,N.BOLLING BLVD. AND E.CASTLE RD.,New Jersey,Burlington,McGuire Air Force Base,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.050391 -74.586544],"{'Residential': 0.98, 'Cropland and pasture': 0.02}"
