State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,13,4,43102,1,40.742879,-74.1807,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,2083,24,N,85,366,0,0,,,Certification not required,0,425.328853,429.374727,3960.0,1980-06-14 20:00,3660.0,1980-06-14 07:00,3510.0,1980-06-14 06:00,3390.0,1980-06-14 05:00,,,,,2280.0,1920.0,1230.0,840.0,510.0,330.0,90.0,,FACULTY MEMORIAL HALL NJ INST. TECHNOLOG,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2016-03-02,[ 40.742879 -74.1807  ],"{'Commercial and Services': 0.74, 'Residential': 0.26}"
34,13,4,43201,1,40.742879,-74.1807,WGS84,Methane,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,2090,24,N,87,366,0,0,,,Certification not required,0,1938.004785,685.305305,8970.0,1980-08-05 06:00,8520.0,1980-07-10 03:00,7870.0,1980-07-10 07:00,7430.0,1980-07-10 02:00,,,,,4740.0,3810.0,2940.0,2440.0,2060.0,1850.0,1440.0,,FACULTY MEMORIAL HALL NJ INST. TECHNOLOG,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.742879 -74.1807  ],"{'Commercial and Services': 0.74, 'Residential': 0.26}"
34,13,7,11101,1,40.740101,-74.164589,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,69.355932,27.13743,148.0,1980-08-01 00:00,118.0,1980-07-02 00:00,118.0,1980-07-26 00:00,117.0,1980-12-23 00:00,,,,,148.0,118.0,118.0,113.0,82.0,66.0,38.0,,NORTHEAST CORNER OF MILITARY PARK,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.740101 -74.164589],"{'Commercial and Services': 0.42, 'Streams and canals': 0.2, 'Industrial': 0.38}"
34,13,8,42101,1,40.732601,-74.177645,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6135,70,N,225,366,0,0,0.0,0.0,Certification not required,0,1.847123,1.238181,15.8,1980-12-08 08:00,13.0,1980-02-21 07:00,12.3,1980-12-08 07:00,12.0,1980-12-24 09:00,,,,,6.4,5.4,4.1,3.2,2.3,1.6,0.7,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42101,1,40.732601,-74.177645,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,5965,68,Y,221,366,0,0,0.0,0.0,Certification not required,0,1.835826,0.977053,8.4,1980-12-24 14:00,8.4,1980-12-24 15:00,8.0,1980-12-24 13:00,7.9,1980-12-24 16:00,8.4,1980-12-24 14:00,7.8,1980-02-20 13:00,5.4,4.7,3.6,3.0,2.2,1.7,0.9,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42401,2,40.732601,-74.177645,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5437,62,N,198,366,0,0,13.0,,Certification not required,0,32.116162,22.337777,152.0,1980-01-11 09:00,107.0,1980-01-22 09:00,96.0,1980-03-17 09:00,89.0,1980-02-21 07:00,,,,,117.0,89.0,75.0,61.0,42.0,27.0,8.0,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42401,2,40.732601,-74.177645,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,5437,62,N,198,366,0,0,,,Certification not required,0,18.283612,15.84332,152.0,1980-01-11 09:00,152.0,1980-02-20 08:00,147.0,1980-01-11 08:00,146.0,1980-01-11 10:00,,,,,69.0,59.0,48.0,40.0,26.0,14.0,3.0,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42401,2,40.732601,-74.177645,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,198,54,N,198,366,0,0,0.0,,Certification not required,0,17.891919,12.9909,72.6,1980-01-11 00:00,56.5,1980-01-22 00:00,50.7,1980-03-08 00:00,49.6,1980-01-14 00:00,,,,,56.5,49.6,44.0,39.0,24.1,14.5,4.3,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42401,2,40.732601,-74.177645,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1718,59,N,193,366,0,0,,0.0,Certification not required,0,18.345518,15.394135,139.6,1980-01-11 11:00,128.6,1980-02-20 11:00,127.0,1980-01-11 08:00,98.0,1980-11-17 17:00,,,,,64.6,57.6,48.0,40.0,25.6,15.0,3.0,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
34,13,8,42601,2,40.732601,-74.177645,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1325,22,N,52,256,0,0,,,Certification not required,0,21.872453,26.805124,227.0,1980-06-13 03:00,213.0,1980-06-13 02:00,207.0,1980-08-05 06:00,197.0,1980-06-13 05:00,,,,,150.0,119.0,71.0,47.0,25.0,13.0,4.0,,WASHINGTON & WILLOW STS.,New Jersey,Essex,Newark,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.732601 -74.177645],"{'Commercial and Services': 0.66, 'Residential': 0.34}"
