State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,17,1,11101,2,40.668159,-74.102365,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,70.666667,23.307311,114.0,1980-07-26 00:00,110.0,1980-09-12 00:00,106.0,1980-08-19 00:00,105.0,1980-06-20 00:00,,,,,114.0,114.0,110.0,106.0,92.0,64.0,46.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12103,1,40.668159,-74.102365,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.00125,0.003429,0.012,1980-08-07 00:00,0.01,1980-07-14 00:00,0.008,1980-02-21 00:00,0.0,1980-01-16 00:00,,,,,0.012,0.012,0.01,0.008,0.0,0.0,0.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12105,1,40.668159,-74.102365,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.015,0.073485,0.36,1980-08-19 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,,,,,0.36,0.36,0.0,0.0,0.0,0.0,0.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12107,1,40.668159,-74.102365,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-01,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12110,1,40.668159,-74.102365,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.00475,0.006002,0.025,1980-02-21 00:00,0.019,1980-11-23 00:00,0.012,1980-09-12 00:00,0.008,1980-05-15 00:00,,,,,0.025,0.025,0.019,0.012,0.005,0.003,0.001,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-24,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12112,3,40.668159,-74.102365,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.010333,0.013111,0.0508,1980-04-21 00:00,0.0336,1980-02-21 00:00,0.0267,1980-09-12 00:00,0.026,1980-10-30 00:00,,,,,0.0508,0.0508,0.0336,0.0267,0.0152,0.0102,0.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-21,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12113,3,40.668159,-74.102365,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.000392,0.000919,0.0031,1980-12-29 00:00,0.0024,1980-01-16 00:00,0.0022,1980-10-30 00:00,0.0017,1980-11-23 00:00,,,,,0.0031,0.0031,0.0024,0.0022,0.0,0.0,0.0,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-21,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12114,1,40.668159,-74.102365,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.082292,0.035355,0.168,1980-08-19 00:00,0.132,1980-05-15 00:00,0.123,1980-02-21 00:00,0.123,1980-10-18 00:00,,,,,0.168,0.168,0.132,0.123,0.104,0.084,0.04,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12126,1,40.668159,-74.102365,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.950833,0.446103,1.82,1980-07-14 00:00,1.71,1980-08-19 00:00,1.59,1980-06-20 00:00,1.41,1980-02-21 00:00,,,,,1.82,1.82,1.71,1.59,1.35,1.0,0.39,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
34,17,1,12128,1,40.668159,-74.102365,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,24,39,N,24,61,0,0,,,Certification not required,0,0.34125,0.157074,0.75,1980-02-21 00:00,0.64,1980-11-23 00:00,0.52,1980-08-07 00:00,0.51,1980-07-26 00:00,,,,,0.75,0.75,0.64,0.52,0.45,0.31,0.19,,"BAYONNE HOSPITAL, E. 29TH STREET",New Jersey,Hudson,Bayonne,"New York-Newark-Jersey City, NY-NJ-PA",2013-06-29,[ 40.668159 -74.102365],"{'Commercial and Services': 0.16, 'Residential': 0.02, 'Bays and estuaries': 0.33, 'Transportation, communications and services': 0.49}"
