State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,21,2,11101,1,40.313441,-74.604045,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,46.721311,18.849519,101.0,1980-08-01 00:00,94.0,1980-07-02 00:00,87.0,1980-07-20 00:00,86.0,1980-09-12 00:00,,,,,101.0,94.0,86.0,68.0,57.0,46.0,27.0,,GROVERS MILL (WEST WINDSOR TWP),New Jersey,Mercer,Not in a city,"Trenton, NJ",2010-04-25,[ 40.313441 -74.604045],"{'Residential': 0.27218934911242604, 'Cropland and pasture': 0.591715976331361, 'Reservoirs': 0.13609467455621302}"
34,21,1001,11101,1,40.270109,-74.522098,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,51.637931,20.823147,113.0,1980-08-01 00:00,97.0,1980-07-20 00:00,85.0,1980-06-02 00:00,83.0,1980-03-04 00:00,,,,,113.0,97.0,85.0,79.0,62.0,46.0,26.0,,148 N. MAIN ST.,New Jersey,Mercer,Hightstown,"Trenton, NJ",2010-04-25,[ 40.270109 -74.522098],"{'Commercial and Services': 0.3103448275862069, 'Residential': 0.6896551724137931}"
34,21,1002,42101,1,40.220109,-74.764606,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7201,82,Y,268,366,0,0,0.0,0.0,Certification not required,0,1.337536,0.899968,10.5,1980-12-01 20:00,8.1,1980-11-03 08:00,8.0,1980-12-01 21:00,7.6,1980-11-17 07:00,,,,,4.6,3.9,3.0,2.4,1.7,1.2,0.4,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2016-04-19,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,42101,1,40.220109,-74.764606,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7005,80,Y,261,366,0,0,0.0,0.0,Certification not required,0,1.331777,0.726704,6.3,1980-12-02 01:00,6.1,1980-01-01 05:00,5.8,1980-01-01 06:00,5.8,1980-12-02 02:00,6.3,1980-12-02 01:00,6.1,1980-01-01 05:00,3.9,3.4,2.7,2.2,1.6,1.2,0.6,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2016-04-19,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,42401,2,40.220109,-74.764606,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6388,73,N,242,366,0,0,8.0,,Certification not required,0,18.904959,18.304798,126.0,1980-12-25 18:00,108.0,1980-12-30 07:00,95.0,1980-12-28 09:00,94.0,1980-12-27 14:00,,,,,95.0,90.0,55.0,39.0,22.0,14.0,3.0,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2013-02-16,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,42401,2,40.220109,-74.764606,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6388,73,N,242,366,0,0,,,Certification not required,0,8.829368,10.877688,126.0,1980-12-25 18:00,112.0,1980-12-25 19:00,108.0,1980-12-30 07:00,95.0,1980-12-28 09:00,,,,,59.0,42.0,28.0,20.0,11.0,5.0,1.0,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2013-02-16,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,42401,2,40.220109,-74.764606,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,242,66,N,242,366,0,0,0.0,,Certification not required,0,8.733058,8.944684,66.3,1980-12-28 00:00,58.0,1980-12-27 00:00,38.2,1980-03-10 00:00,37.2,1980-12-24 00:00,,,,,38.2,36.3,27.1,20.0,10.0,5.8,2.0,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2013-02-16,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,42401,2,40.220109,-74.764606,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2052,70,N,237,366,0,0,,0.0,Certification not required,0,8.722953,10.463822,92.0,1980-12-30 08:00,91.0,1980-12-28 11:00,87.3,1980-12-25 20:00,81.0,1980-12-28 08:00,,,,,53.6,42.6,27.6,19.3,10.3,5.6,1.3,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2013-02-16,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,44201,1,40.220109,-74.764606,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7328,91,Y,194,214,0,0,17.0,17.0,Certification not required,0,0.073077,0.037599,0.194,1980-07-21 16:00,0.189,1980-08-04 14:00,0.171,1980-06-24 13:00,0.164,1980-06-23 14:00,,,,,0.189,0.164,0.137,0.123,0.098,0.069,0.043,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2016-08-18,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
34,21,1002,44201,1,40.220109,-74.764606,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7132,87,Y,186,214,0,0,44.0,44.0,Certification not required,0,0.059742,0.029939,0.134,1980-06-23 08:00,0.133,1980-08-04 11:00,0.132,1980-07-21 11:00,0.128,1980-06-24 10:00,,,,,0.133,0.128,0.107,0.101,0.083,0.059,0.035,,16 EAST STATE STREET,New Jersey,Mercer,Trenton,"Trenton, NJ",2016-08-18,[ 40.220109 -74.764606],"{'Commercial and Services': 0.9615384615384616, 'Residential': 0.038461538461538464}"
