State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,23,1,11101,1,40.577604,-74.216533,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,81.418182,28.003764,160.0,1980-08-25 00:00,138.0,1980-12-29 00:00,125.0,1980-12-23 00:00,123.0,1980-09-12 00:00,,,,,160.0,138.0,125.0,122.0,97.0,82.0,45.0,,"SEWAGE TREATMENT PLANT, 339 ROOSEVELT AV",New Jersey,Middlesex,Carteret,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.577604 -74.216533],"{'Residential': 0.31, 'Streams and canals': 0.02, 'Industrial': 0.67}"
34,23,2,11101,1,40.543715,-74.350149,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,50.614035,19.728292,94.0,1980-08-01 00:00,85.0,1980-12-23 00:00,83.0,1980-09-12 00:00,81.0,1980-07-02 00:00,,,,,94.0,85.0,83.0,79.0,64.0,51.0,24.0,,OAKLAND AND UPLAND AVENUES,New Jersey,Middlesex,Metuchen,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.543715 -74.350149],{'Residential': 1.0}
34,23,3,11101,1,40.382607,-74.531821,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,47.262295,19.097907,101.0,1980-08-01 00:00,84.0,1980-08-25 00:00,82.0,1980-07-02 00:00,79.0,1980-09-12 00:00,,,,,101.0,84.0,79.0,74.0,61.0,47.0,25.0,,"RIDGE ROAD,MONMOUTH JCT.,SOUTH BRUNSWICK",New Jersey,Middlesex,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.382607 -74.531821],"{'Deciduous forest land': 0.11, 'Other urban or built-up land': 0.28, 'Cropland and pasture': 0.61}"
34,23,4,11101,1,40.567882,-74.28598,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,59.363636,21.695164,116.0,1980-07-08 00:00,101.0,1980-07-02 00:00,96.0,1980-08-01 00:00,93.0,1980-09-12 00:00,,,,,116.0,101.0,96.0,90.0,77.0,55.0,33.0,,800 ST GEORGES RD (WOODBRIDGE TWP),New Jersey,Middlesex,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.567882 -74.28598 ],"{'Commercial and Services': 0.55, 'Residential': 0.45}"
34,23,5,11101,1,40.556772,-74.252646,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,80.0,28.977994,166.0,1980-12-23 00:00,138.0,1980-07-02 00:00,132.0,1980-06-26 00:00,127.0,1980-07-20 00:00,,,,,166.0,138.0,132.0,124.0,96.0,79.0,42.0,,"SEWAREN SEWAGE STATION, CLIFF ROAD",New Jersey,Middlesex,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.556772 -74.252646],"{'Residential': 0.23, 'Streams and canals': 0.13, 'Industrial': 0.64}"
34,23,1002,11101,1,40.437885,-74.262646,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,51.42623,25.133947,109.0,1980-08-01 00:00,103.0,1980-08-19 00:00,99.0,1980-06-14 00:00,99.0,1980-07-14 00:00,,,,,109.0,103.0,99.0,95.0,65.0,45.0,25.0,,CHEESEQUAKE STATE PARK (MADISON TWP),New Jersey,Middlesex,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.437885 -74.262646],"{'Forested wetland': 0.1, 'Deciduous forest land': 0.75, 'Transportation, communications and services': 0.1, 'Lakes': 0.05}"
34,23,1004,11101,1,40.510383,-74.271257,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,77.568966,27.820926,146.0,1980-07-02 00:00,134.0,1980-08-25 00:00,127.0,1980-03-04 00:00,127.0,1980-07-20 00:00,,,,,146.0,134.0,127.0,122.0,89.0,74.0,43.0,,POST OFFICE 205 JEFFERSON STREET,New Jersey,Middlesex,Perth Amboy,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.510383 -74.271257],"{'Commercial and Services': 0.53, 'Residential': 0.41, 'Industrial': 0.06}"
34,23,1005,11101,1,40.516494,-74.287924,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,14,23,N,14,61,0,0,,,Certification not required,0,43.785714,15.572059,68.0,1980-11-17 00:00,65.0,1980-11-23 00:00,64.0,1980-12-29 00:00,57.0,1980-10-30 00:00,,,,,68.0,68.0,68.0,65.0,57.0,47.0,27.0,,"ANIMAL SHELTER, FAYETTE & CLEMENT STS.",New Jersey,Middlesex,Perth Amboy,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.516494 -74.287924],"{'Commercial and Services': 0.25, 'Residential': 0.46, 'Industrial': 0.29}"
34,23,2001,11101,1,40.579825,-74.503488,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,58.290909,23.594313,111.0,1980-09-12 00:00,109.0,1980-08-01 00:00,107.0,1980-05-03 00:00,94.0,1980-12-23 00:00,,,,,111.0,109.0,107.0,91.0,77.0,55.0,27.0,,1200 MOUNTAIN AVENUE,New Jersey,Middlesex,Middlesex,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.579825 -74.503488],"{'Commercial and Services': 0.2564102564102564, 'Residential': 0.7435897435897436}"
34,23,2002,42401,1,40.482327,-74.440429,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6779,77,N,256,366,0,0,3.0,,Certification not required,0,18.820313,13.900167,78.0,1980-12-27 14:00,74.0,1980-11-23 17:00,67.0,1980-07-02 19:00,64.0,1980-12-07 06:00,,,,,74.0,64.0,49.0,40.0,26.0,16.0,5.0,,"COOK COLLEGE,MET.BLDG., NICHOL AVENUE",New Jersey,Middlesex,New Brunswick,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.482327 -74.440429],"{'Commercial and Services': 0.37, 'Residential': 0.63}"
