State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,25,1,42101,1,40.216224,-74.01236,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7493,85,Y,283,366,0,0,0.0,0.0,Certification not required,0,1.381169,0.77103,9.1,1980-11-21 08:00,7.7,1980-10-07 19:00,7.6,1980-11-21 07:00,7.3,1980-12-23 14:00,,,,,4.1,3.4,2.7,2.3,1.7,1.2,0.6,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,1,42101,1,40.216224,-74.01236,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7275,83,Y,269,366,0,0,0.0,0.0,Certification not required,0,1.378818,0.62057,5.9,1980-12-23 19:00,5.8,1980-12-23 20:00,5.7,1980-12-23 18:00,5.6,1980-12-23 17:00,5.9,1980-12-23 19:00,4.8,1980-11-21 12:00,3.3,3.0,2.5,2.2,1.7,1.3,0.7,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,1,42401,2,40.216224,-74.01236,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7226,82,N,273,366,0,0,0.0,,Certification not required,0,14.153846,9.696789,63.0,1980-02-14 09:00,63.0,1980-03-04 08:00,45.0,1980-01-01 00:00,45.0,1980-01-06 21:00,,,,,45.0,43.0,31.0,28.0,18.0,12.0,4.0,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,1,42401,2,40.216224,-74.01236,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7226,82,N,273,366,0,0,,,Certification not required,0,8.311791,6.622271,68.0,1980-02-20 08:00,63.0,1980-02-14 09:00,63.0,1980-03-04 08:00,52.0,1980-02-14 00:00,,,,,33.0,27.0,20.0,16.0,11.0,7.0,1.0,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,1,42401,2,40.216224,-74.01236,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,273,75,N,273,366,0,0,0.0,,Certification not required,0,8.191941,5.470429,38.8,1980-02-14 00:00,33.5,1980-01-09 00:00,24.0,1980-03-04 00:00,23.2,1980-01-01 00:00,,,,,24.0,22.2,18.9,15.0,10.5,7.4,2.0,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,1,42401,2,40.216224,-74.01236,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2330,80,N,267,366,0,0,,0.0,Certification not required,0,8.23309,6.388152,49.3,1980-02-20 11:00,49.0,1980-02-14 11:00,47.6,1980-02-14 02:00,47.3,1980-03-04 08:00,,,,,32.3,26.3,20.0,15.6,11.0,7.3,1.3,,730 MATTISON AVENUE,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.216224 -74.01236 ],"{'Commercial and Services': 0.43, 'Residential': 0.36, 'Other urban or built-up land': 0.05, 'Lakes': 0.16}"
34,25,2,11101,1,40.220391,-74.015138,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,61.754098,19.312048,103.0,1980-08-25 00:00,99.0,1980-08-07 00:00,99.0,1980-09-12 00:00,94.0,1980-08-01 00:00,,,,,103.0,99.0,94.0,88.0,77.0,61.0,39.0,,HEALTH DEPT 913 SEWALL STREET,New Jersey,Monmouth,Asbury Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.220391 -74.015138],"{'Commercial and Services': 0.4158415841584158, 'Residential': 0.5742574257425742, 'Mixed urban or built-up land': 0.009900990099009901}"
34,25,4,42601,1,40.327888,-74.266257,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1986,32,N,82,257,0,0,,,Certification not required,0,2.899295,11.625037,135.0,1980-06-21 23:00,135.0,1980-06-22 01:00,135.0,1980-06-22 02:00,125.0,1980-06-21 22:00,,,,,60.0,40.0,15.0,5.0,0.0,0.0,0.0,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,42603,1,40.327888,-74.266257,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1986,32,N,82,257,0,0,,,Certification not required,0,16.453676,18.533192,170.0,1980-06-21 22:00,162.0,1980-07-03 02:00,154.0,1980-07-03 03:00,135.0,1980-06-22 01:00,,,,,92.0,75.0,50.0,37.0,22.0,12.0,0.0,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,44201,1,40.327888,-74.266257,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,1924,36,N,78,214,0,0,14.0,14.0,Certification not required,0,0.092218,0.035107,0.181,1980-07-20 14:00,0.161,1980-07-16 14:00,0.155,1980-07-22 13:00,0.155,1980-08-25 15:00,,,,,0.181,0.161,0.155,0.15,0.12,0.085,0.05,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,44201,1,40.327888,-74.266257,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1913,37,N,79,214,0,0,29.0,29.0,Certification not required,0,0.076013,0.027683,0.149,1980-07-20 10:00,0.132,1980-07-22 11:00,0.13,1980-07-21 10:00,0.123,1980-07-16 10:00,,,,,0.149,0.132,0.123,0.109,0.097,0.076,0.042,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,44201,1,40.327888,-74.266257,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,1913,37,N,79,214,0,0,40.0,40.0,Certification not required,0,0.076013,0.027683,0.149,1980-07-20 10:00,0.132,1980-07-22 11:00,0.13,1980-07-21 10:00,0.123,1980-07-16 10:00,,,,,0.149,0.132,0.123,0.109,0.097,0.076,0.042,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,44201,1,40.327888,-74.266257,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,1355,37,N,79,214,0,0,45.0,45.0,Certification not required,0,0.075962,0.02772,0.149,1980-07-20 10:00,0.132,1980-07-22 11:00,0.13,1980-07-21 10:00,0.123,1980-07-16 10:00,,,,,0.149,0.132,0.123,0.109,0.097,0.076,0.042,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,61101,1,40.327888,-74.266257,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Knots,No Events,2081,34,N,84,257,0,0,,,Certification not required,0,3.536569,2.406802,13.0,1980-07-05 21:00,13.0,1980-07-06 11:00,13.0,1980-07-06 12:00,13.0,1980-07-06 13:00,,,,,10.9,9.5,7.8,6.6,5.2,3.5,0.8,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-05-25,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,61102,1,40.327888,-74.266257,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - VISUAL AVERAGE,1980,Degrees Compass,No Events,2093,34,N,86,257,0,0,,,Certification not required,0,209.921644,86.861269,360.0,1980-06-21 23:00,360.0,1980-06-29 03:00,360.0,1980-07-01 09:00,360.0,1980-07-02 18:00,,,,,355.0,350.0,335.0,320.0,290.0,200.0,95.0,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,62101,1,40.327888,-74.266257,WGS84,Outdoor Temperature,1 HOUR,,Observed Values,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,1980,Degrees Fahrenheit,No Events,2043,33,N,82,257,0,0,,,Certification not required,0,72.99021,9.747694,101.0,1980-07-23 09:00,100.0,1980-07-21 13:00,100.0,1980-07-23 08:00,99.0,1980-07-20 14:00,,,,,96.0,93.0,90.0,87.0,80.0,72.0,61.0,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,4,63301,1,40.327888,-74.266257,WGS84,Solar radiation,1 HOUR,,Observed Values,INSTRUMENTAL - PYRANOMETER,1980,Langleys/minute,No Events,2079,34,N,85,257,0,0,,,Certification not required,0,0.005835,0.007871,0.02,1980-06-18 09:00,0.02,1980-06-18 10:00,0.02,1980-06-18 11:00,0.02,1980-06-19 08:00,,,,,0.02,0.02,0.02,0.02,0.01,0.0,0.0,,76 WYNCREST RD. MARLBORO,New Jersey,Monmouth,,"New York-Newark-Jersey City, NY-NJ-PA",2016-03-10,[ 40.327888 -74.266257],"{'Commercial and Services': 0.031007751937984496, 'Residential': 0.1937984496124031, 'Cropland and pasture': 0.7751937984496124}"
34,25,1001,11101,1,40.162336,-74.062639,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,46.568966,18.317006,91.0,1980-06-02 00:00,87.0,1980-08-01 00:00,80.0,1980-08-07 00:00,77.0,1980-08-25 00:00,,,,,91.0,87.0,80.0,74.0,61.0,45.0,26.0,,606 SOUTH STREET,New Jersey,Monmouth,Brielle,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.162336 -74.062639],"{'Residential': 0.05660377358490566, 'Cropland and pasture': 0.7924528301886793, 'Lakes': 0.1509433962264151}"
34,25,1002,11101,1,40.204555,-74.428484,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,33,54,N,33,61,0,0,,,Certification not required,0,45.969697,16.045803,76.0,1980-08-07 00:00,76.0,1980-08-19 00:00,71.0,1980-09-12 00:00,68.0,1980-07-26 00:00,,,,,76.0,76.0,76.0,68.0,57.0,45.0,26.0,,"MILLSTONE TWP,MILLSTONE&CLARKSBURG RDS.",New Jersey,Monmouth,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.204555 -74.428484],"{'Strip mines, quarries and gravel pits': 0.15254237288135594, 'Deciduous forest land': 0.847457627118644}"
34,25,2001,42101,1,40.259895,-74.274689,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7596,86,Y,290,366,0,0,0.0,0.0,Certification not required,0,2.846261,2.001224,13.9,1980-10-16 06:00,13.8,1980-12-08 07:00,13.4,1980-01-18 16:00,12.7,1980-11-03 07:00,,,,,8.6,7.8,6.7,5.7,4.1,2.4,0.7,FREEHOLD,5 West Main Street,New Jersey,Monmouth,Freehold,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.259895 -74.274689],"{'Commercial and Services': 0.3464052287581699, 'Residential': 0.6535947712418301}"
34,25,2001,42101,1,40.259895,-74.274689,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7406,84,Y,279,366,0,0,4.0,4.0,Certification not required,0,2.830016,1.56621,10.3,1980-01-18 19:00,10.2,1980-01-18 18:00,9.9,1980-01-18 20:00,9.8,1980-01-18 17:00,10.3,1980-01-18 19:00,8.9,1980-01-25 19:00,7.0,6.4,5.7,5.1,3.9,2.5,1.0,FREEHOLD,5 West Main Street,New Jersey,Monmouth,Freehold,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.259895 -74.274689],"{'Commercial and Services': 0.3464052287581699, 'Residential': 0.6535947712418301}"
