State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,27,1,11101,1,40.900099,-74.399597,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,47.84,20.237506,86.0,1980-08-01 00:00,83.0,1980-07-20 00:00,78.0,1980-07-26 00:00,73.0,1980-09-30 00:00,,,,,86.0,86.0,83.0,78.0,65.0,42.0,22.0,,S.E.CORNER PEPE PARK,New Jersey,Morris,Boonton,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.900099 -74.399597],"{'Commercial and Services': 0.01, 'Residential': 0.33, 'Deciduous forest land': 0.52, 'Reservoirs': 0.07, 'Cropland and pasture': 0.07}"
34,27,2,11101,1,40.890932,-74.56877,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,54.607143,29.869217,227.0,1980-07-20 00:00,92.0,1980-09-12 00:00,91.0,1980-09-30 00:00,90.0,1980-08-01 00:00,,,,,227.0,92.0,91.0,78.0,64.0,52.0,28.0,,"PUMPING STATION,FOOT OF RUTGERS STREET",New Jersey,Morris,Dover,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.890932 -74.56877 ],"{'Residential': 0.64, 'Industrial': 0.36}"
34,27,3,42101,1,40.797342,-74.482494,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7746,88,Y,298,366,0,0,0.0,0.0,Certification not required,0,3.49969,2.970678,26.2,1980-09-05 07:00,24.5,1980-09-05 08:00,23.6,1980-12-02 08:00,23.5,1980-01-11 08:00,,,,,14.1,11.9,9.0,7.5,4.9,2.6,0.7,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,3,42101,1,40.797342,-74.482494,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7557,86,Y,288,366,0,0,122.0,122.0,Certification not required,0,3.479926,2.209916,17.0,1980-01-11 14:00,15.8,1980-01-11 15:00,15.0,1980-03-17 14:00,14.9,1980-03-17 15:00,17.0,1980-01-11 14:00,15.0,1980-03-17 14:00,10.3,9.1,7.6,6.6,4.7,3.0,1.1,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,3,42401,2,40.797342,-74.482494,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6667,76,N,259,366,0,0,3.0,,Certification not required,0,20.76834,13.659494,98.0,1980-10-16 19:00,77.0,1980-03-04 08:00,58.0,1980-03-08 10:00,57.0,1980-01-11 08:00,,,,,58.0,53.0,49.0,38.0,26.0,18.0,6.0,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,3,42401,2,40.797342,-74.482494,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6667,76,N,259,366,0,0,,,Certification not required,0,10.80246,9.265598,98.0,1980-10-16 19:00,95.0,1980-10-16 20:00,77.0,1980-03-04 08:00,76.0,1980-02-20 09:00,,,,,44.0,38.0,29.0,23.0,14.0,9.0,1.0,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,3,42401,2,40.797342,-74.482494,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,259,71,N,259,366,0,0,0.0,,Certification not required,0,10.704633,7.596193,43.5,1980-03-08 00:00,43.4,1980-03-07 00:00,42.0,1980-03-04 00:00,35.6,1980-10-16 00:00,,,,,42.0,33.2,25.9,20.6,13.4,9.2,2.9,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,3,42401,2,40.797342,-74.482494,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2164,74,N,256,366,0,0,,0.0,Certification not required,0,10.709797,8.903673,75.3,1980-10-16 20:00,60.3,1980-03-04 08:00,58.6,1980-02-20 11:00,54.6,1980-01-11 11:00,,,,,42.6,36.3,28.3,22.0,14.3,9.0,1.6,MORRISTOWN,11 Washington Street,New Jersey,Morris,Morristown,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.797342 -74.482494],"{'Commercial and Services': 0.4371584699453552, 'Residential': 0.546448087431694, 'Reservoirs': 0.01639344262295082}"
34,27,2001,11101,1,40.779544,-74.435431,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,40.733333,16.842105,90.0,1980-08-01 00:00,85.0,1980-07-20 00:00,83.0,1980-09-30 00:00,77.0,1980-09-12 00:00,,,,,90.0,85.0,83.0,66.0,48.0,40.0,23.0,,FDU STUDENT PARKING AREA NO 2,New Jersey,Morris,Florham Park,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.779544 -74.435431],"{'Commercial and Services': 0.97, 'Residential': 0.03}"
34,27,3001,11101,1,40.787628,-74.676301,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,33.684211,15.456342,74.0,1980-08-01 00:00,73.0,1980-07-20 00:00,65.0,1980-03-16 00:00,65.0,1980-09-30 00:00,,,,,74.0,73.0,65.0,57.0,43.0,31.0,17.0,Chester,"Building #1, Department of Public Works (DPW) off Route 513",New Jersey,Morris,Chester,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.787628 -74.676301],"{'Commercial and Services': 0.23, 'Residential': 0.16, 'Deciduous forest land': 0.05, 'Cropland and pasture': 0.56}"
