State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,29,2,11101,1,39.789009,-74.200695,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,30,49,N,30,61,0,0,,,Certification not required,0,39.366667,13.422789,72.0,1980-09-12 00:00,69.0,1980-07-26 00:00,62.0,1980-08-07 00:00,53.0,1980-07-02 00:00,,,,,72.0,72.0,69.0,62.0,45.0,39.0,24.0,,"ELEM.SCHOOL,RAILROAD AVE.,WARETOWN (T)",New Jersey,Ocean,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 39.789009 -74.200695],"{'Commercial and Services': 0.18, 'Residential': 0.43, 'Forested wetland': 0.01, 'Mixed forest land': 0.38}"
34,29,3,11101,1,39.845675,-74.089024,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,33,54,N,33,61,0,0,,,Certification not required,0,51.030303,20.657149,108.0,1980-03-28 00:00,101.0,1980-10-30 00:00,79.0,1980-09-12 00:00,73.0,1980-01-16 00:00,,,,,108.0,108.0,101.0,73.0,61.0,47.0,28.0,,ISLAND BEACH STATE PARK (LACEY TWP),New Jersey,Ocean,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 39.845675 -74.089024],"{'Commercial and Services': 0.05, 'Forested wetland': 0.36, 'Null area -- no land use assigned': 0.03, 'Bays and estuaries': 0.4, 'Beaches': 0.16}"
34,29,1001,11101,1,39.601507,-74.345146,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,48.592593,19.791722,102.0,1980-05-15 00:00,86.0,1980-05-27 00:00,83.0,1980-08-07 00:00,79.0,1980-06-20 00:00,,,,,102.0,102.0,86.0,83.0,59.0,44.0,30.0,,"OCEAN COUNTY PARK,RTE.9 & LAKESIDE DR.",New Jersey,Ocean,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 39.601507 -74.345146],"{'Commercial and Services': 0.17, 'Residential': 0.57, 'Reservoirs': 0.18, 'Evergreen forest land': 0.08}"
34,29,1002,11101,1,39.953729,-74.195419,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,49.423729,15.391672,93.0,1980-08-01 00:00,93.0,1980-08-25 00:00,78.0,1980-09-12 00:00,75.0,1980-08-07 00:00,,,,,93.0,93.0,78.0,69.0,58.0,48.0,33.0,,MUNICIPAL BLDG 33 WASHINGTON STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 39.953729 -74.195419],"{'Commercial and Services': 0.86, 'Residential': 0.11, 'Streams and canals': 0.03}"
34,29,2001,42101,1,39.953729,-74.197642,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7305,83,Y,277,366,0,0,0.0,0.0,Certification not required,0,2.432389,1.786275,20.1,1980-11-21 08:00,19.3,1980-02-20 08:00,17.4,1980-11-21 09:00,14.8,1980-12-08 07:00,,,,,7.9,7.0,5.8,4.8,3.3,2.0,0.5,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
34,29,2001,42101,1,39.953729,-74.197642,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7086,81,Y,265,366,0,0,2.0,2.0,Certification not required,0,2.435182,1.386218,11.6,1980-11-21 12:00,10.2,1980-11-21 11:00,9.0,1980-11-21 10:00,8.2,1980-02-25 17:00,11.6,1980-11-21 12:00,8.2,1980-02-25 17:00,6.5,6.0,5.0,4.3,3.3,2.2,0.8,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
34,29,2001,42401,2,39.953729,-74.197642,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7002,80,N,265,366,0,0,0.0,,Certification not required,0,12.015094,9.318022,50.0,1980-01-09 09:00,48.0,1980-01-10 03:00,47.0,1980-12-24 08:00,44.0,1980-03-04 06:00,,,,,47.0,38.0,31.0,23.0,16.0,10.0,2.0,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
34,29,2001,42401,2,39.953729,-74.197642,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7002,80,N,265,366,0,0,,,Certification not required,0,5.586547,5.817955,50.0,1980-01-09 09:00,48.0,1980-01-10 03:00,47.0,1980-12-24 08:00,45.0,1980-12-16 19:00,,,,,27.0,22.0,17.0,13.0,8.0,4.0,1.0,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
34,29,2001,42401,2,39.953729,-74.197642,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,265,72,N,265,366,0,0,0.0,,Certification not required,0,5.530189,4.698831,28.5,1980-01-09 00:00,23.8,1980-01-10 00:00,23.6,1980-12-24 00:00,21.9,1980-01-16 00:00,,,,,23.6,19.9,15.4,12.5,7.5,4.1,1.2,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
34,29,2001,42401,2,39.953729,-74.197642,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2264,77,N,261,366,0,0,,0.0,Certification not required,0,5.501767,5.546519,41.6,1980-12-24 08:00,41.0,1980-03-04 08:00,38.3,1980-01-10 02:00,38.3,1980-01-10 05:00,,,,,26.6,21.3,16.3,13.0,7.6,3.6,1.0,,201 MAIN STREET,New Jersey,Ocean,Toms River,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 39.953729 -74.197642],"{'Commercial and Services': 0.88, 'Residential': 0.09, 'Streams and canals': 0.03}"
