State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,31,3,42101,1,40.928988,-74.155144,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,6904,79,Y,262,366,0,0,0.0,0.0,Certification not required,0,2.392338,1.752764,20.0,1980-10-15 06:00,19.5,1980-12-08 08:00,18.2,1980-12-08 07:00,17.1,1980-03-23 22:00,,,,,8.6,7.3,5.5,4.5,3.1,2.0,0.6,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,3,42101,1,40.928988,-74.155144,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,6706,76,Y,245,366,0,0,6.0,6.0,Certification not required,0,2.387981,1.256021,13.4,1980-10-15 11:00,11.9,1980-10-15 12:00,10.7,1980-04-04 18:00,10.7,1980-04-04 19:00,13.4,1980-10-15 11:00,10.7,1980-04-04 18:00,6.5,5.6,4.7,3.9,3.0,2.2,1.0,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,3,42401,2,40.928988,-74.155144,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6955,79,N,265,366,0,0,4.0,,Certification not required,0,20.954717,15.783269,91.0,1980-12-24 08:00,79.0,1980-12-08 08:00,76.0,1980-12-27 08:00,64.0,1980-02-14 07:00,,,,,76.0,64.0,56.0,45.0,25.0,17.0,5.0,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,3,42401,2,40.928988,-74.155144,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6955,79,N,265,366,0,0,,,Certification not required,0,9.996981,9.653748,91.0,1980-12-24 08:00,90.0,1980-12-24 11:00,85.0,1980-02-20 08:00,80.0,1980-12-24 10:00,,,,,48.0,41.0,30.0,21.0,12.0,8.0,1.0,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,3,42401,2,40.928988,-74.155144,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,265,72,N,265,366,0,0,0.0,,Certification not required,0,9.831698,7.490821,51.1,1980-12-24 00:00,42.5,1980-12-27 00:00,34.3,1980-02-14 00:00,32.1,1980-12-23 00:00,,,,,34.3,31.6,25.0,19.6,11.7,8.0,2.2,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,3,42401,2,40.928988,-74.155144,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2245,77,N,259,366,0,0,,0.0,Certification not required,0,9.788374,9.076846,82.0,1980-12-24 11:00,78.6,1980-12-24 08:00,63.3,1980-02-20 11:00,61.0,1980-12-08 08:00,,,,,44.0,39.6,29.3,21.0,11.6,7.6,1.3,,402 E. 16TH ST. MUNICIPAL GARAGE,New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.928988 -74.155144],"{'Commercial and Services': 0.22, 'Residential': 0.78}"
34,31,4,11101,1,40.913988,-74.188478,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,47,77,Y,47,61,0,0,,,Certification not required,0,49.212766,20.089946,99.0,1980-07-26 00:00,91.0,1980-07-20 00:00,82.0,1980-09-12 00:00,78.0,1980-12-23 00:00,,,,,99.0,99.0,82.0,77.0,65.0,48.0,28.0,,"WEST SIDE PARK, TOTOWA & BERKSHIRE AVES.",New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.913988 -74.188478],"{'Commercial and Services': 0.2483221476510067, 'Residential': 0.6711409395973155, 'Other urban or built-up land': 0.08053691275167785}"
34,31,5,11101,1,40.918381,-74.168092,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,27,61,0,0,,,Certification not required,0,84.535714,22.186887,128.0,1980-02-21 00:00,120.0,1980-03-04 00:00,115.0,1980-07-02 00:00,113.0,1980-08-19 00:00,,,,,128.0,128.0,120.0,115.0,106.0,79.0,57.0,Paterson,"Health Department, 176 Broadway Avenue",New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2017-05-02,[ 40.918381 -74.168092],"{'Commercial and Services': 0.8, 'Residential': 0.2}"
34,31,5,12103,1,40.918381,-74.168092,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,13,21,N,13,61,0,0,,,Certification not required,0,0.000538,0.001941,0.007,1980-05-03 00:00,0.0,1980-01-04 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,,,,,0.007,0.007,0.007,0.0,0.0,0.0,0.0,Paterson,"Health Department, 176 Broadway Avenue",New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.918381 -74.168092],"{'Commercial and Services': 0.8, 'Residential': 0.2}"
34,31,5,12105,1,40.918381,-74.168092,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,13,21,N,13,61,0,0,,,Certification not required,0,0.030769,0.075107,0.2,1980-01-16 00:00,0.2,1980-03-28 00:00,0.0,1980-01-04 00:00,0.0,1980-01-28 00:00,,,,,0.2,0.2,0.2,0.2,0.0,0.0,0.0,Paterson,"Health Department, 176 Broadway Avenue",New Jersey,Passaic,Paterson,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.918381 -74.168092],"{'Commercial and Services': 0.8, 'Residential': 0.2}"
