State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,33,1,42101,1,39.729836,-75.468251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7659,87,Y,295,366,0,0,0.0,0.0,Certification not required,0,1.029456,0.879296,14.1,1980-12-02 07:00,11.8,1980-02-19 15:00,11.7,1980-12-02 08:00,9.5,1980-12-22 07:00,,,,,4.4,3.6,2.6,2.0,1.3,0.8,0.3,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,1,42101,1,39.729836,-75.468251,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7485,85,Y,283,366,0,0,0.0,0.0,Certification not required,0,1.024623,0.678793,7.2,1980-12-02 12:00,6.4,1980-12-02 11:00,5.9,1980-12-02 10:00,5.8,1980-12-02 09:00,7.2,1980-12-02 12:00,5.5,1980-03-05 02:00,3.5,3.0,2.4,1.9,1.3,0.9,0.4,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-19,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,1,42401,2,39.729836,-75.468251,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7105,81,N,269,366,0,0,18.0,,Certification not required,0,27.95539,24.242822,217.0,1980-10-16 13:00,123.0,1980-10-17 10:00,117.0,1980-01-01 15:00,115.0,1980-12-23 11:00,,,,,117.0,88.0,74.0,56.0,34.0,20.0,8.0,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,1,42401,2,39.729836,-75.468251,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7105,81,N,269,366,0,0,,,Certification not required,0,10.925968,12.527229,217.0,1980-10-16 13:00,167.0,1980-02-19 11:00,129.0,1980-10-16 12:00,123.0,1980-10-17 10:00,,,,,60.0,49.0,34.0,25.0,14.0,7.0,1.0,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,1,42401,2,39.729836,-75.468251,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,269,73,N,269,366,0,0,0.0,,Certification not required,0,10.766171,8.673338,47.3,1980-10-16 00:00,45.6,1980-12-27 00:00,44.7,1980-12-07 00:00,41.8,1980-02-06 00:00,,,,,44.7,40.8,29.1,21.8,13.4,7.8,2.9,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,1,42401,2,39.729836,-75.468251,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2274,78,N,262,366,0,0,,0.0,Certification not required,0,10.709894,11.389598,138.0,1980-10-16 14:00,85.6,1980-08-25 11:00,81.3,1980-10-21 08:00,81.0,1980-01-01 14:00,,,,,56.6,47.0,33.0,24.0,13.6,7.3,1.3,,"BORO HALL,STATE & WEST MAIN STS.",New Jersey,Salem,Penns Grove,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 39.729836 -75.468251],"{'Commercial and Services': 0.232, 'Residential': 0.768}"
34,33,3,11101,1,39.75567,-75.418804,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,52.327586,25.245036,190.0,1980-09-12 00:00,94.0,1980-01-28 00:00,83.0,1980-08-01 00:00,82.0,1980-12-29 00:00,,,,,190.0,94.0,83.0,73.0,62.0,50.0,30.0,,PENNSGROVE & PEDRICKTOWN ROADS,New Jersey,Salem,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.75567  -75.418804],"{'Residential': 0.2, 'Industrial': 0.05, 'Deciduous forest land': 0.12, 'Cropland and pasture': 0.63}"
34,33,4,11101,1,39.76567,-75.414081,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,49.263158,18.657176,99.0,1980-12-23 00:00,90.0,1980-08-01 00:00,83.0,1980-09-06 00:00,83.0,1980-09-12 00:00,,,,,99.0,90.0,83.0,78.0,64.0,44.0,28.0,,RAILROAD AVENUE,New Jersey,Salem,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.76567  -75.414081],"{'Residential': 0.37, 'Forested wetland': 0.03, 'Cropland and pasture': 0.52, 'Industrial': 0.08}"
34,33,1001,11101,1,39.562613,-75.456031,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,0,,,Certification not required,0,52.375,14.127872,82.0,1980-01-10 00:00,73.0,1980-02-21 00:00,73.0,1980-08-07 00:00,72.0,1980-09-12 00:00,,,,,82.0,82.0,73.0,72.0,63.0,52.0,31.0,,520 GRIEVES PARKWAY AND ROUTE 49,New Jersey,Salem,Salem,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.562613 -75.456031],"{'Nonforested wetland': 0.09615384615384616, 'Commercial and Services': 0.17307692307692307, 'Residential': 0.23076923076923078, 'Cropland and pasture': 0.2692307692307692, 'Lakes': 0.10576923076923077, 'Transportation, communications and services': 0.125}"
34,33,1002,11101,1,39.508726,-75.128793,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,32,52,N,32,61,0,0,,,Certification not required,0,46.65625,15.399224,100.0,1980-05-03 00:00,73.0,1980-09-12 00:00,66.0,1980-08-07 00:00,64.0,1980-07-26 00:00,,,,,100.0,100.0,73.0,64.0,53.0,44.0,33.0,,ROUTE 540 AND PARVIN MILL ROAD,New Jersey,Salem,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.508726 -75.128793],"{'Cropland and pasture': 0.39, 'Forested wetland': 0.22, 'Reservoirs': 0.22, 'Mixed forest land': 0.07, 'Industrial': 0.1}"
34,33,2001,11101,1,39.634003,-75.357414,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,27,44,N,27,61,0,0,,,Certification not required,0,45.074074,14.860702,76.0,1980-12-29 00:00,68.0,1980-08-07 00:00,64.0,1980-01-10 00:00,64.0,1980-07-26 00:00,,,,,76.0,76.0,68.0,64.0,52.0,47.0,25.0,,CHENEY RD. & ROUTE 45; PILESGROVE (T),New Jersey,Salem,Not in a city,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 39.634003 -75.357414],"{'Commercial and Services': 0.08849557522123894, 'Residential': 0.02654867256637168, 'Cropland and pasture': 0.8849557522123894}"
