State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,35,3,11101,1,40.617046,-74.595158,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,46.072727,19.762342,104.0,1980-08-01 00:00,86.0,1980-09-12 00:00,76.0,1980-07-20 00:00,74.0,1980-08-07 00:00,,,,,104.0,86.0,76.0,72.0,59.0,44.0,23.0,,VANDERVEER ELEMENTARY SCHOOL UNION AVE.,New Jersey,Somerset,Somerville,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.617046 -74.595158],"{'Residential': 0.17, 'Deciduous forest land': 0.36, 'Cropland and pasture': 0.47}"
34,35,1001,42401,1,40.600936,-74.441541,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,3415,39,N,119,366,0,0,0.0,,Certification not required,0,16.369748,11.51555,73.0,1980-12-24 15:00,55.0,1980-10-31 08:00,46.0,1980-06-13 08:00,44.0,1980-10-16 21:00,,,,,72.0,55.0,43.0,35.0,22.0,13.0,4.0,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,1001,42401,1,40.600936,-74.441541,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,3415,39,N,119,366,0,0,,,Certification not required,0,9.114495,8.354342,73.0,1980-12-24 15:00,72.0,1980-12-19 00:00,70.0,1980-12-19 01:00,67.0,1980-12-19 04:00,,,,,42.0,35.0,25.0,19.0,11.0,7.0,3.0,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,1001,42401,1,40.600936,-74.441541,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,119,33,N,119,366,0,0,0.0,,Certification not required,0,8.584874,5.857006,37.1,1980-12-24 00:00,30.0,1980-12-27 00:00,27.3,1980-10-31 00:00,23.8,1980-11-14 00:00,,,,,30.0,27.3,21.6,15.6,10.4,7.0,3.3,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,1001,42401,1,40.600936,-74.441541,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1070,37,N,116,366,0,0,,0.0,Certification not required,0,9.002056,7.94325,68.6,1980-12-19 02:00,66.0,1980-12-24 17:00,64.3,1980-12-19 05:00,57.3,1980-12-18 23:00,,,,,38.6,34.0,24.6,18.0,11.3,6.6,3.0,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2010-10-13,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,1001,42601,1,40.600936,-74.441541,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2302,37,N,93,256,0,0,,,Certification not required,0,9.365334,17.11936,164.0,1980-06-12 22:00,133.0,1980-06-12 03:00,124.0,1980-06-12 05:00,116.0,1980-06-12 21:00,,,,,89.0,71.0,47.0,25.0,4.0,3.0,3.0,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,1001,42603,1,40.600936,-74.441541,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2300,26,N,93,366,0,0,,,Certification not required,0,32.450435,33.491602,780.0,1980-06-06 01:00,260.0,1980-06-07 19:00,230.0,1980-06-07 18:00,211.0,1980-06-12 22:00,,,,,138.0,124.0,96.0,75.0,40.0,22.0,7.0,,WEST THIRD AND BERGEN STREETS,New Jersey,Somerset,Plainfield,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.600936 -74.441541],"{'Commercial and Services': 0.07407407407407407, 'Residential': 0.9259259259259259}"
34,35,2001,11101,1,40.419828,-74.675437,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,39.6,16.826331,94.0,1980-08-01 00:00,75.0,1980-07-20 00:00,71.0,1980-06-26 00:00,69.0,1980-07-02 00:00,,,,,94.0,75.0,71.0,65.0,51.0,38.0,20.0,,BURNT HILL RD & ORCHARD RD (SKILLMAN),New Jersey,Somerset,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.419828 -74.675437],"{'Commercial and Services': 0.11504424778761062, 'Cropland and pasture': 0.8849557522123894}"
34,35,3001,42101,1,40.56927,-74.613213,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7589,86,Y,292,366,0,0,0.0,0.0,Certification not required,0,2.110963,1.574054,13.9,1980-12-30 10:00,11.3,1980-02-20 18:00,10.6,1980-11-20 21:00,10.3,1980-01-11 12:00,,,,,7.6,6.5,5.2,4.2,2.8,1.7,0.5,,86-88 WEST MAIN STREET,New Jersey,Somerset,Somerville,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.56927  -74.613213],"{'Commercial and Services': 0.2753623188405797, 'Residential': 0.7101449275362319, 'Transitional areas': 0.014492753623188406}"
34,35,3001,42101,1,40.56927,-74.613213,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7407,84,Y,276,366,0,0,0.0,0.0,Certification not required,0,2.103051,1.223539,8.8,1980-11-20 23:00,8.2,1980-01-04 19:00,8.1,1980-01-04 20:00,8.0,1980-01-04 18:00,8.8,1980-11-20 23:00,8.2,1980-01-04 19:00,6.0,5.4,4.5,3.8,2.7,1.8,0.8,,86-88 WEST MAIN STREET,New Jersey,Somerset,Somerville,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.56927  -74.613213],"{'Commercial and Services': 0.2753623188405797, 'Residential': 0.7101449275362319, 'Transitional areas': 0.014492753623188406}"
34,35,3001,42401,2,40.56927,-74.613213,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,6240,71,N,233,366,0,0,5.0,,Certification not required,0,24.008584,17.26617,157.0,1980-04-12 02:00,82.0,1980-11-23 19:00,81.0,1980-04-10 20:00,81.0,1980-04-11 23:00,,,,,81.0,66.0,53.0,43.0,30.0,21.0,6.0,,86-88 WEST MAIN STREET,New Jersey,Somerset,Somerville,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.56927  -74.613213],"{'Commercial and Services': 0.2753623188405797, 'Residential': 0.7101449275362319, 'Transitional areas': 0.014492753623188406}"
