State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
34,39,2,11101,2,40.662047,-74.208478,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,59.884615,17.978491,102.0,1980-07-02 00:00,91.0,1980-02-21 00:00,90.0,1980-08-19 00:00,78.0,1980-03-04 00:00,,,,,102.0,102.0,91.0,90.0,69.0,58.0,39.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12103,1,40.662047,-74.208478,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.000348,0.001668,0.008,1980-07-02 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-21 00:00,,,,,0.008,0.008,0.0,0.0,0.0,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12105,1,40.662047,-74.208478,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-20,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12107,1,40.662047,-74.208478,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,22,61,0,0,,,Certification not required,0,0.133435,0.258994,0.635,1980-08-31 00:00,0.63,1980-08-19 00:00,0.614,1980-09-24 00:00,0.6,1980-07-26 00:00,,,,,0.635,0.635,0.63,0.614,0.0,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-01,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12110,1,40.662047,-74.208478,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.002609,0.003056,0.012,1980-08-19 00:00,0.009,1980-07-14 00:00,0.006,1980-11-23 00:00,0.005,1980-01-16 00:00,,,,,0.012,0.012,0.009,0.006,0.004,0.002,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-24,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12112,2,40.662047,-74.208478,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.0055,0.008299,0.0247,1980-01-16 00:00,0.0201,1980-02-21 00:00,0.0194,1980-03-04 00:00,0.0171,1980-07-02 00:00,,,,,0.0247,0.0247,0.0201,0.0194,0.0124,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-21,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12113,2,40.662047,-74.208478,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.0003,0.000929,0.0041,1980-01-16 00:00,0.0018,1980-12-29 00:00,0.001,1980-08-19 00:00,0.0,1980-01-28 00:00,,,,,0.0041,0.0041,0.0018,0.001,0.0,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-21,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12114,1,40.662047,-74.208478,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.299522,0.142809,0.569,1980-06-08 00:00,0.561,1980-07-02 00:00,0.52,1980-05-15 00:00,0.518,1980-05-27 00:00,,,,,0.569,0.569,0.561,0.52,0.402,0.233,0.154,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12126,1,40.662047,-74.208478,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.765217,0.413311,1.61,1980-07-02 00:00,1.53,1980-02-21 00:00,1.42,1980-03-04 00:00,1.35,1980-08-19 00:00,,,,,1.61,1.61,1.53,1.42,0.92,0.77,0.34,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12128,1,40.662047,-74.208478,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.435217,0.226392,1.01,1980-01-16 00:00,0.85,1980-02-21 00:00,0.85,1980-07-02 00:00,0.6,1980-11-23 00:00,,,,,1.01,1.01,0.85,0.85,0.56,0.37,0.22,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2013-06-29,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12132,1,40.662047,-74.208478,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.016957,0.00974,0.04,1980-03-04 00:00,0.03,1980-02-21 00:00,0.03,1980-07-02 00:00,0.03,1980-08-19 00:00,,,,,0.04,0.04,0.03,0.03,0.02,0.02,0.01,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12134,1,40.662047,-74.208478,WGS84,Molybdenum (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,22,61,0,0,,,Certification not required,0,0.000174,0.000834,0.004,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,,,,,0.004,0.004,0.0,0.0,0.0,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-01,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12136,1,40.662047,-74.208478,WGS84,Nickel (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.009217,0.006928,0.03,1980-01-16 00:00,0.022,1980-07-02 00:00,0.018,1980-02-21 00:00,0.016,1980-08-19 00:00,,,,,0.03,0.03,0.022,0.018,0.012,0.007,0.002,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2012-09-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12164,1,40.662047,-74.208478,WGS84,Vanadium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,23,61,0,0,,,Certification not required,0,0.023304,0.015437,0.071,1980-01-16 00:00,0.042,1980-02-21 00:00,0.04,1980-08-19 00:00,0.037,1980-01-28 00:00,,,,,0.071,0.071,0.042,0.04,0.032,0.022,0.008,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
34,39,2,12167,1,40.662047,-74.208478,WGS84,Zinc (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,23,38,N,22,61,0,0,,,Certification not required,0,0.154957,0.254285,0.695,1980-07-26 00:00,0.652,1980-09-24 00:00,0.587,1980-08-19 00:00,0.531,1980-09-12 00:00,,,,,0.695,0.695,0.652,0.587,0.313,0.0,0.0,,POLICE STATION 35 MORRELL STREET,New Jersey,Union,Elizabeth,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-01,[ 40.662047 -74.208478],"{'Commercial and Services': 0.07, 'Residential': 0.93}"
