State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,1,1,11101,2,42.64851,-73.775963,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,45,74,N,45,61,0,0,,,Certification not required,0,45.622222,16.30294,80.0,1980-06-26 00:00,75.0,1980-03-04 00:00,75.0,1980-08-01 00:00,73.0,1980-07-20 00:00,,,,,80.0,80.0,75.0,71.0,55.0,46.0,24.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12103,1,42.64851,-73.775963,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-20,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12105,1,42.64851,-73.775963,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.040385,0.105166,0.44,1980-08-19 00:00,0.23,1980-12-29 00:00,0.2,1980-03-28 00:00,0.18,1980-03-04 00:00,,,,,0.44,0.44,0.23,0.2,0.0,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-20,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12107,1,42.64851,-73.775963,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,25,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2016-04-01,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12110,1,42.64851,-73.775963,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.000654,0.000977,0.003,1980-02-09 00:00,0.003,1980-05-03 00:00,0.003,1980-07-02 00:00,0.001,1980-01-16 00:00,,,,,0.003,0.003,0.003,0.003,0.001,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-24,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12112,1,42.64851,-73.775963,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,8,13,N,8,61,0,0,,,Certification not required,0,0.00675,0.004559,0.018,1980-08-07 00:00,0.006,1980-08-19 00:00,0.005,1980-05-15 00:00,0.005,1980-07-02 00:00,,,,,0.018,0.018,0.018,0.018,0.006,0.005,0.005,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12112,3,42.64851,-73.775963,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.003412,0.005277,0.0138,1980-12-05 00:00,0.0129,1980-12-29 00:00,0.0109,1980-03-28 00:00,0.0108,1980-03-04 00:00,,,,,0.0138,0.0138,0.0129,0.0109,0.0099,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-21,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12113,1,42.64851,-73.775963,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,8,13,N,8,61,0,0,,,Certification not required,0,0.002,0.0,0.002,1980-05-15 00:00,0.002,1980-07-02 00:00,0.002,1980-07-26 00:00,0.002,1980-08-07 00:00,,,,,0.002,0.002,0.002,0.002,0.002,0.002,0.002,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-21,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12113,3,42.64851,-73.775963,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.000104,0.000367,0.0014,1980-03-04 00:00,0.0013,1980-12-17 00:00,0.0,1980-01-16 00:00,0.0,1980-01-28 00:00,,,,,0.0014,0.0014,0.0013,0.0,0.0,0.0,0.0,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2012-09-21,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
36,1,1,12114,1,42.64851,-73.775963,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,26,43,N,26,61,0,0,,,Certification not required,0,0.063462,0.025838,0.119,1980-07-26 00:00,0.105,1980-08-19 00:00,0.103,1980-04-09 00:00,0.092,1980-08-07 00:00,,,,,0.119,0.119,0.105,0.103,0.078,0.065,0.024,,84 HOLLAND AVENUE,New York,Albany,Albany,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}"
