State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,7,3,11101,1,42.112298,-75.884917,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,50.482143,20.09341,127.0,1980-03-04 00:00,92.0,1980-01-16 00:00,85.0,1980-08-01 00:00,82.0,1980-02-21 00:00,,,,,127.0,92.0,85.0,75.0,61.0,48.0,28.0,,NORTH HIGH SCHOOL,New York,Broome,Binghamton,"Binghamton, NY",2010-04-25,[ 42.112298 -75.884917],"{'Residential': 0.98, 'Transportation, communications and services': 0.02}"
36,7,5,11101,1,42.105354,-75.92603,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,57.981132,20.141319,115.0,1980-03-04 00:00,98.0,1980-01-16 00:00,93.0,1980-07-20 00:00,91.0,1980-02-09 00:00,,,,,115.0,98.0,93.0,88.0,69.0,57.0,33.0,,187 CLINTON STREET,New York,Broome,Binghamton,"Binghamton, NY",2010-04-25,[ 42.105354 -75.92603 ],"{'Commercial and Services': 0.36, 'Residential': 0.64}"
36,7,7,11101,1,42.099798,-75.89325,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,31,51,N,31,61,0,0,,,Certification not required,0,47.322581,17.965499,93.0,1980-08-01 00:00,83.0,1980-07-20 00:00,75.0,1980-09-30 00:00,74.0,1980-06-26 00:00,,,,,93.0,93.0,83.0,74.0,58.0,42.0,26.0,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2010-04-25,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42101,1,42.099798,-75.89325,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8175,93,Y,352,366,0,0,0.0,0.0,Certification not required,0,0.643511,0.481278,7.6,1980-03-08 19:00,7.3,1980-03-08 18:00,6.5,1980-12-28 22:00,6.1,1980-12-07 23:00,,,,,2.5,2.0,1.4,1.1,0.7,0.5,0.3,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-04-19,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42101,1,42.099798,-75.89325,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8115,92,Y,322,366,0,0,0.0,0.0,Certification not required,0,0.650376,0.37584,4.8,1980-12-29 02:00,4.5,1980-03-08 20:00,4.5,1980-12-29 01:00,4.5,1980-12-29 03:00,4.8,1980-12-29 02:00,4.5,1980-03-08 20:00,2.0,1.7,1.3,1.0,0.8,0.6,0.3,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-04-19,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42401,2,42.099798,-75.89325,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8119,92,Y,351,366,0,0,12.0,,Certification not required,0,28.763533,21.526022,140.0,1980-05-24 12:00,129.0,1980-01-16 09:00,126.0,1980-07-04 09:00,118.0,1980-06-22 10:00,,,,,118.0,88.0,66.0,54.0,39.0,22.0,8.0,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2013-02-16,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42401,2,42.099798,-75.89325,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8119,92,Y,351,366,0,0,,,Certification not required,0,9.605986,10.577816,140.0,1980-05-24 12:00,129.0,1980-01-16 09:00,126.0,1980-07-04 09:00,124.0,1980-07-04 03:00,,,,,50.0,41.0,30.0,21.0,12.0,6.0,2.0,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2013-02-16,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42401,2,42.099798,-75.89325,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,351,96,Y,351,366,0,0,0.0,,Certification not required,0,9.618234,5.851648,30.7,1980-07-04 00:00,30.6,1980-12-24 00:00,30.2,1980-12-27 00:00,30.0,1980-11-21 00:00,,,,,30.0,26.2,21.9,17.6,12.7,8.1,3.5,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2013-02-16,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,42401,2,42.099798,-75.89325,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2583,88,Y,333,366,0,0,,0.0,Certification not required,0,9.513976,9.160764,77.3,1980-08-24 11:00,73.0,1980-07-04 05:00,66.6,1980-07-04 08:00,66.3,1980-05-24 14:00,,,,,45.6,36.3,27.6,20.6,12.6,6.6,2.0,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2013-02-16,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,44201,1,42.099798,-75.89325,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7765,89,Y,191,214,0,0,0.0,0.0,Certification not required,0,0.053288,0.020337,0.109,1980-09-13 21:00,0.107,1980-07-20 21:00,0.104,1980-06-25 12:00,0.104,1980-08-27 12:00,,,,,0.107,0.104,0.091,0.08,0.067,0.052,0.036,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-08-18,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,44201,1,42.099798,-75.89325,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7700,84,Y,180,214,0,0,7.0,7.0,Certification not required,0,0.045783,0.018462,0.096,1980-07-20 15:00,0.094,1980-09-13 15:00,0.09,1980-05-30 12:00,0.09,1980-07-26 11:00,,,,,0.094,0.09,0.078,0.07,0.059,0.046,0.031,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-08-18,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,44201,1,42.099798,-75.89325,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7700,84,Y,180,214,0,0,11.0,11.0,Certification not required,0,0.045783,0.018462,0.096,1980-07-20 15:00,0.094,1980-09-13 15:00,0.09,1980-05-30 12:00,0.09,1980-07-26 11:00,,,,,0.094,0.09,0.078,0.07,0.059,0.046,0.031,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-08-18,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
36,7,7,44201,1,42.099798,-75.89325,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5521,84,Y,179,214,0,0,17.0,17.0,Certification not required,0,0.045235,0.018615,0.096,1980-07-20 15:00,0.094,1980-09-13 15:00,0.09,1980-05-30 12:00,0.09,1980-07-26 11:00,,,,,0.094,0.09,0.078,0.07,0.058,0.045,0.03,,WEBSTER STREET WATER TREATMENT PLANT,New York,Broome,Binghamton,"Binghamton, NY",2016-08-18,[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}"
