State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,27,2,11101,1,41.943981,-73.900412,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,34.236364,14.712005,72.0,1980-12-23 00:00,71.0,1980-08-01 00:00,66.0,1980-07-20 00:00,62.0,1980-02-21 00:00,,,,,72.0,71.0,66.0,57.0,42.0,32.0,19.0,,"WATER TR. PLANT, RHINEBECK",New York,Dutchess,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.943981 -73.900412],"{'Commercial and Services': 0.009708737864077669, 'Cropland and pasture': 0.6796116504854369, 'Deciduous forest land': 0.3106796116504854}"
36,27,1002,11101,1,41.721482,-73.938193,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,56,92,Y,56,61,0,0,,,Certification not required,0,44.267857,16.878702,83.0,1980-11-23 00:00,81.0,1980-06-26 00:00,75.0,1980-07-20 00:00,74.0,1980-01-10 00:00,,,,,83.0,81.0,75.0,72.0,56.0,40.0,27.0,,"WATER WORKS, NORTH ROAD",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.721482 -73.938193],"{'Streams and canals': 0.61, 'Industrial': 0.3, 'Deciduous forest land': 0.09}"
36,27,1002,12306,1,41.721482,-73.938193,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,22,61,0,0,,,Certification not required,0,2.772727,1.354422,5.2,1980-02-27 00:00,5.2,1980-03-10 00:00,4.9,1980-01-22 00:00,4.8,1980-02-21 00:00,,,,,5.2,5.2,5.2,4.9,4.1,2.3,1.4,,"WATER WORKS, NORTH ROAD",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.721482 -73.938193],"{'Streams and canals': 0.61, 'Industrial': 0.3, 'Deciduous forest land': 0.09}"
36,27,1002,12403,1,41.721482,-73.938193,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,22,36,N,22,61,0,0,,,Certification not required,0,8.095455,2.91343,15.1,1980-02-21 00:00,14.9,1980-03-10 00:00,11.5,1980-04-27 00:00,10.4,1980-04-03 00:00,,,,,15.1,15.1,14.9,11.5,9.0,7.9,5.3,,"WATER WORKS, NORTH ROAD",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.721482 -73.938193],"{'Streams and canals': 0.61, 'Industrial': 0.3, 'Deciduous forest land': 0.09}"
36,27,1003,42101,1,41.703705,-73.935138,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8239,94,Y,355,366,0,0,0.0,0.0,Certification not required,0,1.030404,0.70728,9.7,1980-12-01 21:00,8.8,1980-12-01 20:00,7.8,1980-11-21 07:00,7.3,1980-02-20 07:00,,,,,3.7,3.1,2.3,1.8,1.2,0.9,0.4,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
36,27,1003,42101,1,41.703705,-73.935138,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8200,93,Y,321,366,0,0,0.0,0.0,Certification not required,0,1.035659,0.566611,5.7,1980-12-01 23:00,5.7,1980-12-02 00:00,5.6,1980-12-02 01:00,5.4,1980-12-01 22:00,5.7,1980-12-01 23:00,5.2,1980-12-24 00:00,3.1,2.7,2.1,1.7,1.2,0.9,0.5,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
36,27,1003,42401,2,41.703705,-73.935138,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7623,87,Y,325,366,0,0,32.0,,Certification not required,0,33.510769,33.498259,216.0,1980-12-23 13:00,210.0,1980-02-20 13:00,170.0,1980-12-02 13:00,147.0,1980-07-02 11:00,,,,,147.0,140.0,105.0,74.0,43.0,22.0,7.0,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
36,27,1003,42401,2,41.703705,-73.935138,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7623,87,Y,325,366,0,0,,,Certification not required,0,12.060606,14.924229,216.0,1980-12-23 13:00,210.0,1980-02-20 13:00,170.0,1980-12-02 13:00,147.0,1980-07-02 11:00,,,,,75.0,59.0,39.0,29.0,14.0,7.0,2.0,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
36,27,1003,42401,2,41.703705,-73.935138,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,325,89,Y,325,366,0,0,0.0,,Certification not required,0,12.021846,10.274044,62.7,1980-12-24 00:00,55.0,1980-02-20 00:00,52.8,1980-12-26 00:00,51.3,1980-12-22 00:00,,,,,51.3,48.4,30.6,24.7,15.1,8.8,2.7,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
36,27,1003,42401,2,41.703705,-73.935138,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2369,81,Y,296,366,0,0,,0.0,Certification not required,0,12.076108,13.710313,146.6,1980-02-20 14:00,140.0,1980-12-23 14:00,109.0,1980-10-16 14:00,96.6,1980-12-12 20:00,,,,,71.6,53.0,38.6,29.0,14.3,7.6,2.0,,"COLUMBUS SCHOOL, DELANO STREET",New York,Dutchess,Poughkeepsie,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.703705 -73.935138],"{'Commercial and Services': 0.12, 'Mixed urban or built-up land': 0.55, 'Industrial': 0.06, 'Deciduous forest land': 0.1, 'Transportation, communications and services': 0.17}"
