State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,29,2,11101,1,42.99328,-78.77153,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,58.698113,26.147205,120.0,1980-08-01 00:00,114.0,1980-01-10 00:00,108.0,1980-03-04 00:00,101.0,1980-12-23 00:00,,,,,120.0,114.0,108.0,95.0,76.0,56.0,27.0,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2010-04-25,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42101,1,42.99328,-78.77153,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8254,94,Y,351,366,0,0,0.0,0.0,Certification not required,0,0.82268,0.712528,13.5,1980-03-22 00:00,11.6,1980-02-07 09:00,9.7,1980-11-24 12:00,9.2,1980-09-18 12:00,,,,,3.7,2.9,2.1,1.5,1.0,0.6,0.3,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2016-04-19,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42101,1,42.99328,-78.77153,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8229,94,Y,332,366,0,0,0.0,0.0,Certification not required,0,0.828558,0.52053,5.8,1980-01-06 04:00,5.7,1980-01-06 05:00,5.4,1980-01-06 03:00,5.2,1980-01-06 06:00,5.8,1980-01-06 04:00,4.0,1980-12-28 03:00,2.8,2.4,1.8,1.5,1.0,0.7,0.3,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2016-04-19,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42401,1,42.99328,-78.77153,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8246,94,Y,355,366,0,0,16.0,,Certification not required,0,27.276056,23.086117,136.0,1980-01-26 22:00,130.0,1980-05-21 17:00,129.0,1980-11-21 09:00,128.0,1980-01-07 20:00,,,,,128.0,104.0,72.0,58.0,35.0,20.0,6.0,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2013-02-16,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42401,1,42.99328,-78.77153,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8246,94,Y,355,366,0,0,,,Certification not required,0,9.149163,11.626179,136.0,1980-01-26 22:00,130.0,1980-05-21 17:00,129.0,1980-11-21 09:00,128.0,1980-01-07 20:00,,,,,59.0,45.0,29.0,21.0,11.0,6.0,1.0,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2013-02-16,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42401,1,42.99328,-78.77153,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,355,97,Y,355,366,0,0,0.0,,Certification not required,0,9.129296,7.218854,47.4,1980-02-12 00:00,46.0,1980-01-26 00:00,41.2,1980-01-28 00:00,37.8,1980-02-08 00:00,,,,,37.8,28.0,22.5,18.3,11.6,7.3,2.2,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2013-02-16,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,42401,1,42.99328,-78.77153,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2610,89,Y,337,366,0,0,,0.0,Certification not required,0,9.114138,10.4767,106.3,1980-01-26 08:00,96.0,1980-02-12 02:00,94.6,1980-02-12 05:00,89.6,1980-01-07 23:00,,,,,51.3,42.6,27.0,20.3,12.0,6.0,1.0,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2013-02-16,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,44201,1,42.99328,-78.77153,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,5428,69,N,147,214,0,0,0.0,0.0,Certification not required,0,0.057687,0.018559,0.112,1980-05-09 15:00,0.11,1980-05-24 15:00,0.099,1980-06-25 14:00,0.098,1980-07-19 14:00,,,,,0.11,0.099,0.093,0.084,0.069,0.055,0.041,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2016-08-18,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,44201,1,42.99328,-78.77153,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,5448,65,N,139,214,0,0,3.0,3.0,Certification not required,0,0.047928,0.016221,0.091,1980-07-19 13:00,0.087,1980-07-27 11:00,0.086,1980-05-22 11:00,0.084,1980-06-23 11:00,,,,,0.087,0.086,0.079,0.073,0.059,0.046,0.034,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2016-08-18,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
36,29,2,44201,1,42.99328,-78.77153,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,5448,65,N,139,214,0,0,12.0,12.0,Certification not required,0,0.047928,0.016221,0.091,1980-07-19 13:00,0.087,1980-07-27 11:00,0.086,1980-05-22 11:00,0.084,1980-06-23 11:00,,,,,0.087,0.086,0.079,0.073,0.059,0.046,0.034,AMHERST,"AUDUBON GOLF COURSE, 450 MAPLE ROAD",New York,Erie,Amherst,"Buffalo-Cheektowaga-Niagara Falls, NY",2016-08-18,[ 42.99328 -78.77153],"{'Other urban or built-up land': 0.88, 'Residential': 0.07, 'Deciduous forest land': 0.05}"
