State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,45,1001,12103,1,44.100054,-76.366891,WGS84,Arsenic (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-05-15 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-20,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12105,1,44.100054,-76.366891,WGS84,Beryllium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Nanograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-05-15 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-20,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12107,1,44.100054,-76.366891,WGS84,Barium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-05-15 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2016-04-01,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12110,1,44.100054,-76.366891,WGS84,Cadmium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.000222,0.000441,0.001,1980-02-09 00:00,0.001,1980-03-04 00:00,0.0,1980-02-21 00:00,0.0,1980-05-15 00:00,,,,,0.001,0.001,0.001,0.001,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-24,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12112,2,44.100054,-76.366891,WGS84,Chromium (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.001078,0.003233,0.0097,1980-03-04 00:00,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-05-15 00:00,,,,,0.0097,0.0097,0.0097,0.0097,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-21,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12113,2,44.100054,-76.366891,WGS84,Cobalt (TSP) STP,24 HOUR,,Observed Values,HI-VOL - NEUTRON ACTIVATION ANALYZER,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.0,0.0,0.0,1980-02-09 00:00,0.0,1980-02-21 00:00,0.0,1980-03-04 00:00,0.0,1980-05-15 00:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-21,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12114,1,44.100054,-76.366891,WGS84,Copper (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.029,0.022192,0.078,1980-02-09 00:00,0.041,1980-02-21 00:00,0.033,1980-12-29 00:00,0.031,1980-05-15 00:00,,,,,0.078,0.078,0.078,0.078,0.033,0.027,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2016-04-01,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12126,1,44.100054,-76.366891,WGS84,Iron (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.1,0.147733,0.44,1980-03-04 00:00,0.17,1980-11-23 00:00,0.15,1980-05-15 00:00,0.14,1980-02-21 00:00,,,,,0.44,0.44,0.44,0.44,0.15,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2016-04-01,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12128,1,44.100054,-76.366891,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.034222,0.036959,0.093,1980-02-21 00:00,0.092,1980-03-04 00:00,0.047,1980-11-23 00:00,0.036,1980-12-29 00:00,,,,,0.093,0.093,0.093,0.093,0.047,0.025,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2013-06-29,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
36,45,1001,12132,1,44.100054,-76.366891,WGS84,Manganese (TSP) STP,24 HOUR,,Observed Values,HI-VOL - EMISSION SPECTRA ICAP,1980,Micrograms/cubic meter (25 C),No Events,9,15,N,9,61,0,0,,,Certification not required,0,0.007778,0.010929,0.03,1980-03-04 00:00,0.02,1980-11-23 00:00,0.01,1980-02-21 00:00,0.01,1980-05-15 00:00,,,,,0.03,0.03,0.03,0.03,0.01,0.0,0.0,,"TIBBETTS PT.LIGHT HSE.,USCG, CAPE VINCEN",New York,Jefferson,Not in a city,"Watertown-Fort Drum, NY",2012-09-25,[ 44.100054 -76.366891],"{'Bays and estuaries': 0.66, 'Cropland and pasture': 0.34}"
