State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,55,1,11101,1,43.123674,-77.564721,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,47.854545,22.20145,104.0,1980-08-01 00:00,99.0,1980-07-20 00:00,92.0,1980-07-14 00:00,85.0,1980-07-26 00:00,,,,,104.0,99.0,92.0,77.0,60.0,48.0,22.0,,"ELMWOOD AV., TWELVE CORNERS SCH.",New York,Monroe,Brighton (Town of),"Rochester, NY",2010-04-25,[ 43.123674 -77.564721],"{'Commercial and Services': 0.27, 'Residential': 0.23, 'Transportation, communications and services': 0.5}"
36,55,5,44201,1,43.073395,-77.710559,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7282,80,Y,172,214,0,0,1.0,1.0,Certification not required,0,0.049558,0.020582,0.149,1980-07-08 12:00,0.097,1980-08-26 18:00,0.096,1980-06-25 13:00,0.095,1980-08-27 13:00,,,,,0.097,0.095,0.089,0.08,0.062,0.048,0.038,,RT 383 NORTH OF NYS THRUWAY,New York,Monroe,Not in a city,"Rochester, NY",2016-08-18,[ 43.073395 -77.710559],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
36,55,5,44201,1,43.073395,-77.710559,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7213,75,Y,161,214,0,0,2.0,2.0,Certification not required,0,0.039963,0.01725,0.109,1980-07-08 11:00,0.087,1980-08-27 11:00,0.083,1980-06-24 12:00,0.081,1980-06-14 12:00,,,,,0.087,0.081,0.072,0.064,0.049,0.04,0.033,,RT 383 NORTH OF NYS THRUWAY,New York,Monroe,Not in a city,"Rochester, NY",2016-08-18,[ 43.073395 -77.710559],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
36,55,5,44201,1,43.073395,-77.710559,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7213,75,Y,161,214,0,0,6.0,6.0,Certification not required,0,0.039963,0.01725,0.109,1980-07-08 11:00,0.087,1980-08-27 11:00,0.083,1980-06-24 12:00,0.081,1980-06-14 12:00,,,,,0.087,0.081,0.072,0.064,0.049,0.04,0.033,,RT 383 NORTH OF NYS THRUWAY,New York,Monroe,Not in a city,"Rochester, NY",2016-08-18,[ 43.073395 -77.710559],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
36,55,5,44201,1,43.073395,-77.710559,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5147,74,N,158,214,0,0,11.0,11.0,Certification not required,0,0.039038,0.017662,0.109,1980-07-08 11:00,0.087,1980-08-27 11:00,0.083,1980-06-24 12:00,0.081,1980-06-14 12:00,,,,,0.087,0.081,0.074,0.064,0.049,0.039,0.032,,RT 383 NORTH OF NYS THRUWAY,New York,Monroe,Not in a city,"Rochester, NY",2016-08-18,[ 43.073395 -77.710559],"{'Cropland and pasture': 0.5, 'Transportation, communications and services': 0.5}"
36,55,8,11101,1,43.170062,-77.636391,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,53,87,Y,53,61,0,0,,,Certification not required,0,56.132075,24.222556,123.0,1980-08-01 00:00,107.0,1980-06-26 00:00,104.0,1980-05-09 00:00,95.0,1980-05-21 00:00,,,,,123.0,107.0,104.0,86.0,76.0,52.0,28.0,,"JEFFERSON SR.HIGH, EDGERTON PARK",New York,Monroe,Rochester,"Rochester, NY",2010-04-25,[ 43.170062 -77.636391],"{'Commercial and Services': 0.26, 'Residential': 0.44, 'Other urban or built-up land': 0.3}"
36,55,13,42401,1,43.168395,-77.640281,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,4776,54,N,210,366,0,0,57.0,,Certification not required,0,55.266667,49.910497,324.0,1980-09-19 13:00,225.0,1980-07-14 16:00,221.0,1980-08-18 14:00,216.0,1980-08-21 20:00,,,,,221.0,190.0,155.0,120.0,82.0,40.0,12.0,,"OTIS SCHOOL, 36 OTIS STREET",New York,Monroe,Rochester,"Rochester, NY",2013-02-16,[ 43.168395 -77.640281],"{'Commercial and Services': 0.33, 'Residential': 0.6, 'Industrial': 0.01, 'Other urban or built-up land': 0.06}"
36,55,13,42401,1,43.168395,-77.640281,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,4776,54,N,210,366,0,0,,,Certification not required,0,13.366625,20.167804,324.0,1980-09-19 13:00,225.0,1980-07-14 16:00,221.0,1980-08-18 14:00,216.0,1980-08-21 20:00,,,,,98.0,77.0,48.0,29.0,14.0,7.0,2.0,,"OTIS SCHOOL, 36 OTIS STREET",New York,Monroe,Rochester,"Rochester, NY",2013-02-16,[ 43.168395 -77.640281],"{'Commercial and Services': 0.33, 'Residential': 0.6, 'Industrial': 0.01, 'Other urban or built-up land': 0.06}"
36,55,13,42401,1,43.168395,-77.640281,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,210,57,N,210,366,0,0,0.0,,Certification not required,0,13.518571,9.465459,59.6,1980-09-19 00:00,50.9,1980-11-27 00:00,50.5,1980-06-24 00:00,41.1,1980-11-17 00:00,,,,,50.5,39.5,32.7,23.8,17.0,11.2,4.2,,"OTIS SCHOOL, 36 OTIS STREET",New York,Monroe,Rochester,"Rochester, NY",2013-02-16,[ 43.168395 -77.640281],"{'Commercial and Services': 0.33, 'Residential': 0.6, 'Industrial': 0.01, 'Other urban or built-up land': 0.06}"
36,55,13,42401,1,43.168395,-77.640281,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,1460,50,N,177,366,0,0,,0.0,Certification not required,0,13.47637,16.826992,179.3,1980-09-19 14:00,167.3,1980-07-14 17:00,157.0,1980-08-21 20:00,134.3,1980-09-19 11:00,,,,,81.6,60.6,45.0,29.3,15.6,8.3,2.0,,"OTIS SCHOOL, 36 OTIS STREET",New York,Monroe,Rochester,"Rochester, NY",2013-02-16,[ 43.168395 -77.640281],"{'Commercial and Services': 0.33, 'Residential': 0.6, 'Industrial': 0.01, 'Other urban or built-up land': 0.06}"
