State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,59,1,42401,1,40.638159,-73.614851,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7767,88,N,319,366,0,0,5.0,,Certification not required,0,21.210031,17.787082,120.0,1980-02-20 05:00,98.0,1980-02-11 08:00,92.0,1980-02-21 09:00,84.0,1980-11-21 09:00,,,,,84.0,72.0,56.0,45.0,28.0,16.0,5.0,,"LILCO,BALDWIN HARBOR",New York,Nassau,Baldwin,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.638159 -73.614851],"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.970873786407767}"
36,59,1,42401,1,40.638159,-73.614851,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7767,88,N,319,366,0,0,,,Certification not required,0,7.97631,10.350835,120.0,1980-02-20 05:00,105.0,1980-02-20 06:00,98.0,1980-02-11 08:00,95.0,1980-02-20 08:00,,,,,49.0,41.0,28.0,20.0,10.0,4.0,1.0,,"LILCO,BALDWIN HARBOR",New York,Nassau,Baldwin,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.638159 -73.614851],"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.970873786407767}"
36,59,1,42401,1,40.638159,-73.614851,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,319,87,N,319,366,0,0,0.0,,Certification not required,0,8.002194,7.754907,48.2,1980-02-20 00:00,39.7,1980-12-24 00:00,38.3,1980-02-14 00:00,37.0,1980-01-09 00:00,,,,,37.0,33.6,26.8,16.3,10.1,5.7,1.7,,"LILCO,BALDWIN HARBOR",New York,Nassau,Baldwin,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.638159 -73.614851],"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.970873786407767}"
36,59,1,42401,1,40.638159,-73.614851,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2548,87,N,316,366,0,0,,0.0,Certification not required,0,7.914521,9.733425,95.3,1980-02-20 08:00,80.0,1980-02-20 05:00,75.0,1980-02-11 08:00,74.6,1980-12-24 11:00,,,,,46.0,39.3,27.0,19.0,10.0,4.3,1.0,,"LILCO,BALDWIN HARBOR",New York,Nassau,Baldwin,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.638159 -73.614851],"{'Commercial and Services': 0.02912621359223301, 'Residential': 0.970873786407767}"
36,59,3,11101,1,40.652221,-73.593167,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,2,3,N,2,61,0,0,,,Certification not required,0,45.5,4.949747,49.0,1980-01-22 00:00,42.0,1980-01-04 00:00,,,,,,,,,49.0,49.0,49.0,49.0,49.0,49.0,42.0,,"LYDIA HALL HOSPITAL,MERRICK RD.& BAYVIEW",New York,Nassau,Freeport,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.652221 -73.593167],"{'Commercial and Services': 0.34, 'Residential': 0.66}"
36,59,5,11101,1,40.74316,-73.58549,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,58.840909,37.600682,187.0,1980-03-04 00:00,165.0,1980-09-12 00:00,151.0,1980-06-02 00:00,140.0,1980-06-26 00:00,,,,,187.0,187.0,151.0,86.0,72.0,50.0,26.0,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
36,59,5,12306,1,40.74316,-73.58549,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,3.831818,1.665627,7.3,1980-09-06 00:00,7.3,1980-09-12 00:00,7.1,1980-07-02 00:00,6.7,1980-06-02 00:00,,,,,7.3,7.3,7.1,6.0,4.9,3.9,1.7,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
36,59,5,12403,1,40.74316,-73.58549,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,7.954545,3.057393,17.2,1980-07-02 00:00,15.7,1980-06-02 00:00,13.7,1980-12-23 00:00,11.8,1980-02-21 00:00,,,,,17.2,17.2,13.7,11.4,9.5,7.7,4.8,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
36,59,5,42101,1,40.74316,-73.58549,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8106,92,Y,351,366,0,0,0.0,0.0,Certification not required,0,1.315273,1.230543,18.4,1980-05-15 13:00,18.3,1980-11-21 08:00,14.3,1980-02-20 22:00,14.2,1980-11-20 21:00,,,,,6.5,5.1,3.5,2.5,1.5,1.0,0.4,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
36,59,5,42101,1,40.74316,-73.58549,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8126,93,Y,327,366,0,0,6.0,6.0,Certification not required,0,1.324612,1.001304,10.5,1980-11-21 03:00,10.4,1980-11-21 04:00,10.2,1980-11-21 02:00,9.8,1980-11-21 08:00,10.5,1980-11-21 03:00,9.6,1980-11-21 09:00,5.5,4.5,3.2,2.3,1.6,1.1,0.5,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
36,59,5,42401,3,40.74316,-73.58549,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8129,93,Y,352,366,0,0,15.0,,Certification not required,0,26.914773,23.200197,180.0,1980-05-26 16:00,133.0,1980-12-24 10:00,124.0,1980-05-05 15:00,120.0,1980-12-27 13:00,,,,,120.0,105.0,71.0,56.0,33.0,20.0,8.0,EISENHOWER PARK,"EISENHOWER PARK,  740 MERRICK AV at OLD COUNTRY Rd",New York,Nassau,East Meadow,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.74316 -73.58549],"{'Commercial and Services': 0.305, 'Other urban or built-up land': 0.195, 'Transportation, communications and services': 0.5}"
