State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,61,2,11101,1,40.821768,-73.947638,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,71.44898,23.417463,128.0,1980-08-01 00:00,118.0,1980-07-02 00:00,116.0,1980-07-20 00:00,112.0,1980-08-19 00:00,,,,,128.0,128.0,116.0,105.0,85.0,70.0,40.0,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,12306,1,40.821768,-73.947638,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,5.738776,3.799442,15.2,1980-06-08 00:00,15.0,1980-08-19 00:00,14.2,1980-07-02 00:00,12.5,1980-08-01 00:00,,,,,15.2,15.2,14.2,11.8,8.3,3.9,1.9,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,12403,1,40.821768,-73.947638,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,N,49,61,0,0,,,Certification not required,0,12.293878,6.226603,31.9,1980-08-01 00:00,30.4,1980-07-20 00:00,27.8,1980-07-26 00:00,23.2,1980-08-19 00:00,,,,,31.9,31.9,27.8,22.7,13.8,11.0,6.7,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,42401,2,40.821768,-73.947638,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8357,95,Y,355,366,0,0,79.0,,Certification not required,0,53.938028,32.277252,244.0,1980-02-20 09:00,189.0,1980-01-11 08:00,184.0,1980-11-14 13:00,172.0,1980-11-21 08:00,,,,,172.0,128.0,114.0,98.0,71.0,46.0,21.0,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,42401,2,40.821768,-73.947638,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8357,95,Y,355,366,0,0,,,Certification not required,0,26.867297,21.462849,244.0,1980-02-20 09:00,212.0,1980-02-20 08:00,206.0,1980-02-20 07:00,189.0,1980-01-11 08:00,,,,,101.0,87.0,70.0,55.0,35.0,22.0,6.0,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,42401,2,40.821768,-73.947638,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,355,97,Y,355,366,0,0,0.0,,Certification not required,0,26.947324,16.727268,120.2,1980-02-20 00:00,94.6,1980-12-24 00:00,89.4,1980-11-23 00:00,79.3,1980-11-21 00:00,,,,,79.3,68.3,60.0,50.6,34.3,23.3,9.8,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,2,42401,2,40.821768,-73.947638,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2666,91,Y,342,366,0,0,,0.0,Certification not required,0,26.686759,20.237625,196.3,1980-02-20 08:00,147.6,1980-11-21 08:00,144.3,1980-12-07 20:00,143.0,1980-12-24 08:00,,,,,95.6,84.3,68.0,53.3,35.0,21.6,6.6,,"CCNY, CONVENT AV.& 141ST STREET",New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.821768 -73.947638],"{'Commercial and Services': 0.17355371900826447, 'Mixed urban or built-up land': 0.8264462809917356}"
36,61,5,11101,1,40.768157,-73.97125,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,51,84,Y,51,61,0,0,,,Certification not required,0,61.862745,22.210826,120.0,1980-08-01 00:00,118.0,1980-07-20 00:00,102.0,1980-07-02 00:00,101.0,1980-07-26 00:00,,,,,120.0,118.0,102.0,86.0,78.0,58.0,38.0,,CENTRAL PK ARSENAL BLDG 5TH AVE & 64TH S,New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.768157 -73.97125 ],"{'Commercial and Services': 0.25, 'Mixed urban or built-up land': 0.48, 'Other urban or built-up land': 0.27}"
36,61,5,42101,1,40.768157,-73.97125,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,7822,89,Y,325,366,0,0,0.0,0.0,Certification not required,0,1.268371,0.945615,8.6,1980-08-05 13:00,8.1,1980-03-17 09:00,7.4,1980-07-02 20:00,7.4,1980-07-04 23:00,,,,,4.8,4.0,3.0,2.4,1.7,1.0,0.4,,CENTRAL PK ARSENAL BLDG 5TH AVE & 64TH S,New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.768157 -73.97125 ],"{'Commercial and Services': 0.25, 'Mixed urban or built-up land': 0.48, 'Other urban or built-up land': 0.27}"
36,61,5,42101,1,40.768157,-73.97125,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,7683,87,Y,297,366,0,0,0.0,0.0,Certification not required,0,1.271443,0.774423,5.6,1980-03-08 20:00,5.6,1980-03-17 15:00,5.5,1980-03-17 14:00,5.4,1980-05-06 16:00,5.6,1980-03-08 20:00,5.6,1980-03-17 15:00,3.9,3.5,2.7,2.3,1.7,1.1,0.5,,CENTRAL PK ARSENAL BLDG 5TH AVE & 64TH S,New York,New York,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016-04-19,[ 40.768157 -73.97125 ],"{'Commercial and Services': 0.25, 'Mixed urban or built-up land': 0.48, 'Other urban or built-up land': 0.27}"
