State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,65,4,44201,2,43.30268,-75.71978,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7422,80,Y,172,214,0,0,0.0,0.0,Certification not required,0,0.055047,0.02472,0.124,1980-06-20 01:00,0.124,1980-06-25 14:00,0.12,1980-06-14 14:00,0.12,1980-06-24 17:00,,,,,0.124,0.12,0.102,0.09,0.068,0.055,0.04,CAMDEN,"STATE ROUTE 13, NEAR CAMDEN",New York,Oneida,Camden,"Utica-Rome, NY",2016-08-18,[ 43.30268 -75.71978],"{'Other agricultural land': 0.06875, 'Cropland and pasture': 0.30625, 'Mixed forest land': 0.625}"
36,65,4,44201,2,43.30268,-75.71978,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7314,74,N,158,214,0,0,11.0,11.0,Certification not required,0,0.047709,0.021452,0.109,1980-06-25 11:00,0.107,1980-06-24 11:00,0.102,1980-06-14 11:00,0.101,1980-05-30 11:00,,,,,0.107,0.101,0.089,0.078,0.06,0.048,0.036,CAMDEN,"STATE ROUTE 13, NEAR CAMDEN",New York,Oneida,Camden,"Utica-Rome, NY",2016-08-18,[ 43.30268 -75.71978],"{'Other agricultural land': 0.06875, 'Cropland and pasture': 0.30625, 'Mixed forest land': 0.625}"
36,65,4,44201,2,43.30268,-75.71978,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7314,75,Y,160,214,0,0,20.0,20.0,Certification not required,0,0.0481,0.021601,0.109,1980-06-25 11:00,0.107,1980-06-24 11:00,0.102,1980-06-14 11:00,0.101,1980-05-30 11:00,,,,,0.107,0.101,0.089,0.079,0.06,0.048,0.036,CAMDEN,"STATE ROUTE 13, NEAR CAMDEN",New York,Oneida,Camden,"Utica-Rome, NY",2016-08-18,[ 43.30268 -75.71978],"{'Other agricultural land': 0.06875, 'Cropland and pasture': 0.30625, 'Mixed forest land': 0.625}"
36,65,4,44201,2,43.30268,-75.71978,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5259,77,Y,164,214,0,0,26.0,26.0,Certification not required,0,0.046921,0.021368,0.109,1980-06-25 11:00,0.107,1980-06-24 11:00,0.102,1980-06-14 11:00,0.101,1980-05-30 11:00,,,,,0.107,0.101,0.086,0.077,0.059,0.048,0.035,CAMDEN,"STATE ROUTE 13, NEAR CAMDEN",New York,Oneida,Camden,"Utica-Rome, NY",2016-08-18,[ 43.30268 -75.71978],"{'Other agricultural land': 0.06875, 'Cropland and pasture': 0.30625, 'Mixed forest land': 0.625}"
36,65,6,11101,1,43.100903,-75.232942,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,44,72,N,44,61,0,0,,,Certification not required,0,55.477273,24.501057,140.0,1980-01-10 00:00,117.0,1980-01-16 00:00,94.0,1980-08-01 00:00,81.0,1980-03-10 00:00,,,,,140.0,140.0,94.0,81.0,68.0,55.0,25.0,,"CITY HALL,BROADWAY AND COURT STREET",New York,Oneida,Utica,"Utica-Rome, NY",2010-04-25,[ 43.100903 -75.232942],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
36,65,6,12306,1,43.100903,-75.232942,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,3.04,1.907223,7.2,1980-09-30 00:00,6.9,1980-12-23 00:00,5.9,1980-07-26 00:00,5.1,1980-08-19 00:00,,,,,7.2,7.2,6.9,5.9,4.4,2.3,1.1,,"CITY HALL,BROADWAY AND COURT STREET",New York,Oneida,Utica,"Utica-Rome, NY",2010-04-25,[ 43.100903 -75.232942],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
36,65,6,12403,1,43.100903,-75.232942,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,25,41,N,25,61,0,0,,,Certification not required,0,8.332,3.873599,18.7,1980-07-20 00:00,14.2,1980-08-31 00:00,13.5,1980-08-19 00:00,12.8,1980-09-30 00:00,,,,,18.7,18.7,14.2,13.5,10.4,7.8,4.0,,"CITY HALL,BROADWAY AND COURT STREET",New York,Oneida,Utica,"Utica-Rome, NY",2010-04-25,[ 43.100903 -75.232942],"{'Commercial and Services': 0.75, 'Residential': 0.25}"
36,65,1001,11101,1,43.218126,-75.455175,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,47,77,Y,47,61,0,0,,,Certification not required,0,49.170213,21.696843,114.0,1980-01-16 00:00,107.0,1980-03-28 00:00,79.0,1980-04-03 00:00,78.0,1980-01-10 00:00,,,,,114.0,114.0,79.0,71.0,62.0,49.0,25.0,,"ROME POLICE BLDG., COURT & JAMES STREETS",New York,Oneida,Rome,"Utica-Rome, NY",2010-04-25,[ 43.218126 -75.455175],{'Residential': 1.0}
36,65,1001,12306,1,43.218126,-75.455175,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,4.6,0.0,4.6,1980-08-19 00:00,,,,,,,,,,,4.6,4.6,4.6,4.6,4.6,4.6,4.6,,"ROME POLICE BLDG., COURT & JAMES STREETS",New York,Oneida,Rome,"Utica-Rome, NY",2010-04-25,[ 43.218126 -75.455175],{'Residential': 1.0}
36,65,1001,12403,1,43.218126,-75.455175,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,1,2,N,1,61,0,0,,,Certification not required,0,14.1,0.0,14.1,1980-08-19 00:00,,,,,,,,,,,14.1,14.1,14.1,14.1,14.1,14.1,14.1,,"ROME POLICE BLDG., COURT & JAMES STREETS",New York,Oneida,Rome,"Utica-Rome, NY",2010-04-25,[ 43.218126 -75.455175],{'Residential': 1.0}
