State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,85,67,11101,1,40.59664,-74.12525,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,49,80,Y,49,61,0,0,,,Certification not required,0,52.122449,18.86093,102.0,1980-07-20 00:00,85.0,1980-08-07 00:00,84.0,1980-07-26 00:00,82.0,1980-08-01 00:00,,,,,102.0,102.0,84.0,80.0,62.0,48.0,30.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42401,2,40.59664,-74.12525,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7401,84,N,309,366,0,0,23.0,,Certification not required,0,37.365696,23.178281,171.0,1980-02-20 08:00,147.0,1980-11-21 06:00,132.0,1980-12-23 09:00,117.0,1980-12-24 10:00,,,,,117.0,94.0,79.0,66.0,48.0,33.0,14.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42401,2,40.59664,-74.12525,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7401,84,N,309,366,0,0,,,Certification not required,0,15.572355,15.561593,171.0,1980-02-20 08:00,147.0,1980-02-20 09:00,147.0,1980-11-21 06:00,132.0,1980-12-23 09:00,,,,,74.0,61.0,46.0,35.0,21.0,11.0,2.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42401,2,40.59664,-74.12525,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,309,84,N,309,366,0,0,0.0,,Certification not required,0,15.565049,11.584759,70.9,1980-12-23 00:00,68.9,1980-12-27 00:00,63.5,1980-12-24 00:00,56.1,1980-02-20 00:00,,,,,56.1,50.5,39.4,30.1,19.5,12.5,4.8,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42401,2,40.59664,-74.12525,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2324,79,N,288,366,0,0,,0.0,Certification not required,0,15.451721,14.622092,125.6,1980-12-23 11:00,115.6,1980-02-20 11:00,114.0,1980-02-20 08:00,107.3,1980-12-27 08:00,,,,,71.6,56.3,43.6,33.6,21.3,11.0,2.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42601,1,40.59664,-74.12525,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2222,25,N,88,366,0,0,,,Certification not required,0,9.617012,22.578943,680.0,1980-09-03 07:00,273.0,1980-09-03 08:00,252.0,1980-09-03 06:00,246.0,1980-06-06 07:00,,,,,79.0,61.0,40.0,21.0,10.0,4.0,0.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42602,1,40.59664,-74.12525,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3141,36,N,132,366,0,0,2.0,,Certification not required,0,49.75,18.503713,102.0,1980-06-23 10:00,90.0,1980-08-26 02:00,89.0,1980-05-23 09:00,87.0,1980-07-03 00:00,,,,,102.0,90.0,84.0,71.0,62.0,50.0,20.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-05-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42602,1,40.59664,-74.12525,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,3141,36,N,132,366,0,0,,,Certification not required,0,25.269978,16.399521,112.0,1980-07-02 18:00,105.0,1980-07-02 17:00,102.0,1980-06-23 10:00,93.0,1980-07-02 21:00,,,,,72.0,65.0,57.0,49.0,36.0,20.0,8.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2013-05-16,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,42603,1,40.59664,-74.12525,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2215,25,N,91,366,0,0,,,Certification not required,0,32.242889,32.064745,698.0,1980-09-03 07:00,306.0,1980-06-06 07:00,279.0,1980-09-03 08:00,247.0,1980-09-03 06:00,,,,,128.0,113.0,89.0,67.0,42.0,23.0,8.0,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
36,85,67,44201,1,40.59664,-74.12525,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,5558,96,Y,206,214,0,0,8.0,8.0,Certification not required,0,0.061369,0.032028,0.174,1980-08-28 18:00,0.152,1980-07-18 16:00,0.14,1980-07-26 11:00,0.131,1980-09-01 16:00,,,,,0.14,0.13,0.121,0.115,0.081,0.053,0.031,SUSAN WAGNER HS,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.59664 -74.12525],"{'Commercial and Services': 0.31, 'Residential': 0.25, 'Deciduous forest land': 0.44}"
