State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,93,2,11101,1,42.825633,-73.92679,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,70.017241,34.269055,195.0,1980-05-21 00:00,157.0,1980-05-27 00:00,132.0,1980-03-04 00:00,117.0,1980-02-15 00:00,,,,,195.0,157.0,132.0,108.0,87.0,69.0,31.0,,"CITY GARAGE, 1731 FOSTER AVE",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.825633 -73.92679 ],"{'Commercial and Services': 0.03, 'Residential': 0.67, 'Streams and canals': 0.01, 'Industrial': 0.29}"
36,93,2,12306,1,42.825633,-73.92679,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,33,54,N,33,61,0,0,,,Certification not required,0,3.315152,1.674836,6.9,1980-09-30 00:00,6.2,1980-07-26 00:00,6.2,1980-12-29 00:00,5.7,1980-08-31 00:00,,,,,6.9,6.9,6.2,5.7,4.4,3.2,1.4,,"CITY GARAGE, 1731 FOSTER AVE",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.825633 -73.92679 ],"{'Commercial and Services': 0.03, 'Residential': 0.67, 'Streams and canals': 0.01, 'Industrial': 0.29}"
36,93,2,12403,1,42.825633,-73.92679,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,33,54,N,33,61,0,0,,,Certification not required,0,10.548485,5.101784,24.2,1980-07-20 00:00,19.0,1980-06-26 00:00,18.8,1980-07-26 00:00,17.8,1980-08-31 00:00,,,,,24.2,24.2,19.0,17.8,15.3,8.2,5.8,,"CITY GARAGE, 1731 FOSTER AVE",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.825633 -73.92679 ],"{'Commercial and Services': 0.03, 'Residential': 0.67, 'Streams and canals': 0.01, 'Industrial': 0.29}"
36,93,3,11101,1,42.79901,-73.9389,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,52.1,20.129833,109.0,1980-08-01 00:00,109.0,1980-11-23 00:00,107.0,1980-12-23 00:00,98.0,1980-06-26 00:00,,,,,109.0,109.0,107.0,83.0,61.0,48.0,32.0,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2010-04-25,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42101,1,42.79901,-73.9389,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,1980,Parts per million,No Events,8152,93,Y,356,366,0,0,0.0,0.0,Certification not required,0,0.626153,0.814428,19.3,1980-11-20 19:00,18.6,1980-06-23 11:00,12.4,1980-11-20 20:00,11.6,1980-10-23 09:00,,,,,3.9,3.0,2.0,1.3,0.7,0.4,0.1,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2016-04-19,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42101,1,42.79901,-73.9389,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,8169,93,Y,322,366,0,0,3.0,3.0,Certification not required,0,0.631314,0.610449,10.3,1980-11-21 00:00,10.1,1980-11-20 23:00,9.8,1980-11-21 01:00,9.3,1980-11-20 22:00,10.3,1980-11-21 00:00,5.7,1980-11-20 19:00,3.0,2.5,1.7,1.2,0.7,0.5,0.2,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2016-04-19,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42401,3,42.79901,-73.9389,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8121,92,Y,350,366,0,0,3.0,,Certification not required,0,28.828571,15.362824,78.0,1980-01-08 05:00,78.0,1980-01-19 03:00,76.0,1980-02-04 19:00,72.0,1980-01-18 17:00,,,,,72.0,65.0,56.0,50.0,40.0,26.0,11.0,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2013-02-16,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42401,3,42.79901,-73.9389,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8121,92,Y,350,366,0,0,,,Certification not required,0,11.728605,10.448064,78.0,1980-01-08 05:00,78.0,1980-01-19 03:00,76.0,1980-02-04 19:00,72.0,1980-01-18 17:00,,,,,49.0,42.0,34.0,26.0,16.0,8.0,2.0,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2013-02-16,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42401,3,42.79901,-73.9389,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,350,96,Y,350,366,0,0,0.0,,Certification not required,0,11.814857,7.232425,45.3,1980-02-20 00:00,38.1,1980-01-18 00:00,38.1,1980-02-19 00:00,36.6,1980-01-19 00:00,,,,,36.6,31.7,26.6,22.1,15.7,9.9,4.5,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2013-02-16,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
36,93,3,42401,3,42.79901,-73.9389,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2568,88,Y,336,366,0,0,,0.0,Certification not required,0,11.708528,9.456524,70.0,1980-01-19 05:00,62.3,1980-01-18 20:00,60.6,1980-02-04 23:00,60.0,1980-08-29 20:00,,,,,42.6,38.6,31.0,24.6,15.6,9.0,3.0,SCHENECTADY,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady,"Albany-Schenectady-Troy, NY",2013-02-16,[ 42.79901 -73.9389 ],"{'Commercial and Services': 0.21, 'Residential': 0.57, 'Transportation, communications and services': 0.22}"
