State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,103,1,11101,1,40.745932,-73.419845,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,59,97,Y,59,61,0,0,,,Certification not required,0,62.033898,21.15213,115.0,1980-08-07 00:00,108.0,1980-07-26 00:00,104.0,1980-05-27 00:00,102.0,1980-08-01 00:00,,,,,115.0,108.0,104.0,96.0,74.0,59.0,39.0,,EAST FARMINGDALE WATER PLANT,New York,Suffolk,Babylon,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 40.745932 -73.419845],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,42401,2,40.74529,-73.41919,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8401,96,Y,362,366,0,0,6.0,,Certification not required,0,18.975138,15.992448,93.0,1980-01-01 16:00,90.0,1980-02-21 06:00,83.0,1980-02-20 08:00,81.0,1980-03-04 02:00,,,,,81.0,74.0,53.0,38.0,24.0,14.0,6.0,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,42401,2,40.74529,-73.41919,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8401,96,Y,362,366,0,0,,,Certification not required,0,7.920605,9.018553,93.0,1980-01-01 16:00,90.0,1980-02-21 06:00,90.0,1980-02-21 08:00,89.0,1980-02-21 07:00,,,,,47.0,35.0,25.0,17.0,10.0,5.0,1.0,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,42401,2,40.74529,-73.41919,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,362,99,Y,362,366,0,0,0.0,,Certification not required,0,7.959945,6.672993,47.0,1980-02-14 00:00,42.8,1980-02-20 00:00,41.2,1980-02-21 00:00,37.5,1980-03-04 00:00,,,,,37.5,28.0,20.3,15.1,9.7,6.4,2.3,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,42401,2,40.74529,-73.41919,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2683,92,Y,344,366,0,0,,0.0,Certification not required,0,7.826239,8.496831,89.6,1980-02-21 08:00,74.0,1980-02-20 08:00,71.3,1980-02-14 05:00,70.0,1980-01-18 14:00,,,,,42.0,34.6,23.6,17.0,9.3,5.3,1.3,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,44201,1,40.74529,-73.41919,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7895,93,Y,199,214,0,0,11.0,11.0,Certification not required,0,0.061372,0.034268,0.216,1980-08-28 15:00,0.166,1980-07-21 13:00,0.155,1980-08-08 15:00,0.146,1980-08-27 16:00,,,,,0.166,0.146,0.129,0.102,0.081,0.056,0.036,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,44201,1,40.74529,-73.41919,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7880,90,Y,192,214,0,0,23.0,23.0,Certification not required,0,0.049844,0.026553,0.141,1980-08-28 10:00,0.123,1980-08-08 12:00,0.121,1980-08-27 12:00,0.11,1980-07-21 11:00,,,,,0.123,0.11,0.096,0.086,0.067,0.047,0.03,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,44201,1,40.74529,-73.41919,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,7880,90,Y,192,214,0,0,34.0,34.0,Certification not required,0,0.049844,0.026553,0.141,1980-08-28 10:00,0.123,1980-08-08 12:00,0.121,1980-08-27 12:00,0.11,1980-07-21 11:00,,,,,0.123,0.11,0.096,0.086,0.067,0.047,0.03,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,2,44201,1,40.74529,-73.41919,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5633,89,Y,191,214,0,0,38.0,38.0,Certification not required,0,0.04867,0.0271,0.141,1980-08-28 10:00,0.123,1980-08-08 12:00,0.121,1980-08-27 12:00,0.11,1980-07-21 11:00,,,,,0.123,0.11,0.096,0.086,0.066,0.046,0.028,BABYLON,"EAST FARMINGDALE WATER DIST., 72 GAZZA BLVD.",New York,Suffolk,East Farmingdale,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 40.74529 -73.41919],"{'Industrial and commercial complexes': 0.5, 'Transportation, communications and services': 0.5}"
36,103,3,42401,1,40.941766,-73.055107,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7375,84,N,291,366,0,0,55.0,,Certification not required,0,39.357388,37.636686,190.0,1980-11-01 19:00,164.0,1980-01-12 13:00,164.0,1980-12-04 04:00,156.0,1980-12-14 19:00,,,,,164.0,148.0,110.0,91.0,61.0,25.0,5.0,,EASTSIDE BELLE TERRE BLVD,New York,Suffolk,Port Jefferson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.941766 -73.055107],"{'Commercial and Services': 0.24242424242424243, 'Residential': 0.7575757575757576}"
36,103,3,42401,1,40.941766,-73.055107,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - COULOMETRIC,1980,Parts per billion,No Events,7375,84,N,291,366,0,0,,,Certification not required,0,11.123254,17.341029,190.0,1980-11-01 19:00,164.0,1980-01-12 13:00,164.0,1980-12-04 04:00,156.0,1980-12-14 19:00,,,,,86.0,70.0,46.0,28.0,12.0,5.0,1.0,,EASTSIDE BELLE TERRE BLVD,New York,Suffolk,Port Jefferson,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 40.941766 -73.055107],"{'Commercial and Services': 0.24242424242424243, 'Residential': 0.7575757575757576}"
