State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,113,1,11101,1,43.306366,-73.64565,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,17,28,N,17,61,0,0,,,Certification not required,0,39.529412,15.560839,68.0,1980-02-21 00:00,61.0,1980-03-28 00:00,59.0,1980-03-04 00:00,58.0,1980-02-09 00:00,,,,,68.0,68.0,68.0,61.0,53.0,34.0,20.0,,"GLENS FALLS HOSPITAL,100 PARK STREET",New York,Warren,Glens Falls,"Glens Falls, NY",2010-04-25,[ 43.306366 -73.64565 ],"{'Commercial and Services': 0.6, 'Residential': 0.19, 'Streams and canals': 0.11, 'Other urban or built-up land': 0.1}"
36,113,3,11101,1,43.316739,-73.62345,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,49.683333,21.610961,97.0,1980-02-21 00:00,97.0,1980-12-23 00:00,96.0,1980-11-23 00:00,92.0,1980-06-26 00:00,,,,,97.0,97.0,96.0,79.0,65.0,47.0,25.0,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2010-04-25,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,42401,3,43.316739,-73.62345,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8280,94,Y,359,366,0,0,26.0,,Certification not required,0,32.785515,45.450584,596.0,1980-06-25 21:00,465.0,1980-06-26 18:00,181.0,1980-03-05 08:00,125.0,1980-02-19 04:00,,,,,125.0,104.0,88.0,67.0,40.0,24.0,5.0,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2013-02-16,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,42401,3,43.316739,-73.62345,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8280,94,Y,359,366,0,0,,,Certification not required,0,9.100845,15.28477,596.0,1980-06-25 21:00,465.0,1980-06-26 18:00,235.0,1980-06-26 16:00,230.0,1980-06-26 17:00,,,,,64.0,47.0,33.0,22.0,11.0,4.0,1.0,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2013-02-16,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,42401,3,43.316739,-73.62345,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,359,98,Y,359,366,0,0,0.0,,Certification not required,0,9.202507,8.686287,82.0,1980-06-26 00:00,56.6,1980-02-19 00:00,44.5,1980-12-24 00:00,39.3,1980-11-21 00:00,,,,,39.3,35.4,25.7,18.3,11.7,6.9,2.0,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2013-02-16,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,42401,3,43.316739,-73.62345,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2632,90,Y,341,366,0,0,,0.0,Certification not required,0,9.061056,12.757223,234.3,1980-06-25 23:00,187.3,1980-06-26 20:00,175.0,1980-06-26 17:00,98.6,1980-07-28 20:00,,,,,57.6,43.6,31.0,21.6,11.3,4.6,1.0,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2013-02-16,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,44201,1,43.316739,-73.62345,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8026,89,Y,191,214,0,0,0.0,0.0,Certification not required,0,0.048178,0.019669,0.106,1980-07-19 14:00,0.103,1980-09-20 15:00,0.1,1980-06-14 13:00,0.098,1980-08-05 17:00,,,,,0.103,0.098,0.09,0.077,0.059,0.045,0.036,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2016-08-18,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,44201,1,43.316739,-73.62345,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8038,85,Y,181,214,0,0,3.0,3.0,Certification not required,0,0.040044,0.016629,0.098,1980-07-19 13:00,0.093,1980-09-20 13:00,0.092,1980-06-14 11:00,0.08,1980-06-26 10:00,,,,,0.093,0.08,0.073,0.063,0.048,0.039,0.031,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2016-08-18,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,44201,1,43.316739,-73.62345,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8038,85,Y,182,214,0,0,8.0,8.0,Certification not required,0,0.040269,0.016859,0.098,1980-07-19 13:00,0.093,1980-09-20 13:00,0.092,1980-06-14 11:00,0.081,1980-06-19 17:00,,,,,0.093,0.081,0.074,0.064,0.048,0.039,0.031,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2016-08-18,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
36,113,3,44201,1,43.316739,-73.62345,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5765,89,Y,191,214,0,0,14.0,14.0,Certification not required,0,0.039916,0.017014,0.098,1980-07-19 13:00,0.093,1980-09-20 13:00,0.092,1980-06-14 11:00,0.081,1980-06-19 17:00,,,,,0.093,0.081,0.074,0.064,0.049,0.039,0.031,,"RADIO STATION WWSC, DIX AVENUE",New York,Warren,Glens Falls,"Glens Falls, NY",2016-08-18,[ 43.316739 -73.62345 ],"{'Residential': 0.58, 'Cropland and pasture': 0.42}"
