State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
36,119,5,11101,1,41.308983,-73.714298,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,54,89,Y,54,61,0,0,,,Certification not required,0,33.796296,16.515721,99.0,1980-08-01 00:00,74.0,1980-07-20 00:00,66.0,1980-07-02 00:00,55.0,1980-09-12 00:00,,,,,99.0,74.0,66.0,52.0,42.0,32.0,16.0,,"HIGH SHOOL PRIMROSE ST.,LINCOLNDALE",New York,Westchester,Not in a city,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.308983 -73.714298],"{'Commercial and Services': 0.25, 'Residential': 0.21, 'Deciduous forest land': 0.2, 'Cropland and pasture': 0.34}"
36,119,1401,11101,1,41.03093,-73.767077,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,55,90,Y,55,61,0,0,,,Certification not required,0,50.963636,19.500203,91.0,1980-08-01 00:00,90.0,1980-10-06 00:00,90.0,1980-12-23 00:00,87.0,1980-07-20 00:00,,,,,91.0,90.0,90.0,83.0,65.0,52.0,26.0,,COUNTY BUILDING 148 MARTINE AVENUE,New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.03093  -73.767077],"{'Mixed urban or built-up land': 0.99, 'Residential': 0.01}"
36,119,1401,12306,1,41.03093,-73.767077,WGS84,Nitrate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - REDUCTION-DIAZO COUPLING,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,5.225,3.040788,11.7,1980-07-02 00:00,9.4,1980-08-19 00:00,9.4,1980-09-12 00:00,8.9,1980-08-07 00:00,,,,,11.7,11.7,9.4,9.4,8.0,4.9,1.4,,COUNTY BUILDING 148 MARTINE AVENUE,New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.03093  -73.767077],"{'Mixed urban or built-up land': 0.99, 'Residential': 0.01}"
36,119,1401,12403,1,41.03093,-73.767077,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,28,46,N,28,61,0,0,,,Certification not required,0,12.114286,6.813261,29.7,1980-08-01 00:00,25.0,1980-07-26 00:00,24.7,1980-07-20 00:00,23.5,1980-08-07 00:00,,,,,29.7,29.7,25.0,24.7,14.8,10.1,6.0,,COUNTY BUILDING 148 MARTINE AVENUE,New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2010-04-25,[ 41.03093  -73.767077],"{'Mixed urban or built-up land': 0.99, 'Residential': 0.01}"
36,119,2004,42401,2,41.05192,-73.76366,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8195,93,Y,347,366,0,0,2.0,,Certification not required,0,18.538905,14.267493,86.0,1980-11-24 00:00,78.0,1980-12-24 13:00,75.0,1980-08-29 05:00,72.0,1980-02-08 06:00,,,,,72.0,60.0,46.0,39.0,24.0,15.0,5.0,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42401,2,41.05192,-73.76366,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,8195,93,Y,347,366,0,0,,,Certification not required,0,7.786211,8.138593,86.0,1980-11-24 00:00,78.0,1980-11-24 01:00,78.0,1980-12-24 13:00,75.0,1980-08-29 05:00,,,,,39.0,32.0,23.0,16.0,10.0,6.0,1.0,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42401,2,41.05192,-73.76366,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,347,95,Y,347,366,0,0,0.0,,Certification not required,0,7.756772,5.947733,42.8,1980-12-24 00:00,28.8,1980-08-29 00:00,27.7,1980-02-18 00:00,27.6,1980-02-14 00:00,,,,,27.6,25.7,19.7,15.2,10.5,6.4,1.7,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42401,2,41.05192,-73.76366,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2626,90,Y,336,366,0,0,,0.0,Certification not required,0,7.726352,7.619185,78.3,1980-11-24 02:00,70.3,1980-12-24 14:00,68.3,1980-12-24 17:00,61.3,1980-12-24 11:00,,,,,34.0,30.0,22.3,16.3,10.3,6.0,0.6,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-02-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42601,1,41.05192,-73.76366,WGS84,Nitric oxide (NO),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1528,23,N,61,274,0,0,,,Certification not required,0,5.13089,10.558963,110.0,1980-08-18 10:00,100.0,1980-08-14 10:00,92.0,1980-09-08 07:00,90.0,1980-08-18 09:00,,,,,56.0,35.0,22.0,14.0,5.0,2.0,0.0,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2011-01-15,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42602,1,41.05192,-73.76366,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1620,18,N,65,366,0,0,0.0,,Certification not required,0,43.646154,13.614596,70.0,1980-07-23 19:00,68.0,1980-08-15 00:00,67.0,1980-07-03 20:00,65.0,1980-07-02 10:00,,,,,75.0,70.0,67.0,61.0,52.0,45.0,24.0,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-05-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,42602,1,41.05192,-73.76366,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1620,18,N,65,366,0,0,,,Certification not required,0,21.819136,12.92746,75.0,1980-08-18 11:00,70.0,1980-07-23 19:00,70.0,1980-08-18 13:00,68.0,1980-08-15 00:00,,,,,59.0,53.0,47.0,40.0,30.0,20.0,7.0,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2013-05-16,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
36,119,2004,44201,1,41.05192,-73.76366,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,7906,93,Y,200,214,0,0,21.0,21.0,Certification not required,0,0.069175,0.035556,0.19,1980-06-24 13:00,0.166,1980-08-26 17:00,0.153,1980-05-24 16:00,0.152,1980-07-05 12:00,,,,,0.166,0.152,0.14,0.125,0.092,0.06,0.036,WHITE PLAINS,"WHITE PLAINS PUMP STATION,  240 ORCHARD STREET",New York,Westchester,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",2016-08-18,[ 41.05192 -73.76366],"{'Commercial and Services': 0.13157894736842105, 'Residential': 0.2982456140350877, 'Deciduous forest land': 0.4473684210526316, 'Reservoirs': 0.12280701754385964}"
