,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 30.555472 -87.713599],"{'Commercial and Services': 0.37, 'Residential': 0.43, 'Cropland and pasture': 0.2}",51.745098
1,Suspended particulate (TSP),[ 31.891272 -85.13521 ],"{'Commercial and Services': 0.25, 'Residential': 0.16, 'Reservoirs': 0.46, 'Mixed forest land': 0.13}",52.418605
2,Suspended particulate (TSP),[ 33.949542 -86.473042],"{'Commercial and Services': 0.7, 'Residential': 0.28, 'Other urban or built-up land': 0.01, 'Mixed forest land': 0.01}",51.5
3,Suspended particulate (TSP),[ 33.656771 -85.824409],"{'Commercial and Services': 0.3386243386243386, 'Residential': 0.5291005291005291, 'Industrial': 0.13227513227513227}",80.179487
4,Suspended particulate (TSP),[ 33.685659 -85.837744],"{'Residential': 0.6172839506172839, 'Industrial': 0.006172839506172839, 'Cropland and pasture': 0.3765432098765432}",59.172662
5,Suspended particulate (TSP),[ 32.83957  -86.628871],"{'Commercial and Services': 0.58, 'Residential': 0.32, 'Other urban or built-up land': 0.02, 'Cropland and pasture': 0.02, 'Mixed forest land': 0.06}",92.32
6,Suspended particulate (TSP),[ 32.209311 -88.051961],"{'Mixed urban or built-up land': 0.04375, 'Cropland and pasture': 0.33125, 'Mixed forest land': 0.625}",74.65957399999999
7,Suspended particulate (TSP),[ 34.720368 -87.819755],"{'Cropland and pasture': 0.69, 'Mixed forest land': 0.31}",42.098039
8,Suspended particulate (TSP),[ 34.761756 -87.639195],"{'Residential': 0.019230769230769232, 'Industrial': 0.028846153846153848, 'Cropland and pasture': 0.7211538461538461, 'Mixed forest land': 0.23076923076923078}",70.25
9,Suspended particulate (TSP),[ 34.716757 -87.881701],{'Cropland and pasture': 1.0},45.6
10,Suspended particulate (TSP),[ 34.689813 -87.849756],"{'Cropland and pasture': 0.33, 'Mixed forest land': 0.67}",39.166667
11,Suspended particulate (TSP),[ 34.735368 -87.875312],{'Cropland and pasture': 1.0},56.169014000000004
12,Suspended particulate (TSP),[ 34.762619 -87.638097],"{'Residential': 0.04672897196261682, 'Industrial': 0.009345794392523364, 'Cropland and pasture': 0.8037383177570093, 'Mixed forest land': 0.14018691588785046}",53.981481
13,Suspended particulate (TSP),[ 31.477664 -86.963307],{'Mixed forest land': 1.0},41.153846
14,Suspended particulate (TSP),[ 31.305727 -86.488569],"{'Commercial and Services': 0.0845771144278607, 'Residential': 0.3681592039800995, 'Mixed forest land': 0.5472636815920398}",52.842105000000004
15,Suspended particulate (TSP),[ 34.179266 -86.843612],"{'Commercial and Services': 0.43820224719101125, 'Residential': 0.5617977528089888}",49.480769
16,Suspended particulate (TSP),[ 32.408193 -87.017768],"{'Commercial and Services': 0.5588235294117647, 'Reservoirs': 0.19607843137254902, 'Cropland and pasture': 0.22549019607843138, 'Residential': 0.0196078431372549}",47.084746
