,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[  34.11303 -109.29344],"{'Residential': 0.83, 'Cropland and pasture': 0.17}",172.0
1,Suspended particulate (TSP),[  34.4225 -109.15  ],"{'Shrub-brushland rangeland': 0.49238578680203043, 'Mixed rangeland': 0.5076142131979695}",80.0
2,Suspended particulate (TSP),[  31.410556 -109.876111],"{'Commercial and Services': 0.02912621359223301, 'Shrub-brushland rangeland': 0.36893203883495146, 'Residential': 0.6019417475728155}",160.471698
3,Suspended particulate (TSP),[  31.365556 -109.583611],"{'Shrub-brushland rangeland': 0.9611650485436893, 'Mixed rangeland': 0.009708737864077669, 'Other agricultural land': 0.02912621359223301}",64.795918
4,Suspended particulate (TSP),[  31.374167 -109.734167],"{'Shrub-brushland rangeland': 0.17, 'Cropland and pasture': 0.16, 'Mixed rangeland': 0.67}",537.0408160000001
5,Suspended particulate (TSP),[  31.349733 -109.539695],"{'Commercial and Services': 0.31, 'Residential': 0.69}",44.1875
6,Suspended particulate (TSP),[  31.553333 -110.300278],"{'Commercial and Services': 0.43, 'Residential': 0.23, 'Other urban or built-up land': 0.28, 'Mixed rangeland': 0.03, 'Transitional areas': 0.03}",56.414634
7,Suspended particulate (TSP),[  35.198889 -111.646111],"{'Mixed urban or built-up land': 0.8, 'Residential': 0.2}",41.45
8,Suspended particulate (TSP),[  35.199179 -111.647939],"{'Mixed urban or built-up land': 0.79, 'Residential': 0.21}",38.697674
9,Suspended particulate (TSP),[  36.928056 -111.455556],"{'Mixed rangeland': 0.5882352941176471, 'Strip mines, quarries and gravel pits': 0.11764705882352941, 'Commercial and Services': 0.06470588235294118, 'Residential': 0.17058823529411765, 'Transportation, communications and services': 0.03529411764705882, 'Transitional areas': 0.023529411764705882}",26.877551
10,Suspended particulate (TSP),[  36.055261 -112.122113],"{'Commercial and Services': 0.0196078431372549, 'Evergreen forest land': 0.9803921568627451}",59.017543999999994
11,Suspended particulate (TSP),[  36.080539 -112.155726],"{'Shrub-brushland rangeland': 0.93, 'Evergreen forest land': 0.07}",75.60714300000001
12,Suspended particulate (TSP),[  33.028676 -110.809551],{'Shrub-brushland rangeland': 1.0},66.30508499999999
13,Suspended particulate (TSP),[  33.006179 -110.785797],"{'Shrub-brushland rangeland': 0.25, 'Industrial': 0.09, 'Residential': 0.66}",62.61016899999999
14,Suspended particulate (TSP),[  33.385278 -110.866389],{'Shrub-brushland rangeland': 1.0},46.915254
15,Suspended particulate (TSP),[  33.397555 -110.874001],"{'Commercial and Services': 0.09550561797752809, 'Shrub-brushland rangeland': 0.5617977528089888, 'Residential': 0.34269662921348315}",105.13793100000001
16,Suspended particulate (TSP),[  32.83388  -109.718611],"{'Commercial and Services': 0.31, 'Residential': 0.34, 'Industrial': 0.25, 'Cropland and pasture': 0.1}",65.55828199999999
17,Suspended particulate (TSP),[  33.010278 -109.363889],"{'Shrub-brushland rangeland': 0.7575757575757576, 'Industrial': 0.24242424242424243}",82.42857099999999
