,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[  37.535833 -121.961823],"{'Commercial and Services': 0.62, 'Residential': 0.35, 'Cropland and pasture': 0.03}",65.55
1,Suspended particulate (TSP),[  37.682708 -121.770231],"{'Commercial and Services': 0.77, 'Residential': 0.23}",188.272727
2,Suspended particulate (TSP),[  37.87687  -122.266913],"{'Commercial and Services': 0.32, 'Residential': 0.68}",98.442623
3,Suspended particulate (TSP),[  37.800484 -122.266358],{'Commercial and Services': 1.0},108.03333300000001
4,Suspended particulate (TSP),[  39.757371 -121.843286],"{'Commercial and Services': 0.37037037037037035, 'Residential': 0.5277777777777778, 'Transportation, communications and services': 0.10185185185185185}",89.80645200000001
5,Suspended particulate (TSP),[  39.733494 -121.8472  ],"{'Commercial and Services': 0.87, 'Residential': 0.13}",61.438596
6,Suspended particulate (TSP),[  39.512386 -121.555248],"{'Commercial and Services': 0.5490196078431373, 'Residential': 0.3333333333333333, 'Industrial': 0.058823529411764705, 'Other urban or built-up land': 0.049019607843137254, 'Herbaceous Rangeland': 0.00980392156862745}",52.59259300000001
7,Suspended particulate (TSP),[  37.886869 -122.027462],"{'Residential': 0.97, 'Evergreen forest land': 0.03}",195.53571399999998
8,Suspended particulate (TSP),[  37.936013 -122.026154],"{'Commercial and Services': 0.6, 'Residential': 0.4}",77.491228
9,Suspended particulate (TSP),[  37.949924 -122.357193],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.6176470588235294, 'Industrial': 0.3627450980392157}",100.540984
10,Suspended particulate (TSP),[  38.029258 -121.896866],"{'Residential': 0.17, 'Industrial': 0.46, 'Other urban or built-up land': 0.25, 'Nonforested wetland': 0.12}",85.807018
11,Suspended particulate (TSP),[  36.737172 -119.753754],"{'Commercial and Services': 0.63, 'Residential': 0.37}",73.65
