,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 41.180375 -73.19289 ],"{'Commercial and Services': 0.58, 'Residential': 0.28, 'Transportation, communications and services': 0.14}",61.147059
1,Suspended particulate (TSP),[ 41.030653 -73.593458],"{'Commercial and Services': 0.01, 'Residential': 0.53, 'Streams and canals': 0.43, 'Other urban or built-up land': 0.03}",56.913793000000005
2,Suspended particulate (TSP),[ 41.186764 -73.175945],"{'Residential': 0.56, 'Bays and estuaries': 0.01, 'Industrial': 0.43}",57.474576
3,Suspended particulate (TSP),[ 41.031486 -73.59707 ],"{'Residential': 0.53, 'Streams and canals': 0.35, 'Other urban or built-up land': 0.12}",55.706897
4,Suspended particulate (TSP),[ 41.399167 -73.443056],"{'Commercial and Services': 0.46, 'Residential': 0.46, 'Other urban or built-up land': 0.01, 'Transportation, communications and services': 0.07}",40.166667
5,Suspended particulate (TSP),[ 41.079541 -73.704852],"{'Deciduous forest land': 0.5423728813559322, 'Other urban or built-up land': 0.11864406779661017, 'Cropland and pasture': 0.1864406779661017, 'Residential': 0.025423728813559324, 'Transportation, communications and services': 0.1271186440677966}",59.358973999999996
6,Suspended particulate (TSP),[ 41.042875 -73.529011],"{'Commercial and Services': 0.19, 'Residential': 0.14, 'Streams and canals': 0.12, 'Industrial': 0.34, 'Other urban or built-up land': 0.21}",51.827586
7,Suspended particulate (TSP),[ 41.059541 -73.537067],"{'Commercial and Services': 0.69, 'Residential': 0.31}",70.475
8,Suspended particulate (TSP),[ 41.1125   -73.407222],"{'Industrial': 0.02, 'Mixed urban or built-up land': 0.32, 'Commercial and Services': 0.09, 'Residential': 0.28, 'Streams and canals': 0.22, 'Transportation, communications and services': 0.07}",54.706897
9,Suspended particulate (TSP),[ 41.197875 -73.132054],"{'Commercial and Services': 0.55, 'Residential': 0.39, 'Transportation, communications and services': 0.06}",48.474576
10,Suspended particulate (TSP),[ 41.586765 -72.799821],"{'Residential': 0.42, 'Deciduous forest land': 0.15, 'Cropland and pasture': 0.43}",67.181034
11,Suspended particulate (TSP),[ 41.998707 -72.571754],"{'Commercial and Services': 0.3411764705882353, 'Residential': 0.3764705882352941, 'Other urban or built-up land': 0.25882352941176473, 'Cropland and pasture': 0.011764705882352941, 'Mixed forest land': 0.011764705882352941}",60.442308
12,Suspended particulate (TSP),[ 41.673431 -72.947881],"{'Commercial and Services': 0.58, 'Residential': 0.42}",37.649122999999996
13,Suspended particulate (TSP),[ 41.761211 -72.678426],"{'Commercial and Services': 0.9, 'Residential': 0.07, 'Other urban or built-up land': 0.03}",57.798077
14,Suspended particulate (TSP),[ 41.764265 -72.93788 ],"{'Other agricultural land': 0.1076923076923077, 'Deciduous forest land': 0.7692307692307693, 'Residential': 0.12307692307692308}",54.913793000000005
15,Suspended particulate (TSP),[ 41.761489 -72.674259],"{'Commercial and Services': 0.84, 'Industrial': 0.12, 'Other urban or built-up land': 0.04}",51.127272999999995
16,Suspended particulate (TSP),[ 41.667599 -72.788986],"{'Residential': 0.5307692307692308, 'Industrial': 0.23846153846153847, 'Other urban or built-up land': 0.23076923076923078}",34.783333
17,Suspended particulate (TSP),[ 41.775932 -72.522864],{'Residential': 1.0},49.127272999999995
18,Suspended particulate (TSP),[ 41.800375 -73.116499],"{'Commercial and Services': 0.77, 'Residential': 0.22, 'Transportation, communications and services': 0.01}",54.474576
19,Suspended particulate (TSP),[ 41.672875 -73.142612],"{'Deciduous forest land': 0.8771929824561403, 'Reservoirs': 0.12280701754385964}",47.966667
20,Suspended particulate (TSP),[ 41.477043 -72.512866],"{'Residential': 0.23333333333333334, 'Deciduous forest land': 0.5916666666666667, 'Orchards, groves, vineyards, nurseries..': 0.16666666666666666, 'Cropland and pasture': 0.008333333333333333}",56.13559300000001
21,Suspended particulate (TSP),[ 41.560932 -72.647594],"{'Commercial and Services': 0.25555555555555554, 'Residential': 0.2222222222222222, 'Streams and canals': 0.03333333333333333, 'Transportation, communications and services': 0.4888888888888889}",64.193277
22,Suspended particulate (TSP),[ 41.551487 -72.790932],"{'Commercial and Services': 0.51, 'Residential': 0.36, 'Mixed urban or built-up land': 0.13}",62.754386
23,Suspended particulate (TSP),[ 41.310833 -72.916944],"{'Mixed urban or built-up land': 0.5904761904761905, 'Industrial': 0.047619047619047616, 'Transportation, communications and services': 0.24761904761904763, 'Residential': 0.11428571428571428}",50.338983
