,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 29.658023 -82.410107],"{'Commercial and Services': 0.49504950495049505, 'Residential': 0.19801980198019803, 'Evergreen forest land': 0.3069306930693069}",44.636364
1,Suspended particulate (TSP),[ 29.658023 -82.330383],"{'Commercial and Services': 0.5038167938931297, 'Residential': 0.48854961832061067, 'Other urban or built-up land': 0.007633587786259542}",26.692308
2,Suspended particulate (TSP),[ 30.155202 -85.614927],"{'Commercial and Services': 0.4, 'Residential': 0.6}",27.954545
3,Suspended particulate (TSP),[ 30.207145 -85.684373],"{'Residential': 0.26, 'Other urban or built-up land': 0.09, 'Transportation, communications and services': 0.65}",55.055556
4,Suspended particulate (TSP),[ 28.403615 -80.706164],"{'Commercial and Services': 0.11, 'Residential': 0.39, 'Orchards, groves, vineyards, nurseries..': 0.17, 'Evergreen forest land': 0.12, 'Transportation, communications and services': 0.21}",63.932203
5,Suspended particulate (TSP),[ 28.511389 -80.794499],"{'Commercial and Services': 0.36, 'Transportation, communications and services': 0.49, 'Evergreen forest land': 0.11, 'Herbaceous Rangeland': 0.04}",48.666667
6,Suspended particulate (TSP),[ 28.46889  -80.797555],{'Transitional areas': 1.0},87.70175400000001
7,Suspended particulate (TSP),[ 28.473057 -80.717831],"{'Bays and estuaries': 0.19, 'Forested wetland': 0.08, 'Orchards, groves, vineyards, nurseries..': 0.57, 'Herbaceous Rangeland': 0.16}",41.176471
8,Suspended particulate (TSP),[ 28.481946 -80.773943],"{'Residential': 0.58, 'Bays and estuaries': 0.12, 'Transportation, communications and services': 0.3}",61.7
9,Suspended particulate (TSP),[ 28.622774 -80.839221],"{'Residential': 0.34, 'Forested wetland': 0.04, 'Transportation, communications and services': 0.62}",67.17857099999999
10,Suspended particulate (TSP),[ 25.988147 -80.17838 ],"{'Commercial and Services': 0.01, 'Residential': 0.49, 'Transitional areas': 0.5}",67.537037
11,Suspended particulate (TSP),[ 26.059811 -80.20727 ],"{'Residential': 0.69, 'Cropland and pasture': 0.13, 'Evergreen forest land': 0.03, 'Strip mines, quarries and gravel pits': 0.15}",57.018181999999996
12,Suspended particulate (TSP),[ 26.073144 -80.16949 ],"{'Commercial and Services': 0.04, 'Residential': 0.66, 'Other urban or built-up land': 0.11, 'Transportation, communications and services': 0.19}",34.016949
13,Suspended particulate (TSP),[ 26.099809 -80.108655],"{'Commercial and Services': 0.05, 'Residential': 0.82, 'Null area -- no land use assigned': 0.13}",47.5
14,Suspended particulate (TSP),[ 26.083143 -80.237586],"{'Commercial and Services': 0.99, 'Cropland and pasture': 0.01}",57.78181800000001
15,Suspended particulate (TSP),[ 26.129531 -80.168379],"{'Commercial and Services': 0.037383177570093455, 'Residential': 0.9345794392523364, 'Other urban or built-up land': 0.028037383177570093}",49.403509
16,Suspended particulate (TSP),[ 26.103421 -80.148101],"{'Commercial and Services': 0.1, 'Residential': 0.9}",40.960784000000004
17,Suspended particulate (TSP),[ 26.200361 -80.254771],"{'Commercial and Services': 0.08928571428571429, 'Residential': 0.16964285714285715, 'Other urban or built-up land': 0.10714285714285714, 'Transitional areas': 0.6339285714285714}",53.12389399999999
18,Suspended particulate (TSP),[ 26.292025 -80.09647 ],"{'Commercial and Services': 0.52, 'Residential': 0.48}",47.669810999999996
19,Suspended particulate (TSP),[ 26.010924 -80.17838 ],"{'Commercial and Services': 0.19, 'Residential': 0.49, 'Other urban or built-up land': 0.19, 'Evergreen forest land': 0.13}",42.327273
20,Suspended particulate (TSP),[ 26.172029 -80.203658],"{'Commercial and Services': 0.07, 'Residential': 0.83, 'Other urban or built-up land': 0.1}",41.224138
21,Suspended particulate (TSP),[ 26.024257 -80.299216],"{'Transitional areas': 0.06, 'Cropland and pasture': 0.63, 'Herbaceous Rangeland': 0.19, 'Mixed rangeland': 0.12}",45.146341
22,Suspended particulate (TSP),[ 26.140642 -80.244215],"{'Commercial and Services': 0.09615384615384616, 'Residential': 0.9038461538461539}",35.166667
23,Suspended particulate (TSP),[ 26.243692 -80.120045],"{'Residential': 0.68, 'Transportation, communications and services': 0.09, 'Evergreen forest land': 0.23}",68.472727
24,Suspended particulate (TSP),[ 26.290636 -80.096433],"{'Commercial and Services': 0.55, 'Residential': 0.45}",39.933333000000005
25,Suspended particulate (TSP),[ 26.918395 -82.002866],"{'Shrub-brushland rangeland': 0.023529411764705882, 'Cropland and pasture': 0.2823529411764706, 'Transportation, communications and services': 0.15294117647058825, 'Evergreen forest land': 0.5411764705882353}",41.453704
26,Suspended particulate (TSP),[ 28.948866 -82.623714],"{'Cropland and pasture': 0.08, 'Evergreen forest land': 0.92}",38.966667
27,Suspended particulate (TSP),[ 28.980556 -82.644381],"{'Cropland and pasture': 0.71, 'Evergreen forest land': 0.16, 'Transitional areas': 0.13}",47.642857
28,Suspended particulate (TSP),[ 26.128425 -81.766754],"{'Commercial and Services': 0.15, 'Residential': 0.35, 'Cropland and pasture': 0.01, 'Transportation, communications and services': 0.19, 'Transitional areas': 0.3}",40.888889
29,Suspended particulate (TSP),[ 30.323562 -81.641507],"{'Commercial and Services': 0.22, 'Residential': 0.17, 'Streams and canals': 0.1, 'Industrial': 0.06, 'Transportation, communications and services': 0.45}",46.473684000000006
30,Suspended particulate (TSP),[ 30.309674 -81.652897],"{'Commercial and Services': 0.41, 'Residential': 0.54, 'Transportation, communications and services': 0.05}",48.196428999999995
31,Suspended particulate (TSP),[ 30.348017 -81.610649],"{'Commercial and Services': 0.27, 'Residential': 0.13, 'Streams and canals': 0.6}",37.375
32,Suspended particulate (TSP),[ 30.344118 -81.661508],"{'Commercial and Services': 0.21, 'Residential': 0.61, 'Other urban or built-up land': 0.18}",42.741378999999995
