,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 39.93449  -91.402372],"{'Commercial and Services': 0.9, 'Residential': 0.1}",73.035714
1,Suspended particulate (TSP),[ 41.328369 -89.295088],"{'Residential': 0.34, 'Industrial': 0.34, 'Deciduous forest land': 0.24, 'Cropland and pasture': 0.08}",68.75
2,Suspended particulate (TSP),[ 40.085309 -88.24116 ],"{'Commercial and Services': 0.4, 'Cropland and pasture': 0.49, 'Orchards, groves, vineyards, nurseries..': 0.11}",82.073171
3,Suspended particulate (TSP),[ 41.955865 -87.669223],"{'Commercial and Services': 0.1, 'Residential': 0.9}",66.8
4,Suspended particulate (TSP),[ 41.689756 -87.635604],"{'Commercial and Services': 0.014778325123152709, 'Residential': 0.49261083743842365, 'Transportation, communications and services': 0.49261083743842365}",69.76785699999999
5,Suspended particulate (TSP),[ 41.904477 -87.637275],"{'Commercial and Services': 0.75, 'Residential': 0.25}",87.9
6,Suspended particulate (TSP),[ 41.746701 -87.650606],"{'Commercial and Services': 0.0196078431372549, 'Residential': 0.49019607843137253, 'Transportation, communications and services': 0.49019607843137253}",68.837209
7,Suspended particulate (TSP),[ 41.738091 -87.573103],"{'Commercial and Services': 0.61, 'Residential': 0.29, 'Transportation, communications and services': 0.1}",80.82
8,Suspended particulate (TSP),[ 41.652813 -87.602546],"{'Commercial and Services': 0.12, 'Residential': 0.18, 'Deciduous forest land': 0.2, 'Transportation, communications and services': 0.5}",75.034483
9,Suspended particulate (TSP),[ 41.780032 -87.776444],"{'Commercial and Services': 0.12663755458515283, 'Residential': 0.4366812227074236, 'Transportation, communications and services': 0.4366812227074236}",121.592593
10,Suspended particulate (TSP),[ 41.687165 -87.539315],"{'Commercial and Services': 0.2, 'Residential': 0.44, 'Industrial': 0.22, 'Cropland and pasture': 0.14}",73.677966
11,Suspended particulate (TSP),[ 41.915865 -87.699778],"{'Commercial and Services': 0.06976744186046512, 'Residential': 0.46511627906976744, 'Transportation, communications and services': 0.46511627906976744}",140.30508500000002
