,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 42.452017 -73.255089],"{'Commercial and Services': 0.8, 'Residential': 0.2}",46.827586
1,Suspended particulate (TSP),[ 42.449703 -73.224254],"{'Residential': 0.61, 'Forested wetland': 0.34, 'Industrial': 0.05}",68.842105
2,Suspended particulate (TSP),[ 41.636493 -70.932539],"{'Commercial and Services': 0.02, 'Residential': 0.88, 'Transitional areas': 0.01, 'Mixed urban or built-up land': 0.09}",53.053571
3,Suspended particulate (TSP),[ 41.927322 -71.278941],"{'Residential': 0.26, 'Deciduous forest land': 0.55, 'Cropland and pasture': 0.19}",53.448276
4,Suspended particulate (TSP),[ 41.70038  -71.151156],"{'Commercial and Services': 0.46, 'Residential': 0.12, 'Industrial': 0.35, 'Transportation, communications and services': 0.07}",47.779661
5,Suspended particulate (TSP),[ 41.905657 -71.092546],"{'Commercial and Services': 0.51, 'Residential': 0.49}",62.852233999999996
6,Suspended particulate (TSP),[ 42.708702 -71.148669],"{'Commercial and Services': 0.18, 'Residential': 0.05, 'Streams and canals': 0.02, 'Industrial': 0.25, 'Transportation, communications and services': 0.5}",70.789474
7,Suspended particulate (TSP),[ 42.778423 -71.077558],"{'Commercial and Services': 0.56, 'Residential': 0.32, 'Streams and canals': 0.03, 'Other urban or built-up land': 0.09}",49.384615000000004
8,Suspended particulate (TSP),[ 42.705084 -72.447588],"{'Residential': 0.77, 'Other urban or built-up land': 0.2, 'Cropland and pasture': 0.03}",71.952381
9,Suspended particulate (TSP),[ 42.098983 -72.587589],"{'Commercial and Services': 0.31, 'Residential': 0.22, 'Streams and canals': 0.14, 'Industrial': 0.04, 'Transportation, communications and services': 0.29}",68.886792
10,Suspended particulate (TSP),[ 42.150259 -72.615347],"{'Residential': 0.075, 'Forested wetland': 0.37, 'Transportation, communications and services': 0.5, 'Industrial': 0.055}",53.36666700000001
11,Suspended particulate (TSP),[ 42.199703 -72.60618 ],"{'Commercial and Services': 0.17, 'Residential': 0.66, 'Streams and canals': 0.02, 'Industrial': 0.15}",64.232558
12,Suspended particulate (TSP),[ 42.20537  -72.607312],"{'Commercial and Services': 0.67, 'Residential': 0.33}",53.666667000000004
13,Suspended particulate (TSP),[ 42.108983 -72.594811],"{'Commercial and Services': 0.75, 'Transportation, communications and services': 0.25}",35.877193
14,Suspended particulate (TSP),[ 42.104538 -72.580644],"{'Commercial and Services': 0.8053097345132744, 'Residential': 0.19469026548672566}",49.421053
15,Suspended particulate (TSP),[ 42.104816 -72.624256],"{'Residential': 0.23, 'Industrial': 0.71, 'Transportation, communications and services': 0.06}",84.545455
16,Suspended particulate (TSP),[ 42.645091 -71.302005],"{'Commercial and Services': 0.81, 'Residential': 0.11, 'Streams and canals': 0.08}",64.30555600000001
17,Suspended particulate (TSP),[ 42.416763 -71.110608],"{'Commercial and Services': 0.36, 'Residential': 0.14, 'Transportation, communications and services': 0.5}",52.47619
18,Suspended particulate (TSP),[ 42.375097 -71.124497],"{'Commercial and Services': 0.06, 'Residential': 0.39, 'Streams and canals': 0.05, 'Transportation, communications and services': 0.5}",64.0
19,Suspended particulate (TSP),[ 42.293985 -71.409783],"{'Commercial and Services': 0.285, 'Residential': 0.21, 'Deciduous forest land': 0.005, 'Transportation, communications and services': 0.5}",54.566667
20,Suspended particulate (TSP),[ 42.478984 -71.152832],"{'Commercial and Services': 0.25650557620817843, 'Residential': 0.37174721189591076, 'Transportation, communications and services': 0.37174721189591076}",58.13559300000001
21,Suspended particulate (TSP),[ 42.335251 -71.129742],"{'Residential': 0.5, 'Transportation, communications and services': 0.5}",47.733333
22,Suspended particulate (TSP),[ 42.27732 -71.237  ],"{'Commercial and Services': 0.18, 'Residential': 0.28, 'Deciduous forest land': 0.04, 'Transportation, communications and services': 0.5}",49.185185
23,Suspended particulate (TSP),[ 42.274821 -71.031994],"{'Commercial and Services': 0.53, 'Residential': 0.47}",79.74
