,Parameter Name,Site_keys,LU,ppm
0,Suspended particulate (TSP),[ 42.64851  -73.775963],"{'Commercial and Services': 0.375, 'Residential': 0.125, 'Transportation, communications and services': 0.5}",58.137255
1,Suspended particulate (TSP),[ 42.625913 -73.758454],"{'Streams and canals': 0.145, 'Industrial': 0.345, 'Transportation, communications and services': 0.51}",52.122448999999996
2,Suspended particulate (TSP),[ 42.64225 -73.75464],"{'Commercial and Services': 0.34806629834254144, 'Residential': 0.03867403314917127, 'Streams and canals': 0.06077348066298342, 'Transportation, communications and services': 0.5524861878453039}",48.56
3,Suspended particulate (TSP),[ 42.472582 -73.799012],"{'Residential': 0.81, 'Deciduous forest land': 0.12, 'Other urban or built-up land': 0.07}",45.5
4,Suspended particulate (TSP),[ 42.777578 -73.700674],"{'Residential': 0.1, 'Streams and canals': 0.24, 'Industrial': 0.14, 'Deciduous forest land': 0.52}",62.846154000000006
5,Suspended particulate (TSP),[ 42.11729  -77.948057],"{'Commercial and Services': 0.28, 'Residential': 0.61, 'Deciduous forest land': 0.11}",48.581818
6,Suspended particulate (TSP),[ 40.831767 -73.903748],"{'Residential': 0.5, 'Transportation, communications and services': 0.5}",49.529412
7,Suspended particulate (TSP),[ 40.876942 -73.840674],"{'Commercial and Services': 0.03, 'Residential': 0.97}",48.85
8,Suspended particulate (TSP),[ 42.112298 -75.884917],"{'Residential': 0.98, 'Transportation, communications and services': 0.02}",46.20339
9,Suspended particulate (TSP),[ 42.105354 -75.92603 ],"{'Commercial and Services': 0.36, 'Residential': 0.64}",63.0
10,Suspended particulate (TSP),[ 42.099798 -75.89325 ],"{'Commercial and Services': 0.07, 'Residential': 0.72, 'Streams and canals': 0.06, 'Industrial': 0.15}",50.625
11,Suspended particulate (TSP),[ 42.110908 -76.048257],"{'Commercial and Services': 0.16, 'Residential': 0.48, 'Industrial': 0.36}",61.54
12,Suspended particulate (TSP),[ 42.078408 -76.097704],"{'Streams and canals': 0.04, 'Transportation, communications and services': 0.94, 'Mixed forest land': 0.02}",58.840908999999996
13,Suspended particulate (TSP),[ 42.088121 -78.436409],"{'Residential': 0.58, 'Industrial': 0.37, 'Other urban or built-up land': 0.05}",62.033898
14,Suspended particulate (TSP),[ 42.935345 -76.569942],"{'Commercial and Services': 0.71, 'Residential': 0.15, 'Industrial': 0.14}",61.862745
15,Suspended particulate (TSP),[ 42.479224 -79.33421 ],"{'Commercial and Services': 0.28, 'Residential': 0.72}",44.189655
16,Suspended particulate (TSP),[ 42.494501 -79.316154],"{'Commercial and Services': 0.05, 'Residential': 0.73, 'Industrial': 0.07, 'Other urban or built-up land': 0.15}",53.833332999999996
17,Suspended particulate (TSP),[ 42.182406 -79.183197],"{'Deciduous forest land': 0.68, 'Cropland and pasture': 0.32}",42.444444
18,Suspended particulate (TSP),[ 42.095336 -79.236714],"{'Commercial and Services': 0.66, 'Residential': 0.14, 'Industrial': 0.2}",47.3
19,Suspended particulate (TSP),[ 42.115614 -79.219213],"{'Commercial and Services': 0.44, 'Residential': 0.37, 'Deciduous forest land': 0.08, 'Other urban or built-up land': 0.07, 'Cropland and pasture': 0.04}",71.44898
20,Suspended particulate (TSP),[ 42.565614 -79.167818],{'Bays and estuaries': 1.0},75.86956500000001
21,Suspended particulate (TSP),[ 42.090336 -79.244771],"{'Commercial and Services': 0.16, 'Residential': 0.7, 'Industrial': 0.14}",42.513514
22,Suspended particulate (TSP),[ 42.141464 -76.930517],"{'Commercial and Services': 0.58, 'Residential': 0.12, 'Other urban or built-up land': 0.12, 'Transportation, communications and services': 0.12, 'Mixed forest land': 0.06}",54.981131999999995
23,Suspended particulate (TSP),[ 42.079796 -76.805789],"{'Commercial and Services': 0.32, 'Residential': 0.68}",41.157895
24,Suspended particulate (TSP),[ 42.09063  -76.801345],"{'Commercial and Services': 0.84, 'Residential': 0.16}",41.166667
25,Suspended particulate (TSP),[ 42.123963 -76.825235],"{'Commercial and Services': 0.27, 'Residential': 0.59, 'Industrial': 0.14}",51.519231
26,Suspended particulate (TSP),[ 42.162575 -76.823846],"{'Commercial and Services': 0.38, 'Residential': 0.56, 'Transportation, communications and services': 0.06}",49.692308000000004
27,Suspended particulate (TSP),[ 42.316741 -75.770193],"{'Residential': 0.02, 'Cropland and pasture': 0.96, 'Mixed forest land': 0.02}",36.039215999999996
28,Suspended particulate (TSP),[ 44.695599 -73.45319 ],"{'Commercial and Services': 0.6, 'Residential': 0.33, 'Industrial': 0.02, 'Other urban or built-up land': 0.05}",42.54717
29,Suspended particulate (TSP),[ 42.13259 -73.88652],{'Residential': 1.0},52.98
30,Suspended particulate (TSP),[ 42.242137 -73.77807 ],"{'Deciduous forest land': 0.2, 'Other urban or built-up land': 0.23, 'Cropland and pasture': 0.56, 'Residential': 0.01}",34.681818
