State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,11,1,42602,1,40.511111,-75.786111,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2944,34,N,120,366,0,0,4.0,,Certification not required,0,40.166667,18.815483,111.0,1980-06-14 20:00,109.0,1980-09-21 06:00,107.0,1980-06-15 14:00,85.0,1980-09-19 20:00,,,,,111.0,109.0,70.0,63.0,50.0,38.0,17.0,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2013-05-16,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,42602,1,40.511111,-75.786111,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,2944,34,N,120,366,0,0,,,Certification not required,0,19.202106,16.041366,117.0,1980-09-12 20:00,111.0,1980-06-14 20:00,109.0,1980-09-21 06:00,107.0,1980-06-15 14:00,,,,,66.0,59.0,48.0,40.0,29.0,15.0,3.0,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2013-05-16,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,42603,1,40.511111,-75.786111,WGS84,Oxides of nitrogen (NOx),1 HOUR,,Observed Values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,1655,19,N,66,366,0,0,,,Certification not required,0,39.563142,44.348973,298.0,1980-11-20 20:00,289.0,1980-11-20 21:00,287.0,1980-11-20 19:00,278.0,1980-12-01 18:00,,,,,194.0,167.0,130.0,102.0,56.0,23.0,3.0,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2011-01-15,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,44201,1,40.511111,-75.786111,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,4209,56,N,120,214,0,0,19.0,19.0,Certification not required,0,0.07985,0.040271,0.178,1980-08-27 18:00,0.17,1980-07-16 14:00,0.155,1980-07-20 14:00,0.149,1980-07-15 19:00,,,,,0.17,0.155,0.148,0.136,0.111,0.074,0.029,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-08-18,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,44201,1,40.511111,-75.786111,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4181,53,N,113,214,0,0,45.0,45.0,Certification not required,0,0.070991,0.035964,0.154,1980-08-27 12:00,0.139,1980-07-16 10:00,0.136,1980-07-20 11:00,0.134,1980-08-28 10:00,,,,,0.139,0.136,0.13,0.12,0.096,0.07,0.027,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-08-18,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,44201,1,40.511111,-75.786111,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,4183,54,N,115,214,0,0,54.0,54.0,Certification not required,0,0.071113,0.035659,0.154,1980-08-27 12:00,0.139,1980-07-16 10:00,0.136,1980-07-20 11:00,0.134,1980-08-28 10:00,,,,,0.139,0.136,0.13,0.12,0.096,0.071,0.027,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-08-18,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,44201,1,40.511111,-75.786111,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,2993,56,N,119,214,0,0,59.0,59.0,Certification not required,0,0.070756,0.035009,0.154,1980-08-27 12:00,0.139,1980-07-16 10:00,0.136,1980-07-20 11:00,0.134,1980-08-28 10:00,,,,,0.139,0.136,0.13,0.12,0.096,0.07,0.027,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-08-18,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,61101,1,40.511111,-75.786111,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Knots,No Events,1181,13,N,50,366,0,0,,,Certification not required,0,1.381964,1.219755,10.2,1980-09-12 20:00,9.5,1980-09-21 06:00,7.6,1980-09-12 23:00,7.4,1980-09-19 20:00,,,,,5.3,4.6,3.7,3.0,1.9,1.0,0.3,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-05-26,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,61102,1,40.511111,-75.786111,WGS84,Wind Direction - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Degrees Compass,No Events,1821,21,N,72,366,0,0,,,Certification not required,0,50.409665,35.978568,178.0,1980-08-27 18:00,170.0,1980-07-16 14:00,168.0,1980-08-27 17:00,168.0,1980-08-27 19:00,,,,,143.0,134.0,121.0,103.0,73.0,44.0,8.0,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2016-05-23,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
42,11,1,62106,1,40.511111,-75.786111,WGS84,Temperature Difference,1 HOUR,,Observed Values,Instrumental - Spot reading level 2 - level 1,1980,"Temp Difference, Centigrade ",No Events,698,8,N,28,366,0,0,,,Certification not required,0,0.153582,0.173147,1.1,1980-09-12 11:00,0.9,1980-09-19 21:00,0.9,1980-09-19 22:00,0.8,1980-08-28 08:00,,,,,0.8,0.7,0.5,0.4,0.2,0.1,0.0,A420110001LAT/LONG POINT IS OF SAMPLING INLET,KUTZTOWN UNIVERSITY - GRIM SCIENCE BLDG,Pennsylvania,Berks,,"Reading, PA",2010-04-25,[ 40.511111 -75.786111],"{'Commercial and Services': 0.1044776119402985, 'Residential': 0.13432835820895522, 'Cropland and pasture': 0.746268656716418, 'Transportation, communications and services': 0.014925373134328358}"
