State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,17,12,11101,1,40.107222,-74.882222,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,52,85,Y,52,61,0,0,,,Certification not required,0,59.596154,27.682556,122.0,1980-08-07 00:00,122.0,1980-09-18 00:00,118.0,1980-02-21 00:00,115.0,1980-11-05 00:00,,,,,122.0,122.0,118.0,103.0,75.0,53.0,27.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2010-04-25,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,11201,1,40.107222,-74.882222,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,6837,78,Y,264,366,0,0,,,Certification not required,0,0.341407,0.309903,3.1,1980-02-20 07:00,2.9,1980-01-10 07:00,2.6,1980-02-21 07:00,2.5,1980-02-11 07:00,,,,,1.5,1.3,1.0,0.7,0.4,0.2,0.1,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-03-09,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,12403,2,40.107222,-74.882222,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,10.896552,5.470237,30.8,1980-08-07 00:00,28.4,1980-08-01 00:00,19.3,1980-07-02 00:00,18.7,1980-09-18 00:00,,,,,30.8,28.4,19.3,17.5,13.6,9.7,6.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-04-05,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42401,2,40.107222,-74.882222,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7757,88,Y,310,366,0,0,23.0,,Certification not required,0,34.874194,24.823265,174.0,1980-03-04 09:00,151.0,1980-11-14 09:00,120.0,1980-06-03 09:00,118.0,1980-02-13 23:00,,,,,120.0,108.0,84.0,67.0,42.0,26.0,12.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42401,2,40.107222,-74.882222,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7757,88,Y,310,366,0,0,,,Certification not required,0,13.686863,14.660383,174.0,1980-03-04 09:00,174.0,1980-03-04 10:00,151.0,1980-11-14 09:00,141.0,1980-03-04 11:00,,,,,72.0,59.0,42.0,30.0,17.0,9.0,2.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42401,2,40.107222,-74.882222,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,310,85,Y,310,366,0,0,0.0,,Certification not required,0,13.715161,9.55492,61.7,1980-03-04 00:00,59.9,1980-12-27 00:00,52.8,1980-11-14 00:00,46.0,1980-12-18 00:00,,,,,46.0,43.8,33.0,25.0,16.9,11.5,5.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42401,2,40.107222,-74.882222,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2465,84,Y,295,366,0,0,,0.0,Certification not required,0,13.731075,13.836359,163.0,1980-03-04 11:00,122.0,1980-11-14 11:00,119.6,1980-12-08 11:00,103.6,1980-12-27 14:00,,,,,69.6,55.3,39.6,30.6,17.6,9.6,2.6,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-02-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42602,1,40.107222,-74.882222,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,5631,64,N,224,366,0,0,6.0,,Certification not required,0,48.433036,19.533689,135.0,1980-10-16 14:00,124.0,1980-08-27 03:00,114.0,1980-08-28 02:00,111.0,1980-03-04 10:00,,,,,114.0,106.0,85.0,73.0,57.0,45.0,29.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-05-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,42602,1,40.107222,-74.882222,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,5631,64,N,224,366,0,0,,,Certification not required,0,26.955603,16.422772,135.0,1980-10-16 14:00,124.0,1980-08-27 03:00,114.0,1980-08-28 02:00,113.0,1980-08-27 02:00,,,,,82.0,70.0,56.0,48.0,35.0,24.0,9.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013-05-16,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
42,17,12,43102,1,40.107222,-74.882222,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,1860,21,N,47,366,0,0,,,Certification not required,0,376.483871,417.490392,3060.0,1980-09-14 22:00,2950.0,1980-09-14 20:00,2730.0,1980-05-22 22:00,2510.0,1980-09-14 21:00,,,,,1970.0,1620.0,1240.0,880.0,540.0,240.0,10.0,A420170012LAT/LONG POINT IS OF SAMPLING INLET,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2016-03-02,[ 40.107222 -74.882222],"{'Commercial and Services': 0.27, 'Residential': 0.73}"
