State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,21,11,11201,1,40.309722,-78.915,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7675,87,Y,317,366,0,0,,,Certification not required,0,0.425068,0.28881,3.7,1980-08-24 12:00,2.9,1980-10-08 09:00,2.7,1980-10-08 10:00,2.6,1980-03-17 12:00,,,,,1.5,1.3,1.0,0.8,0.5,0.3,0.2,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-03-09,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42101,1,40.309722,-78.915,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,1018,12,N,40,366,0,0,0.0,0.0,Certification not required,0,0.736051,1.036866,8.4,1980-01-20 23:00,8.0,1980-02-14 08:00,7.8,1980-01-23 00:00,6.1,1980-01-14 19:00,,,,,4.9,3.8,2.8,1.9,1.0,0.3,0.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-04-19,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42101,1,40.309722,-78.915,WGS84,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,1980,Parts per million,No Events,1015,12,Y,40,366,0,0,0.0,0.0,Certification not required,0,0.741576,0.821773,4.5,1980-01-14 20:00,4.5,1980-01-14 21:00,4.3,1980-01-14 19:00,4.3,1980-01-14 22:00,4.5,1980-01-14 20:00,3.5,1980-01-14 17:00,3.4,3.1,2.5,1.8,1.2,0.4,0.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-04-19,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42401,1,40.309722,-78.915,WGS84,Sulfur dioxide,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7892,90,Y,315,366,0,0,84.0,,Certification not required,0,59.174603,43.789864,303.0,1980-04-19 11:00,279.0,1980-04-22 10:00,263.0,1980-07-18 13:00,231.0,1980-04-13 13:00,,,,,231.0,174.0,145.0,111.0,76.0,49.0,21.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-02-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42401,1,40.309722,-78.915,WGS84,Sulfur dioxide,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,1980,Parts per billion,No Events,7892,90,Y,315,366,0,0,,,Certification not required,0,21.790294,22.417972,303.0,1980-04-19 11:00,290.0,1980-04-19 10:00,279.0,1980-04-22 10:00,264.0,1980-04-22 09:00,,,,,108.0,85.0,63.0,47.0,28.0,16.0,4.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-02-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42401,1,40.309722,-78.915,WGS84,Sulfur dioxide,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,1980,Parts per billion,No Events,315,86,Y,315,366,0,0,0.0,,Certification not required,0,22.013651,13.843407,85.5,1980-02-05 00:00,82.5,1980-04-13 00:00,73.5,1980-04-22 00:00,66.7,1980-01-09 00:00,,,,,66.7,53.7,47.5,41.9,29.3,18.8,7.5,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-02-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42401,1,40.309722,-78.915,WGS84,Sulfur dioxide,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,1980,Parts per billion,No Events,2534,87,Y,307,366,0,0,,0.0,Certification not required,0,21.814365,20.41058,248.3,1980-04-22 11:00,214.3,1980-04-19 11:00,189.3,1980-04-13 14:00,172.3,1980-02-05 17:00,,,,,95.6,77.6,57.3,46.3,28.3,16.3,4.3,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-02-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42602,1,40.309722,-78.915,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,6868,78,N,277,366,0,0,1.0,,Certification not required,0,44.960289,13.422424,105.0,1980-03-17 13:00,90.0,1980-03-20 11:00,81.0,1980-05-29 21:00,77.0,1980-11-14 08:00,,,,,81.0,75.0,68.0,63.0,53.0,44.0,29.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-05-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,42602,1,40.309722,-78.915,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per billion,No Events,6868,78,Y,277,366,0,0,,,Certification not required,0,24.088963,12.92965,105.0,1980-03-17 13:00,99.0,1980-03-17 12:00,90.0,1980-03-17 11:00,90.0,1980-03-20 11:00,,,,,60.0,55.0,49.0,42.0,32.0,23.0,9.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2013-05-16,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,43102,1,40.309722,-78.915,WGS84,Total NMOC (non-methane organic compound),1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,6384,73,N,243,366,0,0,,,Certification not required,0,257.835213,279.617216,5340.0,1980-01-20 23:00,3720.0,1980-01-19 18:00,3340.0,1980-01-17 11:00,3200.0,1980-01-18 18:00,,,,,1400.0,1020.0,700.0,520.0,340.0,190.0,20.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-03-02,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,43201,1,40.309722,-78.915,WGS84,Methane,1 HOUR,,Observed Values,INSTRUMENTAL - FLAME IONIZATION,1980,Parts per billion Carbon,No Events,6865,78,Y,271,366,0,0,,,Certification not required,0,1976.611799,595.631972,14550.0,1980-01-18 03:00,13270.0,1980-01-18 02:00,10490.0,1980-01-18 00:00,9370.0,1980-01-17 17:00,,,,,3680.0,3330.0,2970.0,2660.0,2180.0,1840.0,1480.0,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2010-04-25,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,44201,1,40.309722,-78.915,WGS84,Ozone,1 HOUR,Ozone 1-hour Daily 2005,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - CHEMILUMINESCENCE,1980,Parts per million,No Events,8147,93,Y,198,214,0,0,10.0,10.0,Certification not required,0,0.069323,0.029402,0.15,1980-06-26 16:00,0.144,1980-07-04 16:00,0.142,1980-07-11 16:00,0.139,1980-07-16 12:00,,,,,0.144,0.139,0.127,0.11,0.09,0.065,0.043,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-08-18,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,44201,1,40.309722,-78.915,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8046,87,Y,186,214,0,0,32.0,32.0,Certification not required,0,0.057005,0.026298,0.132,1980-07-20 10:00,0.129,1980-07-04 11:00,0.121,1980-06-26 12:00,0.117,1980-06-28 12:00,,,,,0.129,0.117,0.107,0.093,0.075,0.055,0.035,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-08-18,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,44201,1,40.309722,-78.915,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,1980,Parts per million,No Events,8047,89,Y,190,214,0,0,50.0,50.0,Certification not required,0,0.057474,0.026217,0.132,1980-07-20 10:00,0.129,1980-07-04 11:00,0.121,1980-06-26 12:00,0.117,1980-06-28 12:00,,,,,0.129,0.117,0.107,0.093,0.077,0.055,0.035,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-08-18,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,44201,1,40.309722,-78.915,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,1980,Parts per million,No Events,5766,91,Y,194,214,0,0,63.0,63.0,Certification not required,0,0.057103,0.026448,0.132,1980-07-20 10:00,0.129,1980-07-04 11:00,0.121,1980-06-26 12:00,0.117,1980-06-28 12:00,,,,,0.129,0.117,0.107,0.091,0.076,0.055,0.034,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2016-08-18,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
42,21,11,61101,1,40.309722,-78.915,WGS84,Wind Speed - Scalar,1 HOUR,,Observed Values,INSTRUMENTAL - SPOT READING,1980,Knots,No Events,8385,95,Y,346,366,0,0,,,Certification not required,0,1.736685,0.96674,5.4,1980-04-16 14:00,5.3,1980-06-20 12:00,5.2,1980-02-26 13:00,5.2,1980-04-08 12:00,,,,,4.5,4.2,3.6,3.1,2.3,1.5,0.7,,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,"Johnstown, PA",2010-04-25,[ 40.309722 -78.915   ],"{'Residential': 0.4716981132075472, 'Deciduous forest land': 0.5283018867924528}"
