State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change,Site_keys,LU
42,43,301,11101,2,40.192793,-76.728549,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,56.733333,20.736332,114.0,1980-01-16 00:00,103.0,1980-12-23 00:00,95.0,1980-08-01 00:00,93.0,1980-11-23 00:00,,,,,114.0,103.0,95.0,86.0,72.0,53.0,34.0,,325 MILL ST.,Pennsylvania,Dauphin,Middletown,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.192793 -76.728549],"{'Commercial and Services': 0.24, 'Residential': 0.43, 'Streams and canals': 0.18, 'Mixed urban or built-up land': 0.15}"
42,43,301,12128,3,40.192793,-76.728549,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,15,25,N,15,61,0,0,,,Certification not required,0,0.054,0.0,0.054,1980-01-04 00:00,0.054,1980-01-10 00:00,0.054,1980-01-16 00:00,0.054,1980-01-22 00:00,,,,,0.054,0.054,0.054,0.054,0.054,0.054,0.054,,325 MILL ST.,Pennsylvania,Dauphin,Middletown,"Harrisburg-Carlisle, PA",2015-07-22,[ 40.192793 -76.728549],"{'Commercial and Services': 0.24, 'Residential': 0.43, 'Streams and canals': 0.18, 'Mixed urban or built-up land': 0.15}"
42,43,301,12403,3,40.192793,-76.728549,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,11.434426,5.001729,33.6,1980-08-01 00:00,28.6,1980-08-07 00:00,22.1,1980-09-06 00:00,19.0,1980-02-15 00:00,,,,,33.6,28.6,19.0,16.7,12.7,10.0,7.7,,325 MILL ST.,Pennsylvania,Dauphin,Middletown,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.192793 -76.728549],"{'Commercial and Services': 0.24, 'Residential': 0.43, 'Streams and canals': 0.18, 'Mixed urban or built-up land': 0.15}"
42,43,304,11101,1,40.230571,-76.832163,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,57,93,Y,57,61,0,0,,,Certification not required,0,69.105263,22.270804,166.0,1980-12-23 00:00,106.0,1980-01-16 00:00,102.0,1980-11-23 00:00,98.0,1980-06-02 00:00,,,,,166.0,106.0,102.0,96.0,82.0,67.0,44.0,,385 SOUTH SECOND ST.,Pennsylvania,Dauphin,Steelton,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.230571 -76.832163],"{'Residential': 0.68, 'Streams and canals': 0.03, 'Industrial': 0.29}"
42,43,304,12128,1,40.230571,-76.832163,WGS84,Lead (TSP) STP,24 HOUR,Lead Quarterly 1978,Observed Values,HI-VOL - ATOMIC ABSORPTION,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,0.385086,0.263523,1.62,1980-11-29 00:00,1.32,1980-06-02 00:00,0.77,1980-01-16 00:00,0.74,1980-01-22 00:00,,,,,1.62,1.32,0.77,0.62,0.48,0.32,0.17,,385 SOUTH SECOND ST.,Pennsylvania,Dauphin,Steelton,"Harrisburg-Carlisle, PA",2015-07-22,[ 40.230571 -76.832163],"{'Residential': 0.68, 'Streams and canals': 0.03, 'Industrial': 0.29}"
42,43,304,12403,2,40.230571,-76.832163,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,58,95,Y,58,61,0,0,,,Certification not required,0,11.365517,3.898158,24.2,1980-09-06 00:00,18.4,1980-07-26 00:00,18.2,1980-12-23 00:00,17.9,1980-09-30 00:00,,,,,24.2,18.4,18.2,17.3,13.7,10.6,7.6,,385 SOUTH SECOND ST.,Pennsylvania,Dauphin,Steelton,"Harrisburg-Carlisle, PA",2016-04-05,[ 40.230571 -76.832163],"{'Residential': 0.68, 'Streams and canals': 0.03, 'Industrial': 0.29}"
42,43,306,11101,1,40.263056,-76.877222,WGS84,Suspended particulate (TSP),24 HOUR,,Observed Values,HI-VOL - GRAVIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,60,98,Y,60,61,0,0,,,Certification not required,0,65.916667,24.287328,147.0,1980-12-23 00:00,108.0,1980-08-01 00:00,107.0,1980-08-07 00:00,101.0,1980-09-12 00:00,,,,,147.0,108.0,107.0,98.0,81.0,61.0,37.0,A420430306LAT/LON POINT IS OF SAMPLING INLET,812 MARKET ST,Pennsylvania,Dauphin,Harrisburg,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.263056 -76.877222],"{'Commercial and Services': 0.71, 'Residential': 0.14, 'Transportation, communications and services': 0.15}"
42,43,306,12403,2,40.263056,-76.877222,WGS84,Sulfate (TSP) STP,24 HOUR,,Observed Values,HI-VOL - TURBIDIMETRIC,1980,Micrograms/cubic meter (25 C),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,12.455738,4.993113,30.1,1980-08-07 00:00,26.6,1980-08-01 00:00,24.7,1980-09-06 00:00,24.5,1980-07-26 00:00,,,,,30.1,26.6,24.5,18.7,14.5,10.6,8.6,A420430306LAT/LON POINT IS OF SAMPLING INLET,812 MARKET ST,Pennsylvania,Dauphin,Harrisburg,"Harrisburg-Carlisle, PA",2010-04-25,[ 40.263056 -76.877222],"{'Commercial and Services': 0.71, 'Residential': 0.14, 'Transportation, communications and services': 0.15}"
42,43,401,11201,1,40.246992,-76.846988,WGS84,Soil index (COH),1 HOUR,,Observed Values,TAPE-SAMPLER - TRANSMITTANCE,1980,"COHS/1,000 linear feet",No Events,7435,85,Y,297,366,0,0,,,Certification not required,0,0.285703,0.230809,5.8,1980-12-24 20:00,2.0,1980-01-14 18:00,1.9,1980-11-14 16:00,1.8,1980-02-13 04:00,,,,,1.1,0.9,0.7,0.6,0.4,0.2,0.1,A420430401LAT/LON POINT IS AT CORNER OF TRAILER,"651 Gibson Blvd., Harrisburg, PA 17104",Pennsylvania,Dauphin,,"Harrisburg-Carlisle, PA",2016-03-09,[ 40.246992 -76.846988],"{'Commercial and Services': 0.1557377049180328, 'Residential': 0.00819672131147541, 'Cropland and pasture': 0.8114754098360656, 'Transitional areas': 0.02459016393442623}"
42,43,401,42101,1,40.246992,-76.846988,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS CHROMATOGRAPHIC,1980,Parts per million,No Events,1016,12,N,42,366,0,0,0.0,0.0,Certification not required,0,1.935925,0.678726,7.4,1980-01-10 09:00,5.0,1980-01-10 08:00,5.0,1980-01-11 10:00,4.9,1980-01-16 09:00,,,,,4.5,3.9,3.3,2.8,2.1,1.8,1.4,A420430401LAT/LON POINT IS AT CORNER OF TRAILER,"651 Gibson Blvd., Harrisburg, PA 17104",Pennsylvania,Dauphin,,"Harrisburg-Carlisle, PA",2016-04-19,[ 40.246992 -76.846988],"{'Commercial and Services': 0.1557377049180328, 'Residential': 0.00819672131147541, 'Cropland and pasture': 0.8114754098360656, 'Transitional areas': 0.02459016393442623}"
